Incarnation Name,Incarnation BDRC ID,Incarnation TOL ID,Parent lineage TOL ID,Preceding incarnation member TOL ID,Incarnation Sequence,Ordinal,Person BDRC ID,Person TOL ID,Branched Lineage,New Seat Established,Notes,,,,
Detri,R8LS13072,13,,,4,4,P4487,6928,FALSE,,,,,,
Detri,R8LS13072,13,,,5,5,P4488,6929,FALSE,,,,,,
Detri,R8LS13072,13,,,6,6,P5361,7876,FALSE,,,,,,
Detri,R8LS13072,13,,,7,7,P5362,7877,FALSE,,,,,,
Detri,R8LS13072,13,,,8,8,P5363,7878,FALSE,,,,,,
Dodrubchen,R8LS13169,14,,,1,1,P293,4676,FALSE,,,,,,
Dodrubchen,R8LS13169,14,,,2,2,P2561,4272,FALSE,,,,,,
Dodrubchen,R8LS13169,14,,,3,3,P248,4185,FALSE,,,,,,
Dodrubchen,R8LS13169,14,,,4,4,P2562,4273,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,1,1,P5254,7767,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,2,2,P1701,3010,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,3,3,P639,8975,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,4,4,P657,9169,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,5,5,P689,9513,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,6,6,P8LS12705,13191,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,7,7,P8LS12706,13190,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,8,8,P8LS12707,13189,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,9,9,P728,9935,FALSE,,,,,,
Dorje Drak Rigdzin,R8LS12889,15,,,10,10,P752,10188,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,1,1,P2CZ7891,13205,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,2,2,P8LS12641,13206,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,3,3,P2GS1053,13215,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,4,4,P3JT12493,13214,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,5,5,P8LS12642,13213,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,6,6,P8LS12643,13212,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,7,7,P8LS12644,13211,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,8,8,P8LS12645,13210,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,9,9,P7583,10253,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,10,10,P8LS12646,13209,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,11,11,P8LS12647,13208,FALSE,,,,,,
Dorje Pakmo,R8LS12868,16,,,12,12,P8LS3573,13207,FALSE,,,,,,
Drime Zhingkyong,R8LS13161,17,,,1,1,P5972,8540,FALSE,,,,,,
Drime Zhingkyong,R8LS13161,17,,,2,2,P5992,8562,FALSE,,,,,,
Drime Zhingkyong,R8LS13161,17,,,3,3,P5993,8563,FALSE,,,,,,
Drime Zhingkyong,R8LS13161,17,,,4,4,P6003,8575,FALSE,,,,,,
Drime Zhingkyong,R8LS13161,17,,,5,5,P6005,8577,FALSE,,,,,,
Druk Lama Tripa ,R8LS13413,18,,,1,1,P512,7622,FALSE,,,,,,
Druk Lama Tripa ,R8LS13413,18,,,2,2,P531,7824,FALSE,,,,,,
Druk Lama Tripa ,R8LS13413,18,,,3,3,P537,7884,FALSE,,,,,,
Druk Lama Tripa ,R8LS13413,18,,,4,4,P512,7622,FALSE,,,,,,
Druk Lama Tripa ,R8LS13413,18,,,5,5,P8LS13411,13584,FALSE,,,,,,
Druk Lama Tripa ,R8LS13413,18,,,6,6,P8LS13412,13585,FALSE,,,,,,
Druk Gyelse,R8LS13410,19,,,1,1,P4479,6919,FALSE,,,,,,
Druk Gyelse,R8LS13410,19,,,2,2,P521,7719,FALSE,,,,,,
Druk Gyelse,R8LS13410,19,,,3,3,P9910,12747,FALSE,,,,,,
Druk Gyelse,R8LS13410,19,,,4,4,P534,7855,FALSE,,,,,,
Druk Gyelse,R8LS13410,19,,,5,5,P551,8039,FALSE,,,,,,
Druk Gyelse,R8LS13410,19,,,6,6,P577,8325,FALSE,,,,,,
Drukchen,R8LS12812,20,,,1,1,P909,11865,FALSE,,,,,,
Drukchen,R8LS12812,20,,,2,2,P920,11986,FALSE,,,,,,
Drukchen,R8LS12812,20,,,3,3,P870,11441,FALSE,,,,,,
Drukchen,R8LS12812,20,,,4,4,P825,10952,FALSE,,,,,,
Drukchen,R8LS12812,20,,,5,5,P877,11516,FALSE,,,,,,
Drukchen,R8LS12812,20,,,6,6,P940,12202,FALSE,,,,,,
Drukchen,R8LS12812,20,,,7,7,P842,11136,FALSE,,,,,,
Drukchen,R8LS12812,20,,,8,8,P846,11178,FALSE,,,,,,
Drukchen,R8LS12812,20,,,9,9,P1374,2654,FALSE,,,,,,
Drukchen,R8LS12812,20,,,10,10,P863,11363,FALSE,,,,,,
Drukchen,R8LS12812,20,,,11,11,P849,11210,FALSE,,,,,,
Drukchen,R8LS12812,20,,,12,12,P854,11263,FALSE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,1,1,P653,9126,TRUE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,2,2,P677,9383,TRUE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,3,3,P7404,10068,TRUE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,4,4,P1710,3020,TRUE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,5,5,P701,9646,TRUE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,6,6,P750,10169,TRUE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,7,7,P8686,11425,TRUE,,,,,,
Dzogchen Drubwang,R8LS13052,21,,,7,7,P749,10157,TRUE,TOL1615,Split after 6 and this one is based at Dzogchen India ,,,,
Dzogchen Khyentse,R8LS13178,22,86,,1,,P258,4291,TRUE,,,,,,
Dzogchen Khyentse,R8LS13178,22,86,4291,2,1,P8692,11432,TRUE,,,,,,
Dzogchen Khyentse,R8LS13056,22,86,,3,2,P3AG40,13150,TRUE,,,,,,
Dzogchen Ponlop,R8LS13056,23,,,1,1,P8137,10832,FALSE,,,,,,
Dzogchen Ponlop,R8LS13056,23,,,2,2,P8132,10827,FALSE,,,,,,
Dzogchen Ponlop,R8LS13056,23,,,3,3,P2JM275,4986,FALSE,,,,,,
Dzogchen Ponlop,R8LS13056,23,,,4,4,P2JM276,4987,FALSE,,,,,,
Dzogchen Ponlop,R8LS13056,23,,,5,5,P3AG41,13151,FALSE,,,,,,
Dzogchen Ponlop,R8LS13056,23,,,6,6,P3AG42,13152,FALSE,,,,,,
Dzogchen Ponlop,R8LS13056,23,,,7,7,P8LS13212,13880,FALSE,,,,,,
Dzogchen Kongtrul,R8LS13177,24,77,4358,1,1,P3JM110,13148,TRUE,,,,,,
Dzogchen Kongtrul,R8LS13177,24,77,,2,2,P3AG39,13149,TRUE,,,,,,
Gangkar,R8LS13086,25,,,1,1,P3694,6059,FALSE,,,,,,
Gangkar,R8LS13086,25,,,2,2,P1824,3146,FALSE,,,,,,
Gangkar,R8LS13086,25,,,3,3,P3702,6069,FALSE,,,,,,
Gangkar,R8LS13086,25,,,4,4,P3703,6070,FALSE,,,,,,
Gangkar,R8LS13086,25,,,5,5,P3698,6063,FALSE,,,,,,
Gangkar,R8LS13086,25,,,6,6,P3699,6064,FALSE,,,,,,
Gangkar,R8LS13086,25,,,7,7,P3700,6067,FALSE,,,,,,
Gangkar,R8LS13086,25,,,8,8,P3701,6068,FALSE,,,,,,
Gangkar,R8LS13086,25,,,9,9,P1445,2730,FALSE,,,,,,
Gangteng,,26,,,1,1,P2659,4379,FALSE,,,,,,
Gangteng,,26,,,2,2,P514,7644,FALSE,,,,,,
Gangteng,,26,,,3,3,P3AG16,13133,FALSE,,,,,,
Gangteng,,26,,,4,4,P3AG29,13145,FALSE,,,,,,
Gangteng,,26,,,5,5,P3AG30,13146,FALSE,,,,,,
Gangteng,,26,,,6,6,P3AG26,13142,FALSE,,,,,,
Gangteng,,26,,,7,7,P3AG27,13143,FALSE,,,,,,
Gangteng,,26,,,8,8,P2748,4478,FALSE,,,,,,
Gemang,R8LS13173,27,,,1,1,P697,9601,FALSE,,,,,,
Gemang,R8LS13173,27,,,2,2,P3AG53,13163,FALSE,,,,,,
Gemang,R8LS13173,27,,,3,3,P3AG54,13162,FALSE,,,,,,
Gungtang,R8LS13063,28,,,1,1,P1849,3173,FALSE,,,,,,
Gungtang,R8LS13063,28,,,2,2,P4649,7107,FALSE,,,,,,
Gungtang,R8LS13063,28,,,3,3,P298,4730,FALSE,,,,,,
Gungtang,R8LS13063,28,,,4,4,P374,6110,FALSE,,,,,,
Gungtang,R8LS13063,28,,,5,5,P5364,7879,FALSE,,,,,,
Gungtang,R8LS13063,28,,,6,6,P5591,8128,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,1,1,P7107,9750,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,2,2,P2AG14,13106,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,3,3,P2AG15,13107,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,4,4,P2AG16,13108,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,5,5,P2AG17,13109,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,6,6,P2AG18,13110,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,7,7,P2573,4285,FALSE,,,,,,
Gyara Tulku,R8LS12782,29,,,8,8,P2113,3784,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,1,1,P1380,2661,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,2,2,P10582,2162,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,3,3,P1441,2726,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,4,4,P5684,8230,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,5,5,P5085,7584,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,6,6,P948,12285,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,7,7,P957,12381,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,8,8,P847,11189,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,9,9,P10583,2163,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,10,10,P10584,2164,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,11,11,P930,12093,FALSE,,,,,,
Tsurpu Gyeltsab,R8LS12893,30,,,12,12,P10585,2165,FALSE,,,,,,
Jamyang Zhepa,R8LS12897,32,,,1,1,P423,6646,FALSE,,,,,,
Jamyang Zhepa,R8LS12897,32,,,2,2,P169,2996,FALSE,,,,,,
Jamyang Zhepa,R8LS12897,32,,,3,3,P124,2506,FALSE,,,,,,
Jamyang Zhepa,R8LS12897,32,,,4,4,P1470,2758,FALSE,,,,,,
Jamyang Zhepa,R8LS12897,32,,,5,5,P1495,2784,FALSE,,,,,,
Jamyang Zhepa,R8LS12897,32,,,6,6,P6506,9101,FALSE,,,,,,
Karmapa,R8LS12875,33,,,1,1,P1400,2683,TRUE,,,,,,
Karmapa,R8LS12875,33,,,2,2,P1487,2776,TRUE,,,,,,
Karmapa,R8LS12875,33,,,3,3,P66,9201,TRUE,,,,,,
Karmapa,R8LS12875,33,,,4,4,P1456,2742,TRUE,,,,,,
Karmapa,R8LS12875,33,,,5,5,P1410,2693,TRUE,,,,,,
Karmapa,R8LS12875,33,,,6,6,P1006,1597,TRUE,,,,,,
Karmapa,R8LS12875,33,,,7,7,P821,10909,TRUE,,,,,,
Karmapa,R8LS12875,33,,,8,8,P385,6230,TRUE,,,,,,
Karmapa,R8LS12875,33,,,9,9,P889,11645,TRUE,,,,,,
Karmapa,R8LS12875,33,,,10,10,P1382,2662,TRUE,,,,,,
Karmapa,R8LS12875,33,,,11,11,P943,12234,TRUE,,,,,,
Karmapa,R8LS12875,33,,,12,12,P838,11092,TRUE,,,,,,
Karmapa,R8LS12875,33,,,13,13,P828,10984,TRUE,,,,,,
Karmapa,R8LS12875,33,,,14,14,P562,8159,TRUE,,,,,,
Karmapa,R8LS12875,33,,,15,15,P563,8170,TRUE,,,,,,
Karmapa,R8LS12875,33,,,16,16,P865,11385,TRUE,,,,,,
Karmapa,R8LS12875,33,,11385,17,17,P10569,2147,TRUE,,,,,,
Karmapa,R8LS12875,33,,11385,17,17,P5611,8151,TRUE,,,,,,
Kirti,R8LS13057,34,,,1,1,P10299,1852,FALSE,,,,,,
Kirti,R8LS13057,34,,,2,2,P8817,11569,FALSE,,,,,,
Kirti,R8LS13057,34,,,3,3,P8822,11575,FALSE,,,,,,
Kirti,R8LS13057,34,,,4,4,P1PD96458,13168,FALSE,,,,,,
Kirti,R8LS13057,34,,,5,5,P1737,3049,FALSE,,,,,,
Kirti,R8LS13057,34,,,6,6,P10344,1903,FALSE,,,,,,
Kirti,R8LS13057,34,,,7,7,P10342,1901,FALSE,,,,,,
Kirti,R8LS13057,34,,,8,8,P249,4196,FALSE,,,,,,
Kirti,R8LS13057,34,,,9,9,P10343,1902,FALSE,,,,,,
Kirti,R8LS13057,34,,,10,10,P7063,9703,FALSE,,,,,,
Kirti,R8LS13057,34,,,11,11,P6080,8659,FALSE,,,,,,
Kondor,R8LS13065,35,,,1,1,P5580,8116,FALSE,,,,,,
Kondor,R8LS13065,35,,,2,2,P2AG8,13102,FALSE,,,,,,
Kondor,R8LS13065,35,,,3,3,P2AG11,13103,FALSE,,,,,,
Kondor,R8LS13065,35,,,4,4,P2AG12,13104,FALSE,,,,,,
Kondor,R8LS13065,35,,,5,5,P2AG13,13105,FALSE,,,,,,
Ling,,36,,,1,1,P2757,4488,FALSE,,,,,,
Ling,,36,,,2,2,P3AG51,13155,FALSE,,,,,,
Ling,,36,,,3,3,P2AG26,13156,FALSE,,,,,,
Ling,,36,,,4,4,P8415,11131,FALSE,,,,,,
Ling,,36,,,5,5,P27,4424,FALSE,,,,,,
Ling,,36,,,6,6,P4559,7007,FALSE,,,,,,
Ling,,36,,,7,7,P8LS12436,13778,FALSE,,,,,,
Lingla,R8LS13219,37,,,1,1,P8701,11443,FALSE,,,,,,
Lingla,R8LS13219,37,,,2,2,P8687,11426,FALSE,,,,,,
Lingla,R8LS13219,37,,,3,3,P8LS13218,7559,FALSE,,,,,,
Lingla,R8LS13219,37,,,4,4,P3JM101,12906,FALSE,,,,,,
Lingtrul,R8LS12777,38,,,1,1,P5537,8069,FALSE,,,,,,
Lingtrul,R8LS12777,38,,,2,2,P3558,5910,FALSE,,,,,,
Moktsa,R8LS13163,39,,,1,,P659,9190,FALSE,,,,,,
Moktsa,R8LS13163,39,,,2,1,P5980,8549,FALSE,,,,,,
Moktsa,R8LS13163,39,,,3,2,P6008,8580,FALSE,,,,,,
Moktsa,R8LS13163,39,,,4,3,P6034,8609,FALSE,,,,,,
Moktsa,R8LS13163,39,,,5,4,P6035,8610,FALSE,,,,,,
Moktsa,R8LS13163,39,,,6,5,P8LS13251,13767,FALSE,,,,,,
Ngago,R8LS13132,40,,,1,1,P8LS13128,13762,FALSE,,,,,,
Ngago,R8LS13132,40,,,2,2,P8LS13129,13763,FALSE,,,,,,
Ngago,R8LS13132,40,,,3,3,P1152,2409,FALSE,,Changed 2nd to 3rd based on BDRC data,,,,
Ngago,R8LS13132,40,,,4,4,P5041,7536,FALSE,,,,,,
Ngago,R8LS13132,40,,,5,5,P8LS12333,13766,FALSE,,,,,,
Ngago,R8LS13132,40,,,6,6,P8973,11737,FALSE,,,,,,
Ngago,R8LS13132,40,,,7,7,P8LS13130,13765,FALSE,,,,,,
Ngago,R8LS13132,40,,,8,8,P8LS13131,13764,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,1,1,P4122,6529,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,2,2,P5391,7908,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,3,3,P8LS12613,13716,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,4,4,P5394,7911,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,5,5,P5395,7912,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,1,1,P6040,8616,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,2,2,P6011,8584,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,3,3,P6029,8603,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,4,4,P6041,8617,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,5,5,P6022,8596,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,1,1,P427,6690,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,2,2,P395,6340,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,3,3,P2108,3778,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,4,4,P1079,2328,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,5,5,P120,2462,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,6,6,P2111,3782,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,7,7,P2112,3783,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,8,8,P2113,3784,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,9,9,P2114,3785,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,10,10,P2115,3786,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,1,1,P55,8027,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,2,2,P4211,6626,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,3,3,P997,13026,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,4,4,P719,9839,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,5,5,P106,2180,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,6,6,P168,2985,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,7,7,P285,4589,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,8,8,P190,3230,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,9,9,P215,3822,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,10,10,P1650,2953,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,11,11,P8LS12000,13568,FALSE,,,,,,
Pawo,R8LS12784,45,,,1,1,P818,10878,FALSE,,,,,,
Pawo,R8LS12784,45,,,2,2,P319,5511,FALSE,,,,,,
Pawo,R8LS12784,45,,,3,3,P1385,2665,FALSE,,,,,,
Pawo,R8LS12784,45,,,4,4,P8383,11096,FALSE,,,,,,
Pawo,R8LS12784,45,,,5,5,P942,12223,FALSE,,,,,,
Pawo,R8LS12784,45,,,6,6,P823,10931,FALSE,,,,,,
Pawo,R8LS12784,45,,,7,7,P841,11125,FALSE,,,,,,
Pawo,R8LS12784,45,,,8,8,P1420,2704,FALSE,,,,,,
Pawo,R8LS12784,45,,,9,9,P1376,2656,FALSE,,,,,,
Pawo,R8LS12784,45,,,10,10,P868,11418,FALSE,,,,,,
Pawo,R8LS12784,45,,,11,11,P8LS12447,13243,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,1,1,P2652,4372,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,2,2,P2656,4376,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,3,3,P2741,4471,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,4,4,P658,9179,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,5,5,P2677,4399,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,6,6,P2685,4408,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,7,7,P2694,4418,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,8,8,P2706,4432,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,9,9,P2751,4482,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,10,10,P2AG33,13128,FALSE,,,,,,
Petseling,,47,,,1,1,P2AG28,13121,FALSE,,,,,,
Petseling,,47,,,2,2,P2AG32,13123,FALSE,,,,,,
Petseling,,47,,,3,3,P2AG30,13122,FALSE,,,,,,
Petseling,,47,,,4,4,P2AG35,13126,FALSE,,,,,,
Purchok,R8LS12862,48,,,1,1,P108,2329,FALSE,,,,,,
Purchok,R8LS12862,48,,,2,2,P1GS107885,3414,FALSE,,,,,,
Purchok,R8LS12862,48,,,3,3,P194,3274,FALSE,,,,,,
Purchok,R8LS12862,48,,,4,4,P00EGS109637,149,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,1,1,P412,6526,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,2,2,P304,5349,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,3,3,P191,3241,FALSE,,,,,,
