community_id,tbrc_id,community_name,tradition_id
1546,NULL,"Drapu Choling",77
1548,NULL,"Tashi Choling (Dharamsala)",77
1549,G1KR1632,"Kagyu Gonsar",77
1493,G512,"Baradrak Dondrubding",77
1552,NULL,Chungtang,77
1175,G2610,"Kumbum Monastery",22
1338,G2651,"Kyodrak Monastery",22
1516,G2635,Lhalam,22
70,G1KR1663,"Barom Gon",22
1517,G1KR2864,Lachab,22
1534,NULL,"Tsangsar Namgon",22
1545,G4401,"Jekhar Chode Gon",26
560,G1KR1648,"Porong Pelmo Choding Monastery ",26
564,G412,"Samding Monastery",26
612,G244,"Bodong E",26
1179,G1KR171,"Tokden Monastery",72
1199,G1663,"Tarde Monastery",72
1249,G3832,"Changlung Monastery",72
1266,G2CN11149,"Menri (Dolanji)",72
1267,G4491,Kyangtsang,72
1286,G3536,"Zangri Monastery",72
1365,G1KR239,Dachen,72
241,G1KR1751,"Patsang Gon Yungdrung Rabten Ling",72
244,G4,Menri,72
245,G3540,"Yeru Wensakha",72
263,NULL,"Khyungpak Tsang",72
297,NULL,"Sang Ngak Tekchen Choling",72
585,NULL,Senmo,72
586,NULL,"Tolung Yangwen Pelgon",72
650,G1KR1169,"Khyungpo Tengchen",72
679,G1KR122,"Gyu Monastery",72
721,G1KR1754,"Yeta Lungkar",72
808,G3532,Rigyel,72
861,G3,"Yungdrung Ling",72
1133,G3830,"Kharak Yungdrung Dechen Ling",72
1362,G4494,"Rinpung Monastery",72
1367,NULL,Samdrub,72
1368,G4492,Nateng,72
242,G1KR1755,"Lupuk Gonpa ",72
441,G170,"Chorten Tang Tashi Dargye Ling ",72
1110,G3898,Rahor,72
1051,G2077,"Nyima Changra",42
1101,NULL,"Lotsawa Lhakhang",42
129,G64,"Lhatel Rinchen Ling",42
1515,G4419,"Tawu Sangngak Chokdrub Ling",42
228,G2251,Sewalung,42
420,G62,"Yangri Gar ",42
701,G217,Phyang,42
703,G2594,"Kham Kyogon",42
704,G2600,"Tashi Gang",42
705,NULL,"Sharkyo Ganden Monastery",42
707,NULL,"Lho Ganden Monastery ",42
82,G340,"Drigung Til",42
821,NULL,Lamayuru,42
945,G1AG12,"Legon Chokyi Podrang ",42
1102,G0LAT901,"Alchi Chokhor",42
134,G1KR1885,"Choding Monastery",42
479,G471,"Terlung Yiga Chodzin Ling",42
280,G1654,Chakra,42
282,G1644,Pewar,42
944,G3473,"Ngangkyel Chode",42
1270,G1TD40,Dechenpuk,42
1017,G1KR1012,"Drugu Gon",40
1072,G56,"Seula Chokhor Dorjeden",40
1114,G185,Dzigar,40
1115,G305,"Mersho Monastery",40
1157,G206,Dingpoche,40
1236,G45,"Druk Jangchub Choling",40
1257,NULL,"Trashigang Dzong",40
1305,G1TD45,"Sani Gonpa",40
145,G1689,"Druk Monastery",40
149,NULL,"Gotsang Hermitage ",40
1501,NULL,"Druk Dechen Chokhor",40
1510,NULL,"Khampa Gar (Tashi Jong)",40
1518,G46,"Sangngak Choling",40
1587,G1ER2,Stakna,40
1588,NULL,Bardan,40
232,G00JR3353,Hemis,40
233,G1PD127458,Hanle,40
234,G1BL6,Chemrey,40
248,G2611,"Nangchen Gar",40
273,G3JT12631,Shey,40
307,G4711,"Cheri Monastery",40
308,G218,Tango,40
376,G3JT12434,"Wangdue Phodrang Dzong ",40
377,NULL,"Talang ",40
378,G2CN11045,"Tubten Jago Pungpo ",40
380,G189,"Talo Sangngak Choling ",40
384,NULL,"Paro Lateng Monastery",40
389,NULL,"Gongto Sergyi Lhakhang ",40
390,G1TD42,"Lhadzong Tashigang ",40
392,G58,"Gorina Kunang Osel Ling ",40
405,G54,"Punakha Dzong",40
406,NULL,"Trongsa Dzong",40
415,G4718,"Pajoding ",40
417,NULL,"Drangjekha ",40
418,G55,"Sang Chokhor ",40
537,NULL,"Lampar Monastery",40
538,G48,"Nyel Drewule Gon",40
576,G3122,"Lhadong Gon",40
720,G50,"Khampa Gar",40
73,G504,"Napu Monastery",40
87,G3582,"Ralung Monastery",40
996,G212,"Bardrok Dorje Ling",40
997,G511,"Bamo Choding",40
1134,G712,"Tsibri Monastery",40
949,G205,"Tashi Tongmon",40
1532,G3JT13480,Dranggyekha,40
1533,"G4717 ","Do Chorten",40
387,G1TD12,Tashichoedzong,40
1233,G4184,"Tikchi Monastery",40
306,G2440,"Nyetang Longdol Hermitage ",40
1005,G169,Jakrong,27
1009,G4347,Khyungritang,27
1018,G1AG64,"Langling Monastery",27
1019,G1AG65,"Wikcho Dzong",27
1020,G2482,"Tashi Choling Hermitage",27
1021,G2479,"Chubzang Hermitage (Sera)",27
1023,G3388,"Driru Drubde",27
1038,G4854,"Nakdo Monastery",27
1041,G1911,Banshul,27
1042,G1858,Nyegon,27
1043,G1KR2480,Datsen,27
1044,G1KR2434,"Sengge Shong Mago",27
1045,G1KR2433,"Sengge Shong Yago",27
1049,NULL,"Atsagat Datsan",27
1054,G1KR1944,"Chepa Darge Gon",27
1055,NULL,"Datsan Gunzechoinei",27
1069,G2863,"Ngodu Monastery",27
107,G1KR1359,"Tupten Dargye Ling ",27
1091,G298,Khyage,27
1093,G1KR1977,Ongsum,27
1103,G1KG24303,Likir,27
1119,G2KT7,"Sorik Dropen Ling",27
112,G4619,Chubzang,27
1137,G2AG22,"Draksum Puri",27
1138,G2AG21,"Hangri Drubde",27
1143,G105,"Tosamling College",27
1148,G1KR2031,"Tseuruma Serde",27
1150,G3CN1712,"Zungchu Zi",27
1154,G4052,"Drakteng Monastery",27
1166,G452,Yershong,27
1174,G3930,Mangge,27
1176,G2GS1268,"Ne Chode",27
1178,G4847,"Beshing Monastery",27
1186,G1AG96,"Lingto College",27
1191,G3249,"Riwo Gegye Ganden Shedrubling",27
1192,G2KR4,Amarbayasgalant,27
1194,NULL,"Kunga Choling",27
1195,NULL,"Gyu Dratsang",27
1200,G2KR18,"Baruun Khiid",27
1201,G2KR10,"Pekar Choling",27
1215,G2GS1305,"Tashi Tse",27
1219,G380,"Beri Monastery",27
1229,G110,"Hardong Khamtsen",27
1231,G2GS1126,"Ling Khamtsen",27
