community_id,community_name,wylie_name,tibetan,chinese_name,en_variants,bo_x_ewts_variants,zh_hani_variants,sa_deva_variants,ru_cyrl_variants,mn_cyrl_variants,mn_mong_variants
102,Pelkhor Chode,dpal 'khor chos sde,,,Pelkhor Dechen; Gyaltse Pelkhor Chode; Palkhor Chode; Gyangtse Monastery; baiju si; jiangzi baiju si,dpal 'khor bde chen; dpal chos dgon pa; rgyal rtse dgon pa; shel mkhar rgyal rtse'i chos sde,白居寺; 江孜白居寺,,,,
105,Serdokchen,gser mdog can,,土登赛朵金寺,Zilung; tudeng saiduojin si; seduojian si,gzi lung; pan gser mdog can,土登赛朵金寺; 色多坚寺,,,,
106,Chokhor Tse,chos 'khor rtse,,,,,,,,,
107,Tupten Dargye Ling,thub bstan dar rgyas gling,,,Thubten Dargye Ling; Tudengdajilin si,,土登达吉林寺; 加桑卡乡土登达吉林寺,,,,
108,Puntsok Samten Ling,phun tshogs bsam gtan gling,,,,,,,,,
109,Changlung Choding,lcang lung chos sdings,,,,,,,,,
110,Takten Puntsok Ling,rtag brtan phun tshogs gling,,,Takten Damcho Ling Ngedon Gaway Tshal; Takten Phuntsok Ling; Ganden Phuntsok Ling,rtag brtan dam chos gling nges don dga' ba'i tshal; rtag brtan phun tshogs gling; dga' ldan phun tshogs gling,,,,,
112,Chubzang,chu bzang,,却桑寺,Tolung Chubzang Tupten Dargye Ling,stod lung chu bzang dgon thub bstan dar rgyas gling,,,,,
114,Kyangdur,rkyang 'dur,,,,,,,,,
115,Chung Riwoche,cung ri bo che,,,Pel Riwoche; Ewam Gakyil,gcung ri bo che dgon; e waM dga' 'khyil; dpal ri bo che dgon e waM dga' 'khyil,,,,,
116,Mending,sman sdings,,,,,,,,,
117,Menchu,sman chu,,,,,,,,,
119,Cholung Jangtse,chos lung byang rtse,,,,,,,,,
120,Nenying,gnas rnying,,乃宁寺,naining si,gnas snying dgon pa,,,,,
121,Tolung Namgyel,stod lung rnam rgyal,,,,,,,,,
122,Sabzang Ganden,sa bzang dga' ldan,,,,,,,,,
124,Pelteng,dpal steng,,,,gtsang dpal steng dgon pa,,,,,
126,Tselmin,mtshal min,,,,,,,,,
127,Lhagang,lha sgang,,,Tagong; Lhagong,dpal lha sgang dgon; mi nyag lha sgang dgon; lha sgang dgon mthong grol bsam grub gling chos sde,塔公寺,,,,
128,Nalendra Monastery,na len dra dgon,,那烂扎寺,nalantuo si; nalanzha si,dpal nA len dra; 'phan po nAlen+dra; 'phan yul nA len+dra,那烂扎寺; 那烂陀寺,,,,
129,Lhatel Rinchen Ling,lha thel rin chen gling,,,,,,,,,
130,Yabzang Monastery,g.ya' bzang dgon,,亚桑寺,Yabzang Gon,dga' ldan bsam gtan gling,亚桑寺,,,,
132,Kodrak Hermitage,ko brag ri khrod,,,Nyangto Kodrak,myang stod ko brag,,,,,
134,Choding Monastery,chos sdings dgon,,,,,,,,,
135,Rinchen Ling,rin chen gling,,仁青林寺,Rinchenling; rennqinglin si; rennqinlin si,mal gro gung dkar rin chen gling dgon,仁钦林寺,,,,
136,Jangchen,byang chen,,,,theg chen chos 'khor gling; byang chen theg chen chos 'khor gling,,,,,
137,Litang Chokhor Ling,li thang chos 'khor gling,,,Litang Monastery; Litang Chode; Ganden Tubchen Chokorling; litang si; changqing chunke-er si,li thang chos sde; dga ldan thub chen chos 'khor gling,理塘寺; 长青春科尔寺,,,,
140,Ngari Dratsang,mnga' ris grwa tshang,,,ali zhacang si,on mda' mnga' ris grwa tshang,阿里扎仓寺,,,,
141,Kharchu Monastery,mkhar chu dgon,,,Ganden Dudjom Ling;,dga' ldan bdud 'joms gling,,,,,
143,Tangkya Lhakhang,thang skya lha khang,,,,,,,,,
145,Druk Monastery,brug dgon,,,Derge Druk Gonpa; Okmin Jampa Chokhor Ling,,,,,,
146,Uri Monastery,dbu ri dgon,,,,,,,,,
149,Gotsang Hermitage,rgod tshang chos sde,,,,,,,,,
150,Powo Samling,spo bo bsam gling,,,,,,,,,
151,Parpu Monastery,spar phu dgon pa,,巴普寺,Parphu Monastery; bapu si,par phu dgon,巴普寺,,,,
154,Kharak,kha rag,,,,,,,,,
156,Gonlung Jampa Ling,dgon lung,,佑宁寺,Gonlung; Gonlung Jampaling; youning si,dgon lung byams pa gling,,,,,
157,Shar Yelpuk,shar yel phug,,,Shar Yelphug Gonpa,,,,,,
158,Jang Tana,byang rta rna dgon,,,Sengge Namdzong; Tana Sengge Namdzong; Ling Monastery; dana si,rta rna seng+ge'i gnam rdzong,达那,,,,
159,Dodzong,rdo rdzong,,,Dordzong,,,,,,
160,Sho Monastery,sho dgon,,,,shog dgon,,,,,
174,Zurmang Dutsitil,zur mang bdud rtsi mthil,,,Surmang; Zurmang Dutsithil; Surmang Dütsi Thil; Zurmang Dustetil,smar khams bdud rtsi mthil,苏莽德子堤寺,,,,
178,Tarlam,thar lam,,唐隆寺,Tharlam; Tarlam Sabzang Namgyaling; tanglong si,,唐隆寺; 汤陇寺,,,,
179,Dezhung Monastery,sde gzhung dgon,,,,sde gzhung grwa tshang bshad sgrub dar rgyas gling,,,,,
180,Dzongsar,rdzong sar,,,Dzongsar Tashi Lhatse; Derge Dzongsar Gon Shedrub Dargye Ling; zongsa si; dege zongsa si,rdzong gsar; sde dge rdzong sar dgon bshad sgrub dar rgyas gling,宗萨寺; 德格宗萨寺,,,,
183,Rong Ngurmik,rong ngur smig,,,Ngurmik Drolma Lhakhang,,,,,,
185,Wensa Monastery,dben sa dgon,,温萨寺,Ensa; Wen; Uding; Lower Wesna; Wensa Monastery,,,,,,
186,Chokhor Uding,chos 'khor dbus sdings,,,,,,,,,
