community_id,community_name,wylie_name,tibetan,chinese_name,en_variants,bo_x_ewts_variants,zh_hani_variants,sa_deva_variants,ru_cyrl_variants,mn_cyrl_variants,mn_mong_variants
367,Muge Tashikhorlo,dmu dge bkra shis 'khor lo,,,mao-ergai si,dmu dge dgon,毛尔盖寺; 毛儿盖寺,,,,
368,Ngawa Gomang,rnga ba sgo mang,,,Ngayul Gomang; Ge mo si,rnga yul sgo mang; sgo mang sgar; bshad sgrub 'phel rgyas gling,各莫寺; 格莫寺,,,,
369,Gyeltang Sungtseling,rgyal thang dgon pa,,,Gyaltang; Gyeltang Sungtseling; Gyeltang Sumtsenling; Gyeltang Sumtseling; Ganden Sumtsen Ling; Gedan Songzanlin,dga' ldan sum rtsen gling,,,,,
370,Evaṃ Monastery,e waM dgon;,,,Medro Gongkar Evam,,,,,,
371,Petseling Jangchub Pelri Monastery,pad tshal gling byang chub dpal ri dgon pa,,,Pedtsheling Goenpa,,,,,,
372,Dobi Ganden Pelgye Ling,rdo sbis dge ldan 'phel rgyas gling,,,Gori Dratsang; Dowi Gori Dratsang,dgo ri grwa tshang; rdo sbis dgo ri grwa tshang,瞿昙寺,,,,
373,Drotsang,gro tshang dgon,,,Drotsang Lhakhang Gautamde; Qutan Si; Gautama,gro tshang lha khang go tam sde,,,,,
374,Rongwo Monastery,rong bo thos bsam rnam rgyal gling,,,Rongpo; Rongpo Monastery; Rongwo Tosam Namgyel Ling; Rongpo Gonchen Tosam Namgyaling; longwu si,,隆务寺; 隆务大乐法轮洲,,,,
375,Ditsa Tashi Choding,d+hi tsha bkra shis chos sding,,,Ditsa; Genden Tashi Choding,ldi tsha bkra shis chos sdings,,,,,
376,Wangdue Phodrang Dzong,dbang 'dus pho brang rdzong,,,Wangduephodrang Dzong; Wangdu Podrang Dzong; Wangdiphodrang,,,,,,
377,Talang,rta glang,,,,,,,,,
378,Tubten Jago Pungpo,thub bstan bya rgod phung po,,,,,,,,,
380,Talo Sangngak Choling,rta log gsang sngags chos gling,,,Talok Sangngak Choling; Talo Monastery,,,,,,
381,Chitokha Puntsok Rabten Ling,spyi to kha phun tshogs rab brtan gling,,,Chitokha; Puntsok Rabten Ling,,,,,,
382,Gangteng Monastery,sgang steng dgon pa,,,Gangtey; Gangte,,,,,,
383,Trakar Lhakhang,spra mkhar lha khang,,,Prakhar Goemba; Prakhar Ngatshang,,,,,,
384,Paro Lateng Monastery,spa gro la steng,,,,,,,,,
385,Tsamdrak Monastery,mtshams brag dgon,,,,,,,,,
387,Tashichoedzong,bkra shis chos rdzong,,,Tashichho Dzong; Dechen Phodrang; Tashichodzong; Thimphu Dzong,bkra shis chos rdzong; thim phu dzong,,,,,
388,Lhundrub Deyang,lhun grub bde dbyangs,,,,,,,,,
389,Gongto Sergyi Lhakhang,dgongs stod gser gyi lha khang,,,,,,,,,
390,Lhadzong Tashigang,lha rdzong bkra shis sgang,,,,,,,,,
392,Gorina Kunang Osel Ling,go ri na sku snang 'od gsal gling,,,Gorina; Gorina Kunnang Osel; Gorinang Kunnang Osel,go ri nang kun snang 'od gsal,,,,,
393,Kyichu Lhakhang,skyid chu lha khang,,,Kyerchu Lhakhang; xiguan si,skyer chu,,,,,
395,Sechang,se chang,,,,,,,,,
396,Shel Monastery,shel dgon,,,Dechen Chokyi Podrang; Shelgon Tashi Dzong,,西关寺,,,,
397,Dzoge Monastery,mdzod dge dgon sar dga' ldan rab rgyas gling,,,Taktsa; Dzoge Gonsar Ganden Rabgye Ling,stag tsha dgon pa,,,,,
398,Bido Gonchen,bis mdo dgon chen,,文都寺,Bimdo; Bindo; Bido Tashi Tosam Chokhor Ling,bkra shis thos bsam chos 'khor gling; bis mdo dgon chen bkra shis thos bsam chos 'khor gling,,,,,
399,Geting Ganden Choling,sge sting dga ldan chos gling,,,,,,,,,
400,Tamshing Lhakhang,gtam zhing lhun grub chos gling,,,Tamzhing Lhakhang; Tamzhing Lhundrup Choling,,,,,,
401,Lamo Dechen,la mo bde chen,,,deqian si,,德千寺,,,,
402,Taktsang Rawato,stag tshang rwa ba stod,,,,,,,,,
403,Shardzong,shar dzong,,,,,,,,,
404,Drugu,gru gu dgon,,珠古寺,Drugu Tang Drubde; Trugu; Zhugusi,tho gru gu dgon; gru gu thang sgrub sde,朱古寺,,,,
405,Punakha Dzong,spungs thang bde ba can,,,Puntang Dewachen; Punakha,spu na kha,,,,,
406,Trongsa Dzong,krong gsar rdzong,,,Choekhor Rabtentse Dzong; Chökhor Raptse Dzong,krong gsar chos 'khor rab brtan,,,,,
407,Karchen,dkar chen,,,,dben gnas byams pa gling,嘎尔清寺; 在 宗教史要 中无相应的寺名,,,,
408,Jamyang Mawai Sengge Ling,jam dbyangs smra ba'i seng ge gling,,,,,,,,,
409,Gyakhar,rgya mkhar dgon,,江河寺,Chepa Gyakhar; jianghe si,chas pa rgya mkhar dgon; bshad sgrub dar rgyas gling,江河寺,,,,
410,Urge Dratsang Sangngak Mingye Ling,urge grwa tshang gsang sngags smin rgyas gling,,,Urge Dratsang Sang Ngak Mingye Ling; Chogar Tashi Chodzong,,,,,,
411,Tongkhor Tashilhunpo,stong 'khor bkra shis lhun po,,,donggu si,khams stong 'khor dgon; gsang chen mi 'gyur rdo rje gling bkra shis lhun po,东谷寺; 东古寺,,,,
412,Derge Parkhang,sde dge par khang,,德格印经院,Derge Printing House; Dege Yinjing Yuan,sde dge par khang chos mdzod chen mo bkra shis sgo mang,德格印经院,,,,
413,Kīrti,kIrti,,,Kirti; Kalari Kirti,kA la ri sde; bkra shis lhun grub; kA la ri dgon sde bkra shis lhun grub,,,,,
415,Pajoding,pha jo sdings,,,Phajoding,,,,,,
416,Luchung Taktsang Gon,stag tshang dgon,,,Luchung,klu chung stag tshang dgon; dga' ldan phun tshogs gling,,,,,
417,Drangjekha,brang rgyas kha,,,,,,,,,
418,Sang Chokhor,gsang chos 'khor,,,,,,,,,
419,Tasho Pomdrak,khra shod spom brag,,,,,,,,,
420,Yangri Gar,yang ri sgar,,羊日岗寺,yangrigang si; yangmari si; aimari si,,羊日岗寺; 艾玛日寺,,,,
421,Getse Tralek,dge rtse bkra legs,,,Getse Dralak; Dralak Shedrub Dongak Ling; zhala si,bkra lag dgon; gra lag dgon; grwa lag dgon; gra ra ring brag dkar dgon; bkra legs sgrub sde,扎拉寺,,,,
422,Gemang,dge mang,,格蒙寺,Sershul Gemang; Dzagyu Gemang; Gemang Gon Lhundup Dechen Ling; Drama Barmi Gonlung; gemeng si,bra ma bar mi dgon; bra ma'i sgrub sde; bra ma dgon; rdza yul dge mang dgon dpal lhun grub bde chen gling bshad sgrub nor bu'i dga' tshal,格蒙寺,,,,
423,Pabongkha Hermitage,pha bong kha ri khrod,,,,,,,,,
424,E Rigo Chode,e ri sgo chos sde,,,,e ri sgo bslab gsum chosde; rigo chode,,,,,
425,Lhetag Monastery,lhas ltag dgon,,,,,,,,,
426,Chakri Nyidrak Monastery,chags ri nyi grags dgon,,,Sindzong Osel Drubde,,,,,,
427,Takmogang Kelzang Puntsok Ling,stag mo sgang skal bzang phun tshogs gling,,,Dzin Takmo Gon,dzin stag mo dgon,,,,,
430,Rakchab Sengri Dorje Yudzong,rak chab seng ri rdo rje g.yu rdzong,,,,,,,,,
432,Gyarong Takten Nampar Gyelwai Ling,rgyal rong rtag brtan rnam par rgyal ba'i gling,,,Gyarong; Derge Gyarong; Gyarong Takten Namper Gyalwai Ling; jiarong si,sde dge rgyal rong dgon,加绒寺,,,,
434,Magur Namgyel Ling,rma mgur rnam rgyal gling,,古鲁寺,gulu si,,古鲁寺,,,,
435,Chekha,chad kha,,,Cheka,,,,,,
437,Kangtsa Ganden Chopel Ling,rkang tsha dga' ldan chos 'phel gling,,岗察寺,Kangtsa; Kangtsa Gonchen; Ganden Chopel Ling; gangca si; gangcha dasi,rkang tsha dgon chen mi 'gyur dga' ldan chos 'phel gling,岗察寺; 刚察大寺,,,,
439,Śrī Siṃha College,shrI sing+ha bshad grwa,,,Shrisimha college; Dzogchen Sengge Ri College; Sengge Ri Shedra; sri singha; shree singha; shree simha; sri simha; sri singha; shri singha; shri shimha; sri shimha,seng+ge ri bshad grwa,,,,,
440,Tongkhor Ganden Chokhor Ling,stong 'khor dga' ldan chos 'khor gling,,,dongke'er si,,东科尔寺; 洞阔寺,,,,
441,Chorten Tang Tashi Dargye Ling,mchod rten thang bkra shis dar rgyas gling,,天堂寺,Chortentang Tashi Dargyeling; tiantang si,,天堂寺,,,,
442,Chunak Tashi Choling,chu nag bkra shis chos gling,,曲乃亥寺,Chunak; qunaihai si,,曲乃亥寺; 曲乃海寺,,,,
443,Chakpori,lcags po ri,,,Chakpori; Chakri,lcags po ri gso rig slob grwa,药王山,,,,
444,Gegong,dge gong,,,gegong si,,格贡寺,,,,
445,Khamshe Dargye Ling,khams byed dar rgyas gling,,,Dzongsar Khamshe,rdzong sar khams bye grwa tshang,,,,,
446,Nyang Tarpa Ling,myang thar pa gling,,,Tarpa Ling; tabalin si,,塔巴林寺,,,,
447,Langna,glang sna,,郎乃寺,Lang Nak; Langna Gon; nongla si; langnai si,glang nag; thub bstan bsam grub mthong grol gling; tre hor glang sna dgon; dkar mdzes glang sna dgon; glang nag dgon pa,弄拉寺; 郎乃寺,,,,
448,Drango,brag mgo dgon,,,Dabpa dzong drango gon; Drakgo,,,,,,
449,Chagdud Orgyen Ling,lcags mdud o rgyan gling dgon,,,Chagdud; Nyarong Chagdud Gon,nyag rong lcags mdud dgon,,,,,
450,Kelzang Sanggye Choling Monastery,bskal bzang sangs rgyas chos gling dgon,,,Gyelwa Kelzang Gon; Nyarong Shar Gyelwa Kelzang Gon,rgyal ba skal bzang dgon; nyag rong shar rgyal ba skal bzang dgon,,,,,
451,Sangngak Dechen Ling,gsang sngags bde chen gling,,,,,,,,,
453,Tubten Gepel,thub bstan dge 'phel,,,Mangkhar Tubten Gepel; Thubden Gepel,,土丹根培林,,,,
454,Ganden Tashi Choling,dga' ldan bkra shis chos gling,,,,,,,,,
455,Pel Nyenmo Ri Namgyel,dpal snyan mo ri rnam rgyal,,年毛寺,Nyenmo,,,,,,
459,Khagya Me Monastery,kha gya smad dgon,,,Kagyame,,,,,,
461,Drakkar Gyelmo,brag dkar rgyal mo,,,Drakar,,,,,,
464,Tsang Dondrub Rabten Ling,gtsang dgon don grub rab brtan gling,,,Dondrub Rabtenling,,,,,,
465,Gangya Drakkar Gon,rgan rgya brag dkar dgon,,甘加白石崖寺,Sangngak Mingye Ling; Khecho Evam Gakyil Ling; Ganjia Baishian Si; Gangya Drakkar; Ganjia Baishian Si,gsang sngags smin rgyas gling; mkha' spyod e waM dga' 'khyil gling,甘加白石崖寺; 甘加白石洞,,,,
466,Chokhor Gyel,chos 'khor rgyal,,,Chokhor Gyel Metok Tang; Chokhorgyal; qukejie si; qiongguojie si; quguojie si; qingkeji si,,曲科杰寺; 琼果杰寺; 曲果杰寺; 青稞吉,,,,
467,Tsagen Peshing,tsha gan pe shing,,,,tsha gan pe shing dga' ldan rab rgyas gling,,,,,
468,Ragya Ganden Tashi Jungne,rwa rgya dga' ldan bkra shis 'byung gnas,,,Ragya; Tashi Kundeling; Ragya Ganden Tashi Jungne; Ragya Gon Tashi Kundeling; lajia si; jiaxiang si,bkra shis kun bde gling; rwa rgya dgon bkra shis 'byung gnas bshad sgrub dar rgyas gling,拉加寺; 嘉祥寺,,,,
469,Sershul,ser shul,,,sexu si,,色须寺,,,,
470,Jumohor Sangngak Choling,ju mo hor gsang sngags chos gling,,,,,,,,,
471,Junyung Hermitage,ju nyung ri khrod,,,Ju,ju ri khrod,,,,,
472,Pelpung,dpal spungs,,,babang si,dpal spungs chos 'khor gling; sde dge dpal spungs dgon pa; thub bstan chos 'khor gling; dpal spungs thub bstan chos 'khor gling,八帮寺; 八蚌寺,,,,
473,Kaṁpo Nenang,kaM po gnas nang,,,Lengu Gon,chab mdo kam po gnas nang dgon,,,,,
474,Ngagar Jangchub Ling,rnga sgar byang chub gling,,,Ngawa Gar Jangchub Ling; Ngagar; awa si; angwa si,rnga ba sgar,阿哇寺; 昂哇寺,,,,
475,Oso,o bswo,,,,,,,,,
476,Gartar,mgar thar,,,Gartar Jampa Ling; huiyuan si; gada xiangbalin,ga' thar chos sde; mgar thar dgon byams pa gling,慧远寺; 嘎达向巴林,,,,
479,Terlung Yiga Chodzin Ling,gter lung yid dga chos 'dzin gling,,沙沟寺,Terlung Gon; Shagou Si; duilong si,,堆隆寺,,,,
480,Amchok Monastery,a mchog dgon,,,Amchok Gon Ganden Chokhor Ling; Amchok Demotang Ganden Chokhor Ling,dga ldan chos 'khor 'phel rgyas gling; a mchog bde mo thang dga' ldan chos 'khor gling,,,,,
481,Gartse Tubten Chokhor Ling,gar rtse thub bstan chos 'khor gling,,,Gartse,,,,,,
482,Martang Obten,mar thang ob bstan dgon pa,,,shantang aodan si,mar thang bsam 'phel dar rgyas gling,,,,,
484,Kīrti Namgyel Dechen Ling,kIrti rnam rgyal bde chen gling,,格尔登寺,geerdeng si,rnam rgyal bde chen gling; ki rti dgon pa; ki rti dgon gsar dge ldan legs bshad gli,,,,,
485,Tsetang,rtsed thang,,阿曲扎仓,Tsetang Monastery; Cethang; Ngacho Dratsang,rtse thang; rtsed thang lnga mchod grwa tshang,阿曲扎仓,,,,
486,Sangsang Dungkar,sang sang dung dkar,,,,,,,,,
487,Lhogyu Sera,lho rgyud se ra,,,,,,,,,
488,Wangda,dbang mda',,,Wangda Gon Tubten Chokorling; Wangda Gon Shedrub Tashikhyil,thang dkar ma'i dgon pa; dbang mda' dgon bshad sgrub bkra shis g.yas 'khyil,,,,,
489,Denang Monastery,sde nang dgon,,,,,,,,,
490,Tongkyab,stong skyabs,,,Tongkyap,,,,,,
491,Dori Hermitage,rdo ri ri khrod,,,,,,,,,
492,Lhundrub Dzong,lhun grub rdzong,,,,,,,,,
493,Yugu Tongtse,dbyu gu mthong rtse,,,,,,,,,
494,Wenne Tashikhyil,dben gnas bkra shis 'khyil,,,,,,,,,
495,Wenne Samdrub Deden Ling,dben gnas bsam grub bde ldan gling,,,,,,,,,
496,Dedzom Gatsel,bde 'dzoms dga' tshal,,,Darzhing Dedzom Gon; Darzhing Dedzom Gatsel; Darzhing Gon Dedzom Gatsel,dar zhing bde 'dzoms dga' tshal,,,,,
497,Dzongkar Monastery,rdzong dkar bka' gdams pho brang bkra shis gling,,,Dzongkar Kadam Podrang Tashi Ling,,,,,,
498,Takdo,ltag rdo,,,,,,,,,
499,Dopuk,rdo phug,,,Dopuk Hermitage,rdo phug ri khrod,,,,,
500,Tsikyang,rtsi rkyang,,,,,,,,,
501,Angang,a 'gang,,,Agang,,,,,,
502,Chorten Kyak,mchod rten skyag,,,,,,,,,
503,Namkyak Monastery,gnam skyag dgon,,,,,,,,,
504,Karing Tashi Dargye Ling,ka ring bkra shis dar rgyas gling,,,Karing; Garing; galeng si,kwa ring dgon,尕楞寺; 尕楞寺,,,,
505,Rongwo Tashikhyil,rong bo bkra shis 'khyil,,,,,,,,,
508,Tashi Chokhor Ling,bkra shis chos 'khor gling,,,,pho ldang dgon; karma thub bstan bkra shis chos 'khor gling,,,,,
509,Gome Oseltang,sgom med 'od gsal thang,,,Gomme Oselthang,sgom med 'od gsal thang chos sgar,,,,,
510,Nakchung Ritro,nags chung ri khrod,,,,,,,,,
511,Ga Nyide,sga nyi bde,,,Nyide,,,,,,
512,Jyekundo Dondrub Ling,skye dgu mdo don grub gling,,,Kyegu Dondrub Ling; jiegu si,skye rgu dgon; skye rgu'i don 'grub gling,结古寺; 结古义成洲,,,,
514,Se Trazang,se bkra bzang dgon,,,Riwo Trazang; Gyel Trazang,,扎桑寺; 日吾扎桑寺,,,,
515,Sang Ngak Tekchokling,gsang sngags theg mchog gling,,,,,,,,,
516,Guru Pema Evaṁ Chokgar,gu ru padma e waM lchog sgar,,,Guru Pema Ewam Chokgar; Guru Pema Evam Choggar,,,,,,
517,Tashi Samten Ling,bkra shis bsam gtan gling,,,,,,,,,
518,Jazi,ja bzi,,甲孜寺,Nyarong Jazi Gon; Jazi Gon Sangngak Dechen Choling; jiazi si,gya bzi dgon; gya dgon; ja bzi dgon gsang sngags bde chen chos gling,甲孜寺,,,,
519,Tromge Gon,khrom dge dgon,,,changgen si,,昌根寺,,,,
520,Horkor Gon,hor skor dgon,,,Horkor Shedrub Dargye Ling,hor skor dgon bshad sgrub dar rgyas gling,,,,,
521,Yakzer Gon,g.yag zer dgon,,,,,,,,,
522,Gegyel Dzogchen,dge rgyal rdzogs chen,,,Gegyel Natsang,dge rgyal nag tshang dgon,,,,,
523,Monkhar Namseling,mon mkhar rnam sras gling,,,Namseling Shamar Gonsar,rnam sras gling zhwa dmar dgon gsar,,,,,
524,Yangcho Sangcho Pema Lhunding,yang chos gsang chos padma lhun sdings,,,,g.yang chos dgon,,,,,
525,Nubzur Gon,gnubs zur dgon pa,,,luo ruo si,,洛若寺,,,,
526,Changma Gar,lcang ma sgar,,,Samten Dargye Ling; Dzato Changma Gar Samten Dargye Ling,rdza stod lcang ma sgar bsam gtan dar rgyas gling,,,,,
527,Larung Gar,bla rung sgar,,色达五明佛学院,Serta Larung Five Sciences Buddhist Academy; Larung Gar English Centre for the Five Traditional Sciences and Higher Buddhist Studies; seda wuming foxueyuan,bla rung slob gling; gser thang lnga rig nang bstan slob gling; gser rta bla rung lnga rig nang bstan slob gling; gser ljongs bla ma rung gi sgar chen,色达五明佛学院,,,,
529,Lhalung Gon,lha lung dgon,,,Lhalung Tekchokling; lalong si,,拉隆寺,,,,
530,Ganden Mipam Choling,dga' ldan mi pham chos gling,,,Gedrub Ling; Alashan; Alaksha,dge sgrub gling,广宗寺,,,,
531,Tashilung,bkra shis lung,,,,bkra shis lung,,,,,
532,Tsenpo Gon,btsan po dgon,,,Serkhok,gser khog dgon; dga' ldan dam chos gling,赞布寺; 赛柯合寺; 郭莽寺; 广惠寺,,,,
533,Martsang Drak Gon,dmar gtsang brag dgon,,白马寺,Martsangdrag Gonpa; White Horse Temple; baima si,,白马寺,,,,
535,Pasho Gon,dpa' shod dgon pa,,八宿寺,Basu si,,八宿寺; 同卡寺; 循努巴雪桑珠林,,,,
536,Kundeling,kun bde gling,,功德林寺,Kunde Ling; gongdelin si,,功德林寺,,,,
537,Lampar Monastery,lam 'phar dgon,,,,,,,,,
538,Nyel Drewule Gon,gnyal dre'u lhas dgon,,查乌寺,Drinlay Gon; chawu si; zhaguo si; nie chawu si,brug dre'u lhas gser gyi chos 'khor,查乌寺; 扎果寺; 涅·查乌寺,,,,
539,Tatsak Lhundrub Dechen,rta tshag lhun grub bde chen,,,Tashak Lhundrub Dechen; Baso Lhundrub Dechen Gon; Tobgyel Baso Lhundrub Dechen Gon,ba so lhun grub bde chen dgon; thob rgyal ba so lhun grub bde chen dgon,,,,,
540,Ganden Shedrub Ling,dga' ldan bshad sgrub gling,,,Shedrub Ling; Kato Gon,ka mtho dgon,,,,,
543,Drepung Zurkhang,bras spungs zur khang,,,,,,,,,
544,Gingtang Gon,ging thang dgon,,,Gingtang Gon Ganden Shedrub Peljor Ling; gentang si; gentang si gandan xiezhu banjuelin,gying thang dgon,跟塘寺; 根塘寺甘丹协珠班觉林,,,,
546,Zhe Dratsang,bzhad grwa tshang,,,Dratsang Monastery; chazang si,,查藏旗磨热嘎曲丁寺; 查藏寺,,,,
547,Khanon Gon,kha non dgon,,,Tubten Nyinje Gatsel Ling; kalong si,thub bstan nyin byed dga' tshal gling; dkar mdzes kha non dgon,卡龙寺,,,,
551,Gyere,gye re,,,,,,,,,
553,Mawochok,smra bo lcogs,,莫吾觉寺,Mawachok; mowujue si,smra ba cog; smra bo lcog; smra bo lcogs,,,,,
554,Guru Lhakhang,gu ru lha khang,,,,,,,,,
556,Dregon Sar,bres dgon gsar,,,,,,,,,
557,Rikhud Monastery,ri khud dgon,,,Rikhu; riku si,dpal ldan bsam 'grub chos dar gling,日库寺,,,,
559,Dekyi Ling,bde skyid gling,,,Dekyiling,,,,,,
560,Porong Pelmo Choding Monastery,spo rong dpal mo chos sdings,,,Pema Choling,pad ma chos gling; spo rong bde chen dpal mo chos sdings; bde chen dpal mo chos lding,白玛曲林寺,,,,
561,Shelkar Chode,shel dkar chos sde,,,Shelkhar Chode; xiege-er qude si,shel dkar chos sde dga' ldan legs bshad gling,协格尔曲德寺,,,,
563,Chakzam Chuwori,lcags zam chu bo ri,,,Tshechu Drubde; cijiu zhude si; cijiu zhudan si,tshe chu sgrub sde; lcags zam bla brang; gu ru'i sgrub phug nam mkha' lding; lcags zam chu bo ri tshe chu sgrub sde,次久珠德寺; 次久珠丹寺,,,,
564,Samding Monastery,bsam sdings dgon pa,,桑丁寺,Yardrok Samding; Pel Khandro Duwei Tine Samdrub Chokyi De,dpal mkha' 'gro 'du ba'i bsti gnas bsam grub chos kyi sde,,,,,
565,Yama Tashikhyil,g.ya' ma bkra shis 'khyil,,,Yama Trashikyil; Yarma Tashikyil; yama zhaxiqi si,reb kong bkra shis 'khyil,雅玛扎西其寺,,,,
566,Yonghegong,dga' ldan byin chags gling,,雍和宫,Yonghe Gong Ganden Jinchak Ling; Lama Temple; yonghe gong; yung ha kun,g.yung hwa dgon,雍和宫,,,,
567,Dartang Monastery,dar thang dgon,,白玉寺,,,,,,,
569,Dongtre Samten Ling,gdong sprad bsam gtan gling,,,,,,,,,
571,Alo Peljor Gang,a lo dpal 'byor sgang,,,Peljor Gon; Derge Peljor Gon,sde dge dpal 'byor dgon; dpal 'byor dgon,,,,,
572,Sera Choding,se ra chos sdings,,,Choding Khang; Sera Choding Ritro,,,,,,
573,Segyu Dratsang,srad rgyud grwa tshang,,,Segyued Monastery; Segyu Gaden Phodrang Monastery,,,,,,
574,Lhunpo Tse,lhun po rtse,,,Shabto Lhunpotse Chode,shab stod lhun po rtse'i chos sde,,,,,
575,Jangchen,byang chen,,,,,,,,,
576,Lhadong Gon,lha gdong dgon,,,Padruk Lhagong Monastery,pha drug lha gdong dgon,,,,,
585,Senmo,bsen mo,,,,,,,,,
586,Tolung Yangwen Pelgon,gto lung yang dben dpal dgon,,,,,,,,,
587,Drakkar Gepel Ling,brag dkar dge 'phel gling,,,,,,,,,
590,Chakar Monastery,chad dkar dgon,,,Chakha,chad kha dgon; 'jog mda' 'chad kha dgon; 'phan yul 'chad kha dgon,,,,,
591,Samling Monastery,bsam gling,,,,,,,,,
595,Yanggon,yang dgon,,,,,,,,,
596,Pel Zangden,dpal bzang ldan,,,,,,,,,
597,Chukha Monastery,chud kha dgon,,,,,,,,,
599,Yangpachen,yangs pa can,,羊八井寺,yangbajing si,byang yangs pa can dgon pa,羊八井寺,,,,
603,Sakya Monastery,sa skya dgon pa,,萨迦寺,Sakya Gonchen; sajia si,sa skya dgon chen,,,,,
612,Bodong E,bo dong e,,,,,,,,,
615,Gongkar Chode,gong dkar chos sde,,,Gongkar; Gongkar Dorjeden; Dorje Den; Gangkar Dorjeden; gongga qude si,gong dkar rdo rje gdan; gangs dkar rdo rje gdan,贡嘎曲德寺,,,,
616,Yarlung Namgyel,yar klungs rnam rgyal,,,,,,,,,
617,Yarlung Samten Ling,yar lung bsam gtan gling,,,,,,,,,
618,Sekharchung,se mkhar chung,,,,,,,,,
621,Golok Getse,mgo log dge rtse,,,geshize si; zemgmuda si,,格什则寺; 增木达寺,,,,
650,Khyungpo Tengchen,khyung po steng chen,,,Tengchen; dingqing si,g.yung drung bstan rgyas gling; khyung dkar g.yung drung bstan rgyas gling; steng chen dgon g.yung drung bstan rgyas gling,丁青寺; 邛波丁青寺,,,,
657,Ripuk Hermitage,ri phug ri khrod,,日布寺,Ribuk Ritro; ribu si,ri sbug ri khrod; ri phug chos kyi dga' tshal; zhwa lu ri sbug,日布寺; 日浦寺,,,,
672,Trandruk,khra 'brug,,,Tradruk; Tradrug; Trandrug; Trangdruk; Trhandruk; Trangdruk; Traduk; changzhu si,g.yo ru khra 'brug bkra shis byams snyoms lha khang,昌珠寺,,,,
673,Khangsar,khang gsar,,,Khangsar Monastery; Kang sa si,khang gsar dgon; khang gsar nyin pa dgon; bshad sgrub nor bu'i gling,康萨寺,,,,
679,Gyu Monastery,rgyus,,,Er ju si; Er cha si,,二居寺二查寺 (可能性大）,,,,
682,Tsedong Monastery,rtse gdong dgon,,孜东寺,Tsedong Gon; zidong si,srid gsum rnam rgyal gsang chen smra ba'i gling,孜东寺,,,,
687,Pulung Rinchen Ling,phu lung rin chen gling,,,pulong si,pho lung dgon; spo bo pho lung dgon; phu lung dgon 'og min byang chub gling; phu lung chos lding; rin chen spungs gdan sa 'og min byang chub gling,普龙寺,,,,
688,Namdroling,rnam grol gling /,,,,,,,,,
696,Tsimda Monastery,rtsis mda' dgon pa,,,,,,,,,
697,Nyenlung,snyan lung dgon,,,nianlong si,,年龙寺,,,,
699,Zhuchen Monastery,zhu chen dgon pa,,,,,,,,,
700,Simda Dzogchen Monastery,srib mda' rdzogs chen dgon,,卓金寺,Sibda Dzogchen,,,,,,
701,Phyang,sgang sngon bkra shis chos rdzong,,,Gangngon,,,,,,
702,Zurmang Namgyeltse,zur mang rnam rgyal rtse,,,,,,,,,
703,Kham Kyogon,khams skyo dgon,,,Kham Gyok; kangjue si,,康觉寺,,,,
704,Tashi Gang,bkra shis sgang,,,,,,,,,
705,Sharkyo Ganden Monastery,shar skyo dga' ldan dgon,,,,,,,,,
707,Lho Ganden Monastery,,,,,,,,,,
711,Dingri Langkhor,ding ri glang 'khor,,,,,,,,,
713,Nyedo Monastery,snye mdo dgon,,,Nyemdo; ningduo si,snying sde dgon; snying rdo dgon,宁多寺,,,,
716,Drakkar Treldzong,brag dkar sprel rdzong dgon,,,Tosam Yonten Dargyeling,brag dkar sprel rdzong thos bsam yon tan dar rgyas gling,扎嘎者宗托桑云丹达吉林; 赛宗寺,,,,
717,Pabongkha Labrang,pha bong kha bla brang,,,,,,,,,
718,Amchok Tsenyi,a mchog mtshan nyid dgon,,,chali si,dpal ldan smra ba'i seng+ge gling,查里寺; 查理寺,,,,
719,Tabo,ta po dgon,,,,ta pho dgon; spi ti ta dgon; spi ti ta dgon theg chen chos gling; spyi ti ta po'i dpal bkra shis bde gnas gtsug lag khang,,,,,
720,Khampa Gar,khams pa sgar,,,Khampagar; Kangba si,sga nyag khams pa sgar; thub bstan phun tshogs gling; 'brug dgon khams pa sgar,康巴寺,,,,
721,Yeta Lungkar,ye tha lung dkar dgon,,,longka si; longga si,ye tha lung dkar dgon gshen bstan rin chen gling,龙卡寺; 龙嘎寺,,,,
722,Meru Nyingpa,rme ru rnying pa,,旧木如寺,Old Meru;  jiu muru si,,,,,,
723,Tengyeling,bstan rgyas gling,,,,,,,,,
724,Tsemonling,tshe smon gling,,,Tsomonling; Tsemoling; cemenlin si,mtsho smon gling,策门林寺,,,,
804,Ganden Jangchub Chopel Ling,dga ldan byang chub chos 'phel gling,,,Lungzang Ritro; Lungzang Hermitage; Tewo Ganden Jangchub Chopel Ling,lung bzang ri khrod,,,,,
805,Arik Gonchen,a rig dgon chen,,阿柔大寺,arou dasi; alike dasi,a rig dgon dga' ldan chos 'phel gling,阿力克大寺; 阿柔大寺,,,,
806,Shadzong Ritro,shwa rdzong ri khrod,,,xiazong si,shwa rdzong sgrub sde,夏宗寺,,,,
807,Trangu,khra 'gu dgon,,,Thrangu; Gato Tragu Gon Tashi Choling; changu si; chuanggu si,sga stod khra 'gu dgon bkra shis chos gling,创古寺; 禅古寺,,,,
