community_id,person_id
156,2409; 2436; 2441; 2442; 2506; 2755; 2996; 3008; 3107; 3141; 3225; 3296; 3758; 4665; 4730; 5410; 5436; 5490; 5729; 5899; 5902; 6161; 6526; 6586; 6646; 8861; 9690; 9873
1404,9594; 13654
1238,13511
1183,4358; 9622
412,3485; 4358; 6499; 9383; 10699; 11972; 12741; 13532; 13533
1199,4358
1274,3008; 5729
1056,8574
955,8538
1632,5099; 11428; 13811
831,5729
432,8578; 13828
1339,4358; 13654
1634,12981
1216,4358
145,6671
1005,5871
571,4358
9,2118; 2589; 2776; 2780; 2781; 2992; 3436; 4028; 4140; 4291; 4358; 4622; 4691; 5151; 7152; 7254; 7582; 7736; 8177; 8181; 8536; 8538; 8539; 8543; 8549; 8551; 8562; 8563; 8566; 8567; 8574; 8575; 8580; 8583; 8584; 8585; 8592; 8596; 8600; 8603; 8609; 8610; 8616; 8617; 8618; 8624; 8625; 8629; 8630; 8631; 8633; 9047; 9083; 9105; 9190; 9297; 9372; 9593; 9612; 9895; 9929; 9990; 10018; 10019; 10093; 10355; 10422; 10571; 10572; 10573; 10647; 10649; 10654; 10656; 10658; 10659; 10673; 10676; 10678; 12980; 12982; 13134; 13157; 13169; 13170; 13228; 13884
441,2755; 3134; 3739; 6419; 9873
539,2330; 4168; 6746
921,2996; 13731
488,7945; 9083
520,5099
490,7945
489,7945
696,8651; 9083
1244,8538
14,2992; 4358; 4622; 4676; 7581; 7582; 7681; 8574; 8584; 8753; 8754; 8757; 8892; 8972; 9047; 9105; 9126; 9190; 9895; 10018; 11003; 11245; 11246; 11258; 11277; 11278; 11279; 13511; 13864
237,29; 2328; 2329; 2462; 2592; 3778; 3782; 3783; 3784; 3785; 3786; 3788; 3789; 3791; 3792; 3793; 3794; 3795; 3877; 3989; 4002; 4285; 5137; 5897; 6340; 6373; 6770; 6793; 6935; 8076; 8085; 8101; 8103; 9126; 9693; 9750; 11565; 11597; 11618; 13078; 13097; 13098; 13099; 13100; 13101; 13102; 13103; 13104; 13105; 13106; 13107; 13108; 13109; 13110; 13404; 13423
1713,9083
382,3000; 4379; 4478; 13133; 13142; 13143; 13145; 13146
1324,9361
296,4402
1114,5641
1042,8861
442,3134
43,8574; 9990; 13653; 13654; 13659; 13810
380,8355; 13747; 13749
1307,3770
1041,8861
716,4611
207,8; 2336; 2720; 5641; 6499; 6668; 7581; 7803; 8507; 9105; 9594; 9622; 9990; 10355; 10617; 10644; 11290; 11883; 11972; 12745; 13187; 13249; 13511; 13512; 13513; 13514; 13515; 13528; 13532; 13533; 13654; 13699; 13700; 13702
464,4607
331,1659; 4358; 9634; 12839
925,9712
504,2948
566,2948; 3822; 5338; 8861; 9693; 13744
718,12171
373,1871; 6161
1254,5490; 6529
410,3080; 4611; 5910; 6025; 6529; 6622; 8069
63,620; 2584; 2589; 2595; 2662; 2683; 3121; 3165; 3168; 3169; 3175; 3182; 7523; 9126; 10258; 13242
372,4611; 4642
136,10687
599,4358; 5500; 8906; 10548; 13863
1234,10497
1235,10497
1309,9945
945,13440
956,4166
961,7373
116,13065
977,7272
160,3469
1001,3165; 3175
1012,2340
1018,6770
1019,6770
119,2670; 2712; 4085; 11437
154,3881; 6134
1141,4611
1186,11597
59,2069; 8181; 13747
1405,13652
234,10536
1398,13650
1587,13743; 13825
1259,10480
530,5338
1289,2683
719,10199
1406,13652
1103,13737; 13823
1428,2816
1017,8782
107,13064
1218,5500; 7114
1112,8754
1113,8754
1329,4086; 12838
251,2340
33,2338; 4310; 5858; 10548; 12613; 13721
618,2812; 5408; 11307
453,4223
1320,13617; 13688; 13817; 13850
546,2997
1492,12553
839,3736; 10644; 12521
1549,9761; 9764; 13855; 13856; 13859
560,13205
210,4358; 7272; 8752
70,3181; 7637
208,4358; 8752
426,6668; 8578; 9546; 10412; 10413; 10414; 10415; 11487
1179,13574
241,12096
721,12096
242,12096
687,2639; 10824; 13235; 13236
134,10824
1330,10811
360,13547
1093,6353
407,4727
1148,2943
365,9523
1426,3049; 13655
288,2948
209,4358; 8752; 11632
805,6065; 12828
