map_region_id,bdrc_id,label,wylie,tibetan,chinese,lat,long,region_type,html,zoom_min,zoom_max,type,zoom_level_on_click,map_priority_level_id
170,G1695,Chentsa,gcan tsha,གཅན་ཚ།,尖扎,35.939942,102.030184,,,8,21,city,12,5
171,,Sharda,shar mda',ཤར་མདའ།,香达,32.204409,96.482455,,,8,21,city,10,5
172,,Jadir,bya dir,བྱ་དིར།,夏德,35.037203,101.465694,,,8,21,city,12,5
173,G1698,Chabcha,chab cha,ཆབ་ཆ།,共和,36.276161,100.619975,,,8,21,city,12,5
174,G1518,Gepasumdo,gad pa sum mdo,གད་པ་སུམ་མདོ།,同德,35.249055,100.588502,,,8,21,city,12,5
175,G1715,Trika,khri ka,ཁྲི་ཀ།,贵德,36.040286,101.433258,,,8,21,city,12,5
176,G1812,Mangra,mang ra,མང་ར།,贵南,35.588802,100.746234,,,8,21,city,12,5
177,G1754,Machen,rma chen,རྨ་ཆེན།,玛沁,34.478916,100.238279,,,8,21,city,12,5
178,,Gyelje Podrang (Drito),dri to,འདྲི་ཏོ།,,33.853982,95.615404,,,8,21,city,10,5
179,,Seraitang,se ra'i thang,སེ་རའི་ཐང།,赛来唐,32.934673,100.736,,,8,21,city,12,5
180,,Gyume,rgyud smad,རྒྱུད་སྨད།,吉迈,33.752198,99.650552,,,8,21,city,12,5
181,,Drukchen Sumdo,drug chen sum mdo,དྲུག་ཆེན་སུམ་མདོ།,智青松,33.434211,101.488605,,,8,21,city,12,5
182,G1755,Mato,rma stod,རྨ་སྟོད།,玛多,34.916663,98.208409,,,8,21,city,12,5
183,G2328,Dzato,rdza stod,རྫ་སྟོད།,杂多,32.895503,95.299614,,,8,21,city,12,5
184,G2325,Trindu,khri 'du ,ཁྲི་འདུ་།,称多,33.370001,97.107071,,,8,21,city,12,5
185,G2169,Sakya,sa skya,ས་སྐྱ།,萨迦,28.90239,88.01992,sub_region,,7,21,city,7,5
243,G1052,Pari,dpa' ris,དཔའ་རིས།,天祝县,36.980151,103.13442,,,9,21,city,11,5
250,G3165,Purang,spu rang,སྤུ་རང།,普兰,30.29728,81.17592,,,8,21,city,11,5
254,G3188,INDIA,rgya gar,རྒྱ་གར།,印度,,,region,,,,region,,3
255,G3JT12630,Dharamsala,dha ram sa la,དྷ་རམ་ས་ལ།,,32.218184,76.323446,,,5,11,city,10,5
257,G3186,UTSANG,dbus gtsang,དབུས་གཙང།,卫藏,,,region,,,,region,,5
258,,T I B E T,bod,བོད།,,31.5575,88.0466,region,,,,region,,1
259,G1539,DERGE,sde dge,སྡེ་དགེ།,德格县,31.77606,98.96157,region,,,,region,,3
260,G858,LING,gling,གླིང།,,32.38988,98.19434,local_region,,,,region,,4
261,G682,Lhatok,lha thog,ལྷ་ཐོག།,,31.54658,97.287,,,,,region,,5
262,G4144,NANGCHEN,nang chen,ནང་ཆེན།,囊谦,32.5697,96.6231,local_region,,,,region,,4
263,,Ulan Ude,,,,51.83571,107.58896,,,,,city,,4
264,,Buryatia,,,,52.7182426,109.492143,region,,,,region,,3
265,,Gezing,rgyal shing,རྒྱལ་ཤིང།,,27.295407,88.253646,local_region,,,18,city,12,5
266,,Sindrang,sin da rang,སིན་ད་རང།,,27.328845,88.197851,local_region,,7,22,city,7,5
267,,Rinchenpong,rin chen spungs,རིན་ཆེན་སྤུངས།,,27.237152,88.268428,local_region,,,,city,,5
268,,Singyang,sin g.yang,སིན་གཡང།,,27.324152,88.211265,local_region,,10,22,city,,5
269,,Tashiding,bkra shis lding,བཀྲ་ཤིས་ལྡིང།,,27.309711,88.291653,local_region,,,22,city,10,5
270,G684,Gyeltang,rgyal thang,རྒྱལ་ཐང།,,27.7727,99.7059,local_region,,4,10,region,,3
271,G4236,Jang Satam,jang sa tham,འཇང་ས་ཐམ།,降三赕,26.924,100.2315,,,4,10,region,,3
272,G2358,Eyul,e yul,ཨེ་ཡུལ།,,29.0665482,92.1904343,local_region,,,,region,,4
