community_id,tbrc_id,community_name,founded_date,founded_date_approximate,founded_date_alternate,founded_century_id,existed_by_century_id,founded_century_id,existed_by_century_id
342,G109,Drepung Gomang Dratsang,,0,,53,,53,
446,G257,Nyang Tarpa Ling,,0,,53,,53,
474,G1KR2454,Ngagar Jangchub Ling,,0,,53,,53,
538,G48,Nyel Drewule Gon,,0,,53,,53,
560,G1KR1648,Porong Pelmo Choding Monastery ,,0,,53,,53,
596,,Pel Zangden,,0,,53,,53,
597,,Chukha Monastery,,0,,53,,53,
705,,Sharkyo Ganden Monastery,,0,,53,,53,
1248,G1KR2419,Shadrang ,1346,0,,53,,53,
1493,G512,Baradrak Dondrubding,,0,,53,,53,
1532,G3JT13480,Dranggyekha,,0,,53,,53,
1610,G508 ,Yarlung Tashi Chode,,0,,53,,53,
1644,,Richung,,0,,53,,53,
1673,G4017,Jangkar Monastery,,0,,53,,53,
231,,Dechen Teng,,0,,54,,54,
174,G326,Zurmang Dutsitil,,0,,57,,57,
185,G238,Wensa Monastery,,0,,57,,57,
192,G4244,Gangchen Chopel,,0,,57,,57,
279,,Demola Monastery,,0,,57,,57,
285,G3486,Tashi Cholung,,0,,57,,57,
286,G2GS1296,Lho Chotritang ,,0,,57,,57,
323,G3487,Drula,,1,,57,,57,
334,G399,Riwo Dechen,,0,,57,,57,
348,G155,Sera Je,,0,,57,,57,
357,G2363,Pakmo Chode,,0,,57,,57,
539,G1711,Tatsak Lhundrub Dechen,,0,,57,,57,
546,G1KR1596,Zhe Dratsang,,0,,57,,57,
551,G2427,Gyere,,0,,57,,57,
866,,Barkor Jampa Lhakhang,,0,,57,,57,
875,G1KR826,Karmashak Tsenkhang,,0,,57,,57,
904,,Nangtseshar,,0,,57,,57,
914,G4458,Riwo Choling,,0,,57,,57,
954,G3467,Dzaka,,0,,57,,57,
1019,G1AG65,Wikcho Dzong,,0,,57,,57,
1162,G1TD32,Tachogang Lhakhang,,0,,57,,57,
1183,G1656,Mandal Gon,,0,,57,,57,
1213,G4169,Zingpa Takgo,,0,,57,,57,
1231,G2GS1126,Ling Khamtsen,,0,,57,,57,
1235,G1AG109,Tubchen Dargye Ling,,0,,57,,57,
1242,G1575,Khangmar Monastery,,0,,57,,57,
1263,G4114,Gyelpak Monastery,,0,,57,,57,
1283,G505,Thikse Monastery,,0,,57,,57,
1292,G3109,Chuwar Monastery,,0,,57,,57,
1373,G4CZ1550,Dranang Jampa Ling,,0,,57,,57,
1406,G1KG24026,Spituk,,0,,57,,57,
1417,,Diskit,,0,,57,,57,
1418,,Charasa,,0,,57,,57,
1419,,Ensa,,0,,57,,57,
1420,,Tsazar,,0,,57,,57,
1422,,Phuktal,,0,,57,,57,
1554,G4883,Jangchub Chokhor Ling,,0,,57,,57,
1617,G2CN10992,Tartse Labrang,,0,,57,,57,
1624,G1PD96165,Yutsa,,0,,57,,57,
112,G4619,Chubzang,,0,,59,,59,
298,G308,Dakpo Dratsang ,,0,,59,,59,
1662,G0LAT587,Lingshed,,0,,59,,59,
116,G1AG44,Mending,,0,,61,,61,
198,G2CN10832,Chekar Chode,,0,,61,,61,
253,G665,Pelri Tekchen Ling ,,0,,61,,61,
326,G3012,Drakwar Monastery,,0,,61,,61,
389,,Gongto Sergyi Lhakhang ,,0,,61,,61,
411,G1542,Tongkhor Tashilhunpo,,0,,61,,61,
451,,Sangngak Dechen Ling,,0,,61,,61,
515,G4795,Sang Ngak Tekchokling,,0,,61,,61,
516,,Guru Pema Evaṁ Chokgar,,0,,61,,61,
815,,Jampa Bumling,,0,,61,,61,
842,G158,Gepel Hermitage,,0,,61,,61,
865,,Banak Zhol Gyelkhang,,0,,61,,61,
892,G4249,Namgyel,,0,,61,,61,
968,G1PD110071,Rumtek,,0,,61,,61,
1119,G2KT7,Sorik Dropen Ling,,0,,61,,61,
1273,G1TD41,Pomda Sangngak Dechen Monastery,,0,,61,,61,
1391,G1KR1605,Ngonga Choding,,0,,61,,61,
1393,,Chamdo Drolma Lhakhang,,0,,61,,61,
1482,G1527,Bomrak Ganden Dondrub Ling,,0,,61,,61,
1501,,Druk Dechen Chokhor,,0,,61,,61,
1546,,Drapu Choling,,0,,61,,61,
1551,,Chakkyi Yangtse,,0,,61,,61,
1620,,Luding Labrang,,0,,61,,61,
1694,,Drumpa Monastery,,0,,61,,61,
233,G1PD127458,Hanle,,0,,65,,65,
273,G3JT12631,Shey,,0,,65,,65,
321,G2510,Rakadrak Hermitage,,0,,65,,65,
346,,Pari Tashi Choling ,,0,,65,,65,
356,,Genden Chopeling,,0,,65,,65,
369,G1519,Gyeltang Sungtseling,,0,,65,,65,
444,G3961,Gegong,,0,,65,,65,
503,,Namkyak Monastery,,0,,65,,65,
585,,Senmo,,0,,65,,65,
586,,Tolung Yangwen Pelgon,,0,,65,,65,
701,G217,Phyang,,0,,65,,65,
723,G303,Tengyeling,1762,0,,65,,65,
805,G1KR2385,Arik Gonchen,,0,,65,,65,
809,G3998,Chatreng Sampel Ling,,0,,65,,65,
827,G2424,Chushur Tarpa Ling,,0,,65,,65,
831,G168,Taklung Ganden Damcho Ling,,0,,65,,65,
845,,Sampho Manor house,,0,,65,,65,
887,G1KT3,Armory,,0,,65,,65,
903,G1TD44,Tromsikhang,,0,,65,,65,
913,G1KR829,Trode Khangsar,,0,,65,,65,
947,G2KR132,Ikh Khuree,,0,,65,,65,
1021,G2479,Chubzang Hermitage (Sera),,0,,65,,65,
1044,G1KR2434,Sengge Shong Mago,,0,,65,,65,
1105,G3841,Shukgang Monastery,,0,,65,,65,
1144,G1PD110068,Drakkar Tashiding,,0,,65,,65,
1174,G3930,Mangge,,0,,65,,65,
1243,G3810,Khangmar,,0,,65,,65,
1261,G4103,Rashel,,0,,65,,65,
1274,G167,Zhamar Monastery,1644,0,,65,,65,
1282,G4335,Drokge Monastery,,0,,65,,65,
1336,G00AG01696,Pungpo Riwoche,,0,,65,,65,
1353,G1PD110067,Pemayangtse,,0,,65,,65,
1398,G1BL7,Daktok,,0,,65,,65,
1518,G46,Sangngak Choling,,0,,65,,65,
1552,,Chungtang,,0,,65,,65,
1588,,Bardan,,0,,65,,65,
1619,,Khangsar Labrang,,0,,65,,65,
1692,,Rinak,,0,,65,,65,
1693,,Drilma Sangngak Choding,,0,,65,,65,
500,,Tsikyang,,0,,68,,68,
345,G1PD95975,Ganden Rinchen Ling,,0,,69,,69,
418,G55,Sang Chokhor ,,0,,69,,69,
421,G518,Getse Dralek,,0,,69,,69,
476,G3494,Gartar,,0,,69,,69,
720,G50,Khampa Gar,,0,,69,,69,
724,G220,Tsemonling,,0,,69,,69,
867,,Barkor Mani Lhakhang,,0,,69,,69,
871,G157,Drib Tsechokling,,0,,69,,69,
878,G1KR851,Lukhang,,0,,69,,69,
890,,Shol Office,,0,,69,,69,
900,G1KR841,Shide Dratsang,,0,,69,,69,
1024,G1PD129182,Kumbum Printing Press,,0,,69,,69,
1097,G3736,Yulkhyong Monastery,,0,,69,,69,
1172,G3983,Yarlung Pemako,,0,,69,,69,
1178,G4847,Beshing Monastery,1780,0,,69,,69,
1264,G4108,Kunub Monastery,,0,,69,,69,
1295,G2KR38,Dambadarjaa Monastery,,0,,69,,69,
1528,G1PD110075,Doling,,0,,69,,69,
