"Place Name","BDRC ID",community_id,person_id
Galenteng,G1651,1404,"9594; 13654"
"Gampo Zanglung",G1TD4,971,3165
"Gandan Tegchenling",G507,1280,11437
Ganden,G337,36,"8027; 8086; 8097; 8099; 8105; 8106; 8107; 8108; 8109; 8986; 9049; 9050; 9051; 9053; 9055; 9056; 9057; 9058; 9059; 9062; 9083; 9095; 9213; 9254; 9795; 9839; 9873; 10480; 10687; 11131; 11731; 12817; 12883; 13502; 13519; 4487; 4488; 4489; 4490; 4492; 4493; 4494; 4495; 4496; 4497; 4498; 4499; 4500; 4535; 4669; 5317; 5371; 5381; 5415; 5480; 5485; 5490; 5706; 5777; 5796; 5805; 5849; 5871; 5901; 5932; 5953; 6219; 6286; 6340; 6466; 6493; 6498; 6526; 6648; 6690; 6746; 6793; 6872; 6910; 6953; 6978; 6979; 6997; 7083; 7093; 7182; 7230; 7294; 7305; 7743; 7870; 1637; 1852; 2327; 2328; 2418; 2456; 2462; 2523; 2814; 2819; 2871; 2872; 2912; 2952; 3107; 3171; 3173; 3307; 3762; 3782; 3989; 4092; 4141; 4206; 4228; 4259; 4265; 4276; 4277; 4278; 4279; 4280; 4282; 4314"
"Ganden (India)",NULL,1477,"8156; 7007"
"Ganden Chokhor Ling",G4455,1559,5805
"Ganden Jangtse College ",G77,315,"4488; 4492; 4494; 4496; 4499; 4524; 5415; 5490; 5901; 5932; 5953; 6498; 6729; 6872; 7083; 7182; 7230; 7870; 1564; 2327; 2456; 2523; 2814; 2871; 2872; 2952; 4265; 4277; 4278; 4282; 12817; 8107; 8108; 8109; 9050; 9053; 9055; 9795; 10957"
"Ganden Mamo",G2GS1050,1206,2662
"Ganden Mipam Choling",G1GS54751,530,5338
"Ganden Pelgye Ling",NULL,1475,7007
"Ganden Rinchen Ling",G1PD95975,345,5729
"Ganden Shartse College",G304,319,"4487; 4489; 4493; 4495; 4497; 4498; 4500; 4727; 5371; 5490; 5706; 6466; 6648; 6978; 7007; 7743; 2787; 2819; 4092; 4206; 4276; 4279; 4280; 4309; 8086; 8097; 8105; 8106; 8612; 9049; 9051; 9056; 9057; 9058; 9059; 9753; 11131"
"Ganden Shedrub Ling",G4230,540,2330
"Ganden Shedrub Pekar Drolwai Ling",G3278,363,13507
"Ganden Tashi Choling",NULL,454,5897
"Ganden Tritok Khang (India)",NULL,1474,7007
"Gangchen Chopel",G4244,192,"12521; 2427"
"Gangri Tokar",G00AG01403,1303,"2882; 3152; 5024; 11741; 12980; 13811"
"Gangteng Monastery ",G183,382,"13133; 13142; 13143; 13145; 13146; 3000; 4379; 4478"
"Gangya Drakkar Gon",G4646,465,4607
Garje,G3639,1013,"13511; 8624; 9190"
"Garmo Chodzong",G1AG31,188,"12883; 13026"
"Garpa Ritro",NULL,1469,7007
Gartar,G3494,476,"6099; 6499; 13226; 9693; 3107"
"Gartse Tubten Chokhor Ling",G3158,481,6045
"Gechak Monastery",NULL,1535,"12839; 13861"
"Geden Sheddup Choikorling",NULL,1681,11437
Gegong,G3961,444,"9593; 10093; 11741"
"Gegyel Dzogchen",G00EGS1016716,522,5099
Geluk,T819,8,"5626; 6441; 7294; 13203; 2896; 3744; 10548; 10794"
Gemang,G3954,422,"9601; 13162; 13163"
"Gemang Ritro",G519,1182,9622
Gemi,NULL,1602,"12479; 13790; 13791"
"Genden Chopeling",NULL,356,"4494; 7170; 2926"
"Gepel Hermitage",G158,842,"1637; 6548; 6646"
Geri,G4811,1706,3417
"Geting Ganden Choling ",NULL,399,"3977; 4665"
"Getse Dralek",G518,421,"4691; 7254; 12980; 13884; 8618; 9579; 9895; 10673; 10676; 10678; 2118"
Gharung,G359,97,4115
"Ghoom Monastery",NULL,1715,10019
"Ghum Yiga Choeling",NULL,1524,13687
"Gojo Banak",NULL,1211,"10018; 11278"
"Gome Oseltang",G3203,509,9929
"Gongkar Chode",G3509,615,"11285; 13863; 5408; 4249"
"Gongto Sergyi Lhakhang ",NULL,389,4372
"Gonlung Jampa Ling",G165,156,"4665; 4730; 5410; 5436; 5490; 5729; 5899; 5902; 6161; 6526; 6586; 6646; 8861; 9690; 9873; 2409; 2436; 2441; 2442; 2506; 2755; 2996; 3008; 3107; 3141; 3225; 3296; 3758"
Gonsar,G3279,835,9703
"Gontang Bumpa",G2833,1351,4358
"Gorina Kunang Osel Ling ",G58,392,"8343; 8355; 11352"
Gotsa,G3953,1752,9935
"Gotsang Hermitage ",NULL,149,3759
"Green Tara Center",NULL,1682,11437
"Guru Pema Evaṁ Chokgar",NULL,516,9052
Guzi,G1647,1491,12553
"Gyachak Ri",NULL,227,3168
"Gyakhar Gar",G1964,1254,"5490; 6529"
"Gyama Rinchen Gang",G235,1399,8354
"Gyari Castle",G1TD16,1075,"11796; 12865; 13536; 13537; 13538; 13539; 13541; 13542; 13543; 13558; 13559"
"Gyarong Khamtsen",G2GS1124,1369,"13628; 13683"
"Gyarong Takten Nampar Gyelwai Ling",G1680,432,"13828; 8578"
"Gyel Kartse Palace",G934,1198,"11285; 1974"
"Gyel Lhakhang",G280,216,"2683; 6452"
Gyelje,G3255,837,"4497; 6286; 4267; 13724"
"Gyelmo Murdo",G3184,1621,13810
"Gyelrong Ritro",NULL,1015,9546
Gyelse,NULL,1677,9895
"Gyeltang Sungtseling",G1519,369,"13666; 5901"
"Gyelteng Monastery",G2065,958,"8354; 3744"
"Gyelwa Sengge Ngaro Lhakhang",G1TD35,1185,9523
Gyere,G2427,551,7294
"Gyume Dratsang",G394,190,"4488; 4494; 4496; 4499; 4501; 5317; 5415; 5480; 5485; 5729; 5777; 5796; 5932; 5953; 6498; 6526; 6622; 6646; 6670; 6872; 7182; 7230; 7565; 7870; 8106; 8107; 8108; 9053; 9055; 9058; 9062; 9213; 9795; 12521; 1564; 2327; 2418; 2442; 2456; 2523; 2755; 2814; 2872; 2974; 3171; 3173; 3762; 3792; 4277; 4279; 4282"
"Gyuto Dratsang",G236,316,"2419; 2819; 2952; 3307; 3743; 3877; 3989; 4206; 4276; 4278; 4280; 4309; 8086; 8105; 8109; 8612; 9049; 9050; 9051; 9056; 9057; 9059; 9213; 11131; 4487; 4489; 4490; 4492; 4493; 4495; 4497; 4498; 4500; 5371; 5381; 5432; 5652; 5706; 5901; 6466; 6648; 6978; 6979; 7007; 7743; 12817"
Hanle,G1PD127458,233,10536
"Hardong Khamtsen",G110,1229,5317
Hemis,G00JR3353,232,"7803; 13825; 10536"
"Hepo Ri",NULL,1348,"4358; 303"
"Hiraṇyavarṇa Mahāvihāra",NULL,1539,12839
"Horkhang Manor House",G2CN10932,729,2424
"Horkor Gon",G1727,520,5099
"Ikh Khuree",G2KR132,947,"7069; 7162; 3307; 4302; 13510; 13588"
"Indo Tibetan Buddhist Cultural Institute",NULL,1370,13628
"Iron Knot Ranch",NULL,1732,13884
"Ivolginsky Datsan",NULL,1413,13652
"Jakhyung Monastery",G161,358,"13176; 4496; 5415; 5490; 5706; 6161; 6526; 7169; 2506; 2788; 2854; 2948; 2996; 3296"
Jakrong,G169,1005,5871
"Jamchen Lhakhang",NULL,1591,12479
"Jamyang Mawai Sengge Ling ",NULL,408,4727
"Jang Tana ",G2628,158,"7636; 12839; 13836; 13837; 13838; 13839; 13840; 13841; 13861; 13862; 2539"
Jangchen,NULL,575,"3762; 12828"
Jangchen,G1972,136,10687
"Jangchub Chokhor Ling",G4883,1554,1659
Janggang,G3837,1109,8754
"Jangkar Monastery",G4017,1673,9895
"Jangsa Gompa",NULL,1722,10019
"Japuk Dongak Dargye Ling",G241,271,6793
"Jasa Lhakhang",G4454,1500,12479
Jazi,G1604,518,11603
"Jekhar Chode Gon",G4401,1545,13694
"Jetsun Sakya Center",NULL,1574,"12479; 10355"
"Joden Gendungang ",G4598,246,"3671; 4164"
"John Giorno Foundation",NULL,1688,10019
"Jomo Kharak",G2GS1064,1136,6037
"Jonang Monastery",G201,90,"5408; 6257; 6278; 6874; 9030; 9482; 9634; 11183; 11307; 11632; 11731; 13064; 13065; 1869; 2491; 2670; 2712; 2790; 2801; 2812; 2943; 3936; 3937; 3938; 3940; 4085; 4113; 4115; 4119; 4166; 4167; 4168; 4170"
"Jumohor Sangngak Choling",NULL,470,4228
"Junyung Hermitage",G289,471,4228
"Jupu Monastery",NULL,76,6547
"Jyekundo Dondrub Ling",G1KR2688,512,"4820; 1831; 2051; 3211; 8825; 10355; 10815; 12741; 13246; 13248; 13679"
"Ka-Nying Shedrub Ling",G4732,1504,"12839; 13820; 11385"
Kachok,G1KR84,1432,"10617; 3436"
Kadam,T791,61,7294
"Kagyu Changchub Chuling",NULL,1457,12180
"Kagyu Droden Kunchab",NULL,1455,12180
"Kagyu Dzamling Kunchab",NULL,1454,12180
"Kagyu Dzong",NULL,1459,"12180; 11385"
"Kagyu Gonsar",G1KR1632,1549,"9761; 9764; 13855; 13856; 13859"
"Kagyu Kunchab Chuling",NULL,1452,"12180; 11385"
"Kagyu Ling",NULL,1460,"11385; 12180"
"Kagyu Shenpen Kunchab",NULL,1458,"12180; 10355"
"Kagyu Thubten Chöling",NULL,1461,12180
"Kagyu Tsekchok Ling",NULL,1695,13859
Kailash,G3247,1084,"11741; 12403; 13086; 13139; 13174; 13230; 13232; 13740; 13743; 13787; 13883; 10536; 10546; 10644; 10835; 10961; 11385; 2733; 2758; 2789; 2806; 2899; 3178; 4611; 6526; 6671; 6681; 6856"
"Kak Chode",NULL,1601,12479
Kalapa,G358,1052,4114
"Kamkam Monastery",G227,1401,8354
"Kaṁpo Nenang",G3617,473,6489
Kanchendzonga,NULL,1396,13648
"Kandze Shedrub Norbu Ling",G500,1608,3822
Karchen,G1KR200,407,4727
Kardza,G3787,1434,"9612; 10617; 3436; 3485; 3627"
"Karing Tashi Dargye Ling",G1948,504,2948
"Karma Chokhor Dechen Ling",NULL,1502,11385
"Karma Drubgyu Thargay Ling",NULL,1511,11385
"Karma Drupgyud Choeling",NULL,1512,11385
"Karma Gon",G35,215,"8126; 8181; 8825; 9201; 10898; 11385; 4358; 5924; 5926; 5927; 5928; 12264; 13078; 13686; 1659; 2589; 2640; 2662; 2683; 2776"
"Karma Kagyu",T1386,18,11231
"Karma Migyur Ling",NULL,1506,11385
"Karma Rimay O Sal Ling",NULL,1456,"11385; 12180"
"Karma Triyana Dharmachakra",NULL,1509,"10355; 11385"
"Karmê Chöling",NULL,1445,"11231; 11385"
Karsha,NULL,1423,"8156; 6076; 7305; 13823"
Karye,NULL,1723,"13877; 13878"
"Kathok Center",NULL,1739,13884
"Katog Ratna Ling",NULL,1740,13884
"Katog Rit'hröd",NULL,1735,13884
