community_id,tbrc_id,community_name,tradition_id
1322,G522,Batang Drubgon,1
1323,G3493,Do Dorje Drak,1
1330,G1KR1893,Bakha,1
1332,G01AG03004,Yanglesho,1
1335,NULL,Dzogchen Yamāntaka Cave,1
1336,G00AG01696,Pungpo Riwoche,1
1339,G1681,Lhadrang Monastery,1
1343,G2807,Yamalung,1
1352,NULL,Ngedon Dongak Chokhor Ling,1
1353,G1PD110067,Pemayangtse,1
1380,G3955,Kilung,1
1398,G1BL7,Daktok,1
1428,G1KG514,Achung Namdzong,1
1431,G353,Mahā Kyilung,1
1432,G1KR84,Kachok,1
1433,G4109,Minyak Kyernang,1
1434,G3787,Kardza,1
1435,G4110,Lautang,1
1436,G1PD76604,Pema Ritro,1
1441,G2JM244,Lekshe Nyida Ling,1
1467,NULL,Sengchen Namdrak Monastery,1
1504,G4732,Ka-Nying Shedrub Ling,1
1526,G1PD110073,Dubdi,1
1527,G1PD110069,Sangngak Choling Sikkim,1
1528,G1PD110075,Doling,1
1535,NULL,Gechak Monastery,1
1536,NULL,Dzonggo Ling,1
1538,NULL,Tergar Ösel Ling,1
1544,NULL,Pema Choling,1
1556,G3784,Drakkar,1
1560,NULL,Lhalung Ritro,1
1569,NULL,Khalek,1
1570,NULL,Dogyu Tosam Ling,1
1615,NULL,Dzogchen Monastery India,1
1632,G1679 ,Yakze,1
1633,G2CN11106,Khyungtak,1
1637,NULL,Pema Osel Ling,1
1639,NULL,Rigdzin Gatsel,1
1640,NULL,Ati Ling,1
1641,NULL,Rigdzin Ling,1
1642,NULL,Khadro Ling,1
1645,G1PD76601,Sarwahai,1
1646,NULL,Do Dzong Hermitage,1
1647,NULL,Nechen Pema Ritro,1
1648,NULL,Zhakdra Yumtso,1
1649,G1586,Pelri,1
1655,NULL,Tarpa Tse,1
1656,NULL,Kunzang Odsal Palyul Changchub Choling ,1
1657,NULL,Palyul Retreat Center,1
1664,NULL,Nyingma Institute,1
1665,NULL,Yeshe Nyingpo,1
1667,NULL,Orgyen Chö Dzong,1
1671,NULL,Rigdzin Gatsel Ling ,1
1672,NULL,Lama Ling,1
1673,G4017,Jangkar Monastery,1
1674,G3682,Yaso Monastery,1
1676,G3660,Nego Monastery,1
1685,NULL,Lachen Monastery,1
1686,NULL,Thangu Monastery,1
1698,1KR89,Namgyelteng,1
1702,NULL,Tsade,1
1704,G00JR820,Ke Mingyur Dorje Drak,1
1706,G4811,Geri,1
1709,G525,Zablung,1
1710,G2CN11109,Draklha Gampo,1
1711,G1PD83959,Drakkar Treldzong,1
1712,G2CN11113,Kuso Togyel,1
1713,G1802,Tashi Gomang,1
1714,NULL,Durpin Monastery,1
1716,NULL,Dundul Rabtenling,1
1717,NULL,Tso Pema Orgyen Heruka Nyingmapa Gompa,1
1718,NULL,Dudjom Gonpa  ,1
1719,NULL,Tashi Choling,1
1720,NULL,Urgyen Samyé Chöling ,1
1722,NULL,Jangsa Gompa,1
1723,NULL,Karye,1
1724,G00AG01624,Zangzang Lhadrak,1
1705,G1KR685,Kolri,1
35,G275,Zhalu,4
52,G3518,Dratang,4
62,G225,Nartang,4
91,G226,Sangpu Neutok,4
92,G4605,Nyetang Drolma Lhakang,4
101,G2844,Pokhang ,4
117,G3055,Menchu,4
120,G457,Nenying,4
128,G233,Nalendra Monastery,4
143,G2067,Tangkya Lhakhang ,4
187,NULL,Lharitse,4
195,G2824,Tangpoche,4
199,G4576,Langtang,4
216,G280,Gyel Lhakhang,4
217,NULL,Dakpo Draka,4
224,G4595,Poto,4
226,G2CN11076,Puchung,4
246,G4598,Joden Gendungang ,4
251,G1KR1528,Dingma Monastery,4
271,G241,Japuk Dongak Dargye Ling,4
290,G314,Dentik ,4
291,G4593,Neuzur,4
292,G439,Tolung Takma,4
293,G4188,Lhodrak Drowa Gon,4
295,G223,Ngulchu Hermitage,4
305,G4607,Rato,4
311,G2359,Ladring Chode,4
312,G3322,Nyima Tang Monastery ,4
317,G405,Takpu Chode,4
324,G2365,Taktse Rinchen Gang,4
325,G4164,Kyormolung ,4
327,G74,Reting Monastery,4
352,G2194,Toling Monastery,4
353,G229,To Jayul Monastery,4
358,G161,Jakhyung Monastery,4
435,G2066,Chekha,4
443,G261,Chakpori,4
531,NULL,Tashilung,4
618,G1KR1569 ,Sekharchung,4
657,G4676,Ripuk Hermitage,4
719,G1KG17626,Tabo,4
822,G2036,Terdrom,4
824,G1KR1539,Changra,4
837,G3255,Gyelje,4
910,NULL,Nyarma,4
958,G2065,Gyelteng Monastery,4
959,G2064,Pangsa Monastery,4
960,G4CZ1581,Wolkha Samling Monastery,4
961,G1AG38,Khakyong Drak,4
1025,G1AG68,Nalatse Nepoche,4
1088,G1AG89,Trewel Ude,4
1089,G2LS540,Dungkar,4
1153,NULL,Serding,4
1217,G430,Chakhyi Lhakhang,4
1247,G4611,Chimilung,4
1251,G26,Zangchen Monastery,4
1259,G1GS140235,Penyul Drosa,4
1281,G4596,Drayab Monastery,4
1294,G3041,Lo Monastery,4
1297,G2CN11075,Namtseding Monastery,4
1388,G23,Tolung Tsendro,4
1437,G2CN11063,Tabka,4
1438,NULL,Trawakha,4
1439,G407,Tangsak,4
1500,G4454,Jasa Lhakhang,4
1559,G4455,Ganden Chokhor Ling,4
1698,1KR89,Namgyelteng,4
32,G211,Ngor Ewaṃ Choden,7
33,G1KR1565,Dar Drangmoche,7
35,G275,Zhalu,7
52,G3518,Dratang,7
91,G226,Sangpu Neutok,7
93,G357,Tsechen,7
98,NULL,Palung,7
102,G1511,Pelkhor Chode,7
105,G391,Serdokchen,7
108,NULL,Puntsok Samten Ling ,7
114,G4818,Kyangdur ,7
119,G1AG83,Cholung Jangtse,7
122,G307,Sabzang Ganden,7
127,G3791,Lhagang,7
128,G233,Nalendra Monastery,7
146,NULL,Uri Monastery,7
178,G2552,Tarlam,7
179,G3268,Dezhung Monastery,7
180,G213,Dzongsar,7
183,G2CN11074,Rong Ngurmik,7
199,G4576,Langtang,7
207,G193,Lhundrubteng,7
249,G4147,Lingga Dewachen ,7
250,G324,Musu Yama Monastery,7
269,G2GS1070,Tanak Serling,7
270,G506,Tanak Tubten Namgyel ,7
272,NULL,Sakya Drakshar,7
275,G245,Dreyul Kyetsel ,7
276,G265,Nyenyo Jagoshong ,7
277,G250,Chokhor Lhunpo ,7
280,G1654,Chakra,7
282,G1644,Pewar,7
305,G4607,Rato,7
333,G247,Ngamring Chode ,7
338,NULL,Tetung Monastery,7
346,NULL,Pari Tashi Choling ,7
354,G435,Chone Ganden Shedrub Ling,7
360,G1KR1936,Tsador Monastery ,7
370,G2058,Evaṃ Monastery,7
372,G1970,Dobi Ganden Pelgye Ling,7
374,G163,Rongwo Monastery,7
412,G1657,Derge Parkhang,7
443,G261,Chakpori,7
445,G4874,Khamshe Dargye Ling,7
447,G1569,Langna,7
451,NULL,Sangngak Dechen Ling,7
453,G1KR1570,Tubten Gepel,7
474,G1KR2454,Ngagar Jangchub Ling,7
511,NULL,Ga Nyide,7
512,G1KR2688,Jyekundo Dondrub Ling,7
546,G1KR1596,Zhe Dratsang,7
547,G1571,Khanon Gon,7
557,G3795,Rikhud Monastery,7
569,NULL,Dongtre Samten Ling,7
603,G880,Sakya Monastery,7
615,G3509,Gongkar Chode,7
616,NULL,Yarlung Namgyel,7
617,NULL,Yarlung Samten Ling,7
657,G4676,Ripuk Hermitage,7
682,G3550 ,Tsedong Monastery,7
814,G73,Pelbar,7
818,NULL,Khacho Monastery,7
819,NULL,Zhigon Hermitage,7
825,G2GS1264,Mugulung,7
834,G3119,Kharta Tarpa Ling,7
839,G1KR1614,Rong Jamchen,7
934,G311,Zhitok Labrang,7
935,G312,Rinchen Gang Labrang,7
936,G466,Ducho Labrang,7
937,G436,Lhakhang Labrang,7
938,G4445,Drolma Podrang,7
939,G232,Puntsok Podrang,7
943,G1KR1564,Samdrub Gonsar,7
987,G4293,Kyoda Monastery,7
994,G1AG60,Khacho Deden,7
1012,G1AG63,Nyamyo Jashong Monastery,7
1025,G1AG68,Nalatse Nepoche,7
1104,G1641,Yilhung Lhagyel,7
1107,G2726,Tsangda Monastery,7
1110,G3898,Rahor,7
1128,G2KT9,Sakya Mendrong,7
1153,NULL,Serding,7
1183,G1656,Mandal Gon,7
1188,G4447,Sakar Samdrub Ling,7
1196,G2821,Nedong Tsetsokpa,7
1204,G2KR46,Erdene Zuu,7
1220,G879,Labrang Shar,7
1228,G1TD37,Nub Padmo De,7
1234,G1AG108,Khachar,7
1235,G1AG109,Tubchen Dargye Ling,7
1237,G3611,Taklung Tarling Chode,7
1238,G1652,Wonto Monastery,7
1255,G1KR347,Dzogon,7
1276,G1019,Nedruk Lhakhang,7
1329,G1KR1511,Chumik,7
1334,NULL,Anja Ritro,7
1337,G1655,Khardo Monastery,7
1404,G1651,Galenteng,7
1405,G1BL18,Matho,7
1464,NULL,Gagu Hermitage,7
1488,G2706,Damtok,7
1489,G2715,Tridu Kelzang,7
1490,G515,Serjong,7
1491,G1647,Guzi,7
1492,G1KR1602,Takmo Lingkha,7
1496,G3266,Dzinda Neseb,7
1497,G3269,Dzonyak Samdrub,7
1498,G1KR2785,Tubten,7
1499,G1KR2784,Dzonggo,7
1500,G4454,Jasa Lhakhang,7
1521,G4397,Ru Gonsar,7
1555,NULL,Tangkya Gon,7
1562,G3271,Dramagang,7
1563,NULL,Dosib,7
1564,NULL,Dungdo,7
1565,NULL,Dzamtok,7
1566,NULL,Shangto,7
1567,G1642,Rabten,7
1568,G4686,Wara,7
1572,NULL,"Sakya Monastery, Seattle",7
1573,NULL,Tharlam,7
1574,NULL,Jetsun Sakya Center,7
1576,G2261,Tashigang,7
1591,NULL,Jamchen Lhakhang,7
1592,NULL,Rinding,7
1593,NULL,Lo Gekar,7
1594,NULL,Dharma Swami Buddha Vihara,7
1595,NULL,Tsarang,7
1596,G2KG2759,Namgyel Chode,7
1597,NULL,Tangtong Gyelpo Lhakhang,7
1600,NULL,Montang Chode,7
1601,NULL,Kak Chode,7
1602,NULL,Gemi,7
1603,NULL,Dzong Chode,7
1604,G1KR2824,Beru Lachen,7
1610,G508 ,Yarlung Tashi Chode,7
1611,NULL,Sakya Centre,7
1612,NULL,Shakya Shei-Drub Ling,7
1617,G2CN10992,Tartse Labrang,7
1618,NULL,Pende Labrang,7
1619,NULL,Khangsar Labrang,7
1620,NULL,Luding Labrang,7
1627,G2722,Pangshar,7
1630,G1567,Dongtok,7
1631,G1KR183,Dhīpu,7
1633,G2CN11106,Khyungtak,7
15,G3429,Sekhar Gutok,8
21,G4202,Zhung Treuzhing ,8
63,G197,Daklha Gampo,8
64,G434,Densatil,8
132,G282,Kodrak Hermitage,8
135,G2061,Rinchen Ling,8
151,G4614,Parpu Monastery,8
225,G2832,Rechung Puk,8
227,NULL,Gyachak Ri,8
326,G3012,Drakwar Monastery,8
338,NULL,Tetung Monastery,8
347,NULL,Serlung Monastery ,8
485,G607,Tsetang,8
595,NULL,Yanggon,8
687,G1KR1884,Pulung Rinchen Ling,8
713,G3526,Nyedo Monastery,8
831,G168,Taklung Ganden Damcho Ling,8
860,G2511,Keutsang West Hermitage,8
881,G2CN11081,Tsokha Monastery,8
968,G1PD110071,Rumtek,8
971,G1TD4,Gampo Zanglung,8
972,G1TD5,Tsur Lhalung,8
974,G37,Tsādra Rinchen Drak,8
986,NULL,Nyangto Sertreng Monastery,8
999,G3263,Mokpa Lhatse,8
1001,G1AG62,Nekhar Monastery,8
1002,G1KR2692,Raknyak,8
1218,G1KR1455,Chenye Monastery,8
1241,G3420,Ya Nga Chamda Ganden Khacho Ling,8
1292,G3109,Chuwar Monastery,8
1309,G1AG115,Shukchung,8
1403,G1KR424,Ridrak,8
1502,NULL,Karma Chokhor Dechen Ling,8
1504,G4732,Ka-Nying Shedrub Ling,8
1506,NULL,Karma Migyur Ling,8
1507,NULL,Dhagpo Kagyu Ling,8
1511,NULL,Karma Drubgyu Thargay Ling,8
1512,NULL,Karma Drupgyud Choeling,8
1513,NULL,Shri Karma Raja Mahavihara,8
1520,G4404,Taser,8
1538,NULL,Tergar Ösel Ling,8
1542,NULL,Benchen,8
1544,NULL,Pema Choling,8
1644,NULL,Richung,8
70,G1KR1663,Barom Gon,22
1175,G2610,Kumbum Monastery,22
1338,G2651,Kyodrak Monastery,22
1516,G2635,Lhalam,22
1517,G1KR2864,Lachab,22
1534,NULL,Tsangsar Namgon,22
68,G30,Tsel Gungtang,23
75,NULL,Lhachuk,23
76,NULL,Jupu Monastery,23
78,G368,Rokam,23
154,G1AG90,Kharak,23
294,G156,Purbuchok,23
15,G3429,Sekhar Gutok,24
95,G33,Tsurpu Monastery,24
127,G3791,Lhagang,24
159,G51,Dodzong,24
174,G326,Zurmang Dutsitil,24
215,G35,Karma Gon,24
231,NULL,Dechen Teng,24
331,G194,Nenang,24
419,G4813,Tasho Pomdrak ,24
441,G170,Chorten Tang Tashi Dargye Ling ,24
472,G36,Pelpung,24
473,G3617,Kaṁpo Nenang,24
488,G1723,Wangda,24
523,G2813,Monkhar Namseling,24
529,G389,Lhalung Gon,24
571,G1691,Alo Peljor Gang,24
591,G4392,Samling Monastery,24
599,G198,Yangpachen,24
702,G2652,Zurmang Namgyeltse,24
806,G1PD96097,Shadzong Ritro,24
807,G2577,Trangu,24
875,G1KR826,Karmashak Tsenkhang,24
964,G2CN11100,Lekshe Ling,24
977,G1AG47,Yutok Monastery,24
1036,G1183,Menkhar Pende Ling,24
1187,G214,Ga Benchen Monastery,24
1189,G2581,Ladro Monastery,24
1205,g4812,Lhateng,24
1206,G2GS1050,Ganden Mamo,24
1216,G1686,Ringu Monastery,24
1242,G1575,Khangmar Monastery,24
1250,G1KR604,Drentang Monastery,24
1340,G527,Mendong Monastery,24
1341,G1KR594,Namgyel Ling,24
1342,G3857,Pangpuk,24
1393,NULL,Chamdo Drolma Lhakhang,24
1395,NULL,Samye Ling,24
1415,G1574,Bengen,24
1429,G409,Bo Gangkar Monastery,24
1443,NULL,Gampo Abbey,24
1445,NULL,Karmê Chöling,24
1447,NULL,Boulder Shambhala Center,24
1448,NULL,Shambhala Mountain Center,24
1449,NULL,Yak Monastery,24
1456,NULL,Karma Rimay O Sal Ling,24
1457,NULL,Kagyu Changchub Chuling,24
1458,NULL,Kagyu Shenpen Kunchab,24
1459,NULL,Kagyu Dzong,24
1460,NULL,Kagyu Ling,24
1461,NULL,Kagyu Thubten Chöling,24
1462,NULL,Sherabling,24
1508,NULL,Buddhistisk Center Kobenhavn,24
1509,NULL,Karma Triyana Dharmachakra,24
1529,G1PD110070,Ralong,24
1541,NULL,Pema Khyung Dzong,24
1554,G4883,Jangchub Chokhor Ling,24
1689,NULL,Tashi Gomang Stupa,24
1701,G2642 ,Dilyak,24
485,G607,Tsetang,25
560,G1KR1648,Porong Pelmo Choding Monastery ,26
564,G412,Samding Monastery,26
612,G244,Bodong E,26
618,G1KR1569 ,Sekharchung,26
1545,G4401,Jekhar Chode Gon,26
15,G3429,Sekhar Gutok,27
36,G337,Ganden,27
37,G154,Sera Monastery,27
38,G108,Drepung Monastery,27
39,G104,Tashilhunpo,27
40,G160,Kumbum Jampa Ling,27
41,G162,Labrang Tashikhyil,27
45,G2043,Zha Lhakhang,27
62,G225,Nartang,27
68,G30,Tsel Gungtang,27
85,G521,Shukseb,27
91,G226,Sangpu Neutok,27
93,G357,Tsechen,27
101,G2844,Pokhang ,27
102,G1511,Pelkhor Chode,27
107,G1KR1359,Tupten Dargye Ling ,27
110,G390,Takten Puntsok Ling ,27
112,G4619,Chubzang,27
117,G3055,Menchu,27
120,G457,Nenying,27
134,G1KR1885,Choding Monastery,27
135,G2061,Rinchen Ling,27
136,G1972,Jangchen,27
137,G400,Litang Chokhor Ling,27
140,G447,Ngari Dratsang,27
141,G4195,Kharchu Monastery,27
143,G2067,Tangkya Lhakhang ,27
156,G165,Gonlung Jampa Ling,27
181,G3946,Longtang Drolma Lhakhang,27
185,G238,Wensa Monastery,27
186,NULL,Chokhor Uding,27
187,NULL,Lharitse,27
188,G1AG31,Garmo Chodzong,27
189,NULL,Lekdrub Dratsang,27
190,G394,Gyume Dratsang,27
191,G4247,Riwo Gepel,27
192,G4244,Gangchen Chopel,27
195,G2824,Tangpoche,27
198,G2CN10832,Chekar Chode,27
212,G1PD96118,Old Ditsa,27
214,G2576,Ba Monastery,27
236,G330,Tsunmo Tsel,27
237,G180,Chamdo Jampa Ling ,27
243,G1811,Lungkar,27
255,G3386,Driru Gon,27
256,G1237,Den Chokhor,27
265,NULL,Zhertsa Chode ,27
266,G1541,Dargye Monastery,27
267,NULL,Potima ,27
271,G241,Japuk Dongak Dargye Ling,27
274,G4865,Azha Yarpung,27
278,G3488,Tashi Pende,27
279,NULL,Demola Monastery,27
285,G3486,Tashi Cholung,27
286,G2GS1296,Lho Chotritang ,27
287,G288,Tseten,27
288,G1KR2304,Tak Monastery,27
289,G3222,Tuwa ,27
290,G314,Dentik ,27
294,G156,Purbuchok,27
295,G223,Ngulchu Hermitage,27
296,G1846,Sekya Tashi Gepel Ling,27
298,G308,Dakpo Dratsang ,27
305,G4607,Rato,27
306,G2440,Nyetang Longdol Hermitage ,27
310,G2360,Dar Chode,27
311,G2359,Ladring Chode,27
312,G3322,Nyima Tang Monastery ,27
314,G402,Khardo Hermitage,27
315,G77,Ganden Jangtse College ,27
316,G236,Gyuto Dratsang,27
317,G405,Takpu Chode,27
318,G3011,Meldro Chakar Gon,27
319,G304,Ganden Shartse College,27
321,G2510,Rakadrak Hermitage,27
322,NULL,Sera Utse,27
323,G3487,Drula,27
324,G2365,Taktse Rinchen Gang,27
325,G4164,Kyormolung ,27
326,G3012,Drakwar Monastery,27
327,G74,Reting Monastery,27
333,G247,Ngamring Chode ,27
334,G399,Riwo Dechen,27
335,G3036,Rinchen Drak,27
338,NULL,Tetung Monastery,27
339,G474,Tangring Monastery,27
340,G164,Amdo Chubzang Monastery,27
342,G109,Drepung Gomang Dratsang,27
343,G2362,Dechen Sangngak Khar,27
344,G107,Tashilhunpo Shartse Dratsang,27
345,G1PD95975,Ganden Rinchen Ling,27
346,NULL,Pari Tashi Choling ,27
348,G155,Sera Je,27
349,G237,Sera Me,27
350,NULL,Dromda Monastery,27
351,G1162,Dab Yangteng Monastery,27
352,G2194,Toling Monastery,27
353,G229,To Jayul Monastery,27
354,G435,Chone Ganden Shedrub Ling,27
355,G126,Drepung Loseling College,27
356,NULL,Genden Chopeling,27
357,G2363,Pakmo Chode,27
358,G161,Jakhyung Monastery,27
359,NULL,Rablo,27
360,G1KR1936,Tsador Monastery ,27
361,G301,Shitsang Gonsar,27
362,G3232,Ngulra Monastery,27
363,G3278,Ganden Shedrub Pekar Drolwai Ling,27
364,G293,Tso Gon Ganden Choling ,27
365,G1KR2037,Mokru Ganden Jampeling,27
367,G4353,Muge Tashikhorlo ,27
368,G3090,Ngawa Gomang,27
369,G1519,Gyeltang Sungtseling,27
370,G2058,Evaṃ Monastery,27
372,G1970,Dobi Ganden Pelgye Ling,27
373,G1963,Drotsang,27
374,G163,Rongwo Monastery,27
375,G1PD96117,Ditsa Tashi Choding ,27
395,NULL,Sechang ,27
396,G1KR2411,Shel Monastery,27
397,G4698,Dzoge Monastery ,27
398,G4681,Bido Gonchen,27
399,NULL,Geting Ganden Choling ,27
401,G271,Lamo Dechen ,27
402,NULL,Taktsang Rawato ,27
403,NULL,Shardzong,27
404,G1KR983,Drugu,27
407,G1KR200,Karchen,27
408,NULL,Jamyang Mawai Sengge Ling ,27
409,G4851,Gyakhar ,27
410,G1965,Urge Dratsang Sangngak Mingye Ling,27
411,G1542,Tongkhor Tashilhunpo,27
413,G4786,Kīrti,27
416,G4858,Luchung Taktsang Gon,27
423,G395,Pabongkha Hermitage ,27
424,NULL,E Rigo Chode ,27
425,NULL,Lhetag Monastery,27
434,G1KR2451,Magur Namgyel Ling,27
437,G2539,Kangtsa Ganden Chopel Ling,27
440,G239,Tongkhor Ganden Chokhor Ling ,27
441,G170,Chorten Tang Tashi Dargye Ling ,27
442,G1877,Chunak Tashi Choling,27
443,G261,Chakpori,27
446,G257,Nyang Tarpa Ling,27
454,NULL,Ganden Tashi Choling,27
455,NULL,Pel Nyenmo Ri Namgyel,27
459,G2530,Khagya Me Monastery,27
461,NULL,Drakkar Gyelmo,27
464,G1931,Tsang Dondrub Rabten Ling,27
465,G4646,Gangya Drakkar Gon,27
466,G4634,Chokhor Gyel,27
467,G4354,Tsagen Peshing,27
468,G398,Ragya Ganden Tashi Jungne,27
469,G3261,Sershul,27
474,G1KR2454,Ngagar Jangchub Ling,27
475,NULL,Oso,27
476,G3494,Gartar,27
479,G471,Terlung Yiga Chodzin Ling,27
480,G393,Amchok Monastery,27
481,G3158,Gartse Tubten Chokhor Ling,27
482,G2535,Martang Obten,27
484,G3190,Kīrti Namgyel Dechen Ling,27
485,G607,Tsetang,27
486,NULL,Sangsang Dungkar,27
487,NULL,Lhogyu Sera,27
490,G1738,Tongkyab,27
491,NULL,Dori Hermitage,27
492,NULL,Lhundrub Dzong,27
493,NULL,Yugu Tongtse,27
494,NULL,Wenne Tashikhyil,27
495,NULL,Wenne Samdrub Deden Ling ,27
496,G1KR2415,Dedzom Gatsel,27
497,G224,Dzongkar Monastery,27
498,NULL,Takdo,27
499,G1PD96278,Dopuk,27
500,NULL,Tsikyang,27
501,NULL,Angang,27
