community_id,community_name,place_type_name,place_type_id
287,Tseten,Monastery,1
288,Tak Monastery,Monastery,1
289,Tuwa ,Monastery,1
290,Dentik ,Monastery,1
291,Neuzur,Monastery,1
292,Tolung Takma,Monastery,1
293,Lhodrak Drowa Gon,Monastery,1
294,Purbuchok,Monastery,1
295,Ngulchu Hermitage,Monastery,1
296,Sekya Tashi Gepel Ling,Monastery,1
297,Sang Ngak Tekchen Choling,Monastery,1
298,Dakpo Dratsang ,Monastery,1
305,Rato,Monastery,1
306,Nyetang Longdol Hermitage ,Monastery,1
306,Nyetang Longdol Hermitage ,Cave,1622
307,Cheri Monastery,Monastery,1
308,Tango,Monastery,1
309,Bangri Jokpo ,Monastery,1
310,Dar Chode,Monastery,1
311,Ladring Chode,Monastery,1
312,Nyima Tang Monastery ,Monastery,1
314,Khardo Hermitage,Monastery,1
315,Ganden Jangtse College ,Monastic College,1623
316,Gyuto Dratsang,Monastic College,1623
317,Takpu Chode,Monastery,1
318,Meldro Chakar Gon,Monastery,1
319,Ganden Shartse College,Monastic College,1623
321,Rakadrak Hermitage,Monastery,1
322,Sera Utse,Monastery,1
323,Drula,Monastery,1
324,Taktse Rinchen Gang,Monastery,1
325,Kyormolung ,Monastery,1
326,Drakwar Monastery,Monastery,1
327,Reting Monastery,Monastery,1
331,Nenang,Monastery,1
333,Ngamring Chode ,Monastery,1
334,Riwo Dechen,Monastery,1
335,Rinchen Drak,Monastery,1
338,Tetung Monastery,Monastery,1
339,Tangring Monastery,Monastery,1
340,Amdo Chubzang Monastery,Monastery,1
342,Drepung Gomang Dratsang,Monastery,1
343,Dechen Sangngak Khar,Monastery,1
344,Tashilhunpo Shartse Dratsang,Monastic College,1623
345,Ganden Rinchen Ling,Monastery,1
345,Ganden Rinchen Ling,Temple,3
346,Pari Tashi Choling ,Monastery,1
347,Serlung Monastery ,Monastery,1
348,Sera Je,Monastery,1
349,Sera Me,Monastery,1
350,Dromda Monastery,Monastery,1
351,Dab Yangteng Monastery,Monastery,1
352,Toling Monastery,Monastery,1
353,To Jayul Monastery,Monastery,1
354,Chone Ganden Shedrub Ling,Monastery,1
355,Drepung Loseling College,Monastic College,1623
356,Genden Chopeling,Monastery,1
357,Pakmo Chode,Monastery,1
358,Jakhyung Monastery,Monastery,1
359,Rablo,Monastery,1
360,Tsador Monastery ,Monastery,1
361,Shitsang Gonsar,Monastery,1
362,Ngulra Monastery,Monastery,1
363,Ganden Shedrub Pekar Drolwai Ling,Monastery,1
364,Tso Gon Ganden Choling ,Monastery,1
365,Mokru Ganden Jampeling,Monastery,1
367,Muge Tashikhorlo ,Monastery,1
368,Ngawa Gomang,Monastery,1
369,Gyeltang Sungtseling,Monastery,1
370,Evaṃ Monastery,Monastery,1
371,Petseling Jangchub Pelri Monastery ,Monastery,1
372,Dobi Ganden Pelgye Ling,Monastery,1
373,Drotsang,Monastery,1
374,Rongwo Monastery,Monastery,1
375,Ditsa Tashi Choding ,Monastery,1
376,Wangdue Phodrang Dzong ,Monastery,1
377,Talang ,Monastery,1
378,Tubten Jago Pungpo ,Monastery,1
380,Talo Sangngak Choling ,Monastery,1
381,Chitokha Puntsok Rabten Ling ,Monastery,1
382,Gangteng Monastery ,Monastery,1
383,Trakar Lhakhang ,Monastery,1
384,Paro Lateng Monastery,Monastery,1
385,Tsamdrak Monastery ,Monastery,1
386,Dodedrak Monastery ,Monastery,1
387,Tashichoedzong,Monastery,1
388,Lhundrub Deyang,Monastery,1
389,Gongto Sergyi Lhakhang ,Monastery,1
390,Lhadzong Tashigang ,Monastery,1
392,Gorina Kunang Osel Ling ,Monastery,1
393,Kyichu Lhakhang ,Monastery,1
395,Sechang ,Monastery,1
396,Shel Monastery,Monastery,1
397,Dzoge Monastery ,Monastery,1
398,Bido Gonchen,Monastery,1
399,Geting Ganden Choling ,Monastery,1
400,Tamshing Lhakhang,Monastery,1
401,Lamo Dechen ,Monastery,1
402,Taktsang Rawato ,Monastery,1
403,Shardzong,Monastery,1
404,Drugu,Monastery,1
405,Punakha Dzong,Monastery,1
406,Trongsa Dzong,Monastery,1
407,Karchen,Monastery,1
408,Jamyang Mawai Sengge Ling ,Monastery,1
409,Gyakhar ,Monastery,1
410,Urge Dratsang Sangngak Mingye Ling,Monastery,1
411,Tongkhor Tashilhunpo,Monastery,1
412,Derge Parkhang,Monastery,1
413,Kīrti,Monastery,1
415,Pajoding ,Monastery,1
416,Luchung Taktsang Gon,Monastery,1
417,Drangjekha ,Monastery,1
418,Sang Chokhor ,Monastery,1
419,Tasho Pomdrak ,Monastery,1
420,Yangri Gar ,Monastery,1
421,Getse Dralek,Monastery,1
422,Gemang,Monastery,1
423,Pabongkha Hermitage ,Monastery,1
424,E Rigo Chode ,Monastery,1
425,Lhetag Monastery,Monastery,1
426,Chakri Nyidrak Monastery,Monastery,1
427,Takmogang Kelzang Puntsok Ling,Monastery,1
430,Rakchab Sengri Dorje Yudzong,Monastery,1
432,Gyarong Takten Nampar Gyelwai Ling,Monastery,1
434,Magur Namgyel Ling,Monastery,1
435,Chekha,Monastery,1
437,Kangtsa Ganden Chopel Ling,Monastery,1
439,Śrī Siṃha College,Monastic College,1623
440,Tongkhor Ganden Chokhor Ling ,Monastery,1
441,Chorten Tang Tashi Dargye Ling ,Monastery,1
442,Chunak Tashi Choling,Monastery,1
443,Chakpori,Monastery,1
444,Gegong,Monastery,1
445,Khamshe Dargye Ling,Monastic College,1623
446,Nyang Tarpa Ling,Monastery,1
447,Langna,Monastery,1
448,Drango,Monastery,1
449,Chagdud Orgyen Ling,Monastery,1
450,Kelzang Sanggye Choling Monastery,Monastery,1
451,Sangngak Dechen Ling,Monastery,1
452,Tsogyel Jomo,Nunnery,1505
453,Tubten Gepel,Monastery,1
454,Ganden Tashi Choling,Monastery,1
455,Pel Nyenmo Ri Namgyel,Monastery,1
459,Khagya Me Monastery,Monastery,1
461,Drakkar Gyelmo,Monastery,1
464,Tsang Dondrub Rabten Ling,Monastery,1
465,Gangya Drakkar Gon,Monastery,1
466,Chokhor Gyel,Monastery,1
467,Tsagen Peshing,Monastery,1
468,Ragya Ganden Tashi Jungne,Monastery,1
469,Sershul,Monastery,1
470,Jumohor Sangngak Choling,Monastery,1
471,Junyung Hermitage,Monastery,1
472,Pelpung,Monastery,1
473,Kaṁpo Nenang,Monastery,1
474,Ngagar Jangchub Ling,Monastery,1
475,Oso,Monastery,1
476,Gartar,Monastery,1
479,Terlung Yiga Chodzin Ling,Monastery,1
480,Amchok Monastery,Monastery,1
481,Gartse Tubten Chokhor Ling,Monastery,1
482,Martang Obten,Monastery,1
484,Kīrti Namgyel Dechen Ling,Monastery,1
485,Tsetang,Monastery,1
486,Sangsang Dungkar,Monastery,1
487,Lhogyu Sera,Monastery,1
488,Wangda,Monastery,1
489,Denang Monastery,Monastic College,1623
490,Tongkyab,Monastery,1
491,Dori Hermitage,Monastery,1
492,Lhundrub Dzong,Monastery,1
493,Yugu Tongtse,Monastery,1
494,Wenne Tashikhyil,Monastery,1
494,Wenne Tashikhyil,Hermitage,950
495,Wenne Samdrub Deden Ling ,Monastery,1
495,Wenne Samdrub Deden Ling ,Hermitage,950
496,Dedzom Gatsel,Monastery,1
497,Dzongkar Monastery,Monastery,1
498,Takdo,Monastery,1
499,Dopuk,Monastery,1
500,Tsikyang,Monastery,1
501,Angang,Monastery,1
502,Chorten Kyak,Monastery,1
503,Namkyak Monastery,Monastery,1
504,Karing Tashi Dargye Ling,Monastery,1
505,Rongwo Tashikhyil,Monastery,1
507,Tsagyel,Hermitage,950
508,Tashi Chokhor Ling,Monastery,1
508,Tashi Chokhor Ling,Temple,3
509,Gome Oseltang,Monastery,1
510,Nakchung Ritro,Monastery,1
510,Nakchung Ritro,Hermitage,950
511,Ga Nyide,Monastery,1
512,Jyekundo Dondrub Ling,Monastery,1
514,Se Trazang,Monastery,1
515,Sang Ngak Tekchokling,Monastery,1
516,Guru Pema Evaṁ Chokgar,Monastery,1
517,Tashi Samten Ling,Monastery,1
518,Jazi,Monastery,1
519,Tromge Gon,Monastery,1
520,Horkor Gon,Monastery,1
522,Gegyel Dzogchen,Monastery,1
523,Monkhar Namseling,Monastery,1
524,Yangcho Sangcho Pema Lhunding,Monastery,1
525,Nubzur Gon,Monastery,1
526,Changma Gar,Monastery,1
527,Larung Gar,Monastery,1
529,Lhalung Gon,Monastery,1
530,Ganden Mipam Choling,Monastery,1
531,Tashilung,Monastery,1
532,Tsenpo Gon,Monastery,1
533,Martsang Drak Gon,Monastery,1
534,Serkyi Gyelgo,Hermitage,950
535,Pasho Gon,Monastery,1
536,Kundeling,Monastery,1
537,Lampar Monastery,Monastery,1
538,Nyel Drewule Gon,Monastery,1
539,Tatsak Lhundrub Dechen,Monastery,1
540,Ganden Shedrub Ling,Monastery,1
543,Drepung Zurkhang,Monastery,1
544,Gingtang Gon ,Monastery,1
546,Zhe Dratsang,Monastery,1
547,Khanon Gon,Monastery,1
551,Gyere,Monastery,1
553,Mawochok,Monastery,1
554,Guru Lhakhang,Monastery,1
556,Dregon Sar,Monastery,1
557,Rikhud Monastery,Monastery,1
559,Dekyi Ling,Monastery,1
560,Porong Pelmo Choding Monastery ,Monastery,1
561,Shelkar Chode,Monastery,1
563,Chakzam Chuwori,Monastery,1
564,Samding Monastery,Monastery,1
565,Yama Tashikhyil,Monastery,1
566,Yonghegong,Monastery,1
567,Dartang Monastery,Monastery,1
569,Dongtre Samten Ling,Monastery,1
571,Alo Peljor Gang,Monastery,1
572,Sera Choding,Monastery,1
573,Segyu Dratsang,Monastic College,1623
574,Lhunpo Tse,Monastic College,1623
575,Jangchen,Monastery,1
576,Lhadong Gon,Monastery,1
585,Senmo,Monastery,1
586,Tolung Yangwen Pelgon,Monastery,1
587,Drakkar Gepel Ling,Monastery,1
590,Chakar Monastery,Monastery,1
591,Samling Monastery,Monastery,1
595,Yanggon,Monastery,1
596,Pel Zangden,Monastery,1
597,Chukha Monastery,Monastery,1
599,Yangpachen,Monastery,1
603,Sakya Monastery,Monastery,1
612,Bodong E,Monastery,1
615,Gongkar Chode,Monastery,1
616,Yarlung Namgyel,Monastery,1
617,Yarlung Samten Ling,Monastery,1
618,Sekharchung,Monastery,1
621,Golok Getse,Monastery,1
650,Khyungpo Tengchen,Monastery,1
657,Ripuk Hermitage,Monastery,1
672,Trandruk,Monastery,1
673,Khangsar,Monastery,1
679,Gyu Monastery,Monastery,1
682,Tsedong Monastery,Monastery,1
687,Pulung Rinchen Ling,Monastery,1
688,Namdroling,Monastery,1
696,Tsimda Monastery,Monastery,1
697,Nyenlung,Monastery,1
699,Zhuchen Monastery,Monastery,1
700,Simda Dzogchen Monastery,Monastery,1
701,Phyang,Monastery,1
702,Zurmang Namgyeltse,Monastery,1
703,Kham Kyogon,Monastery,1
704,Tashi Gang,Monastery,1
705,Sharkyo Ganden Monastery,Monastery,1
707,Lho Ganden Monastery ,Monastery,1
711,Dingri Langkhor,Monastery,1
713,Nyedo Monastery,Monastery,1
716,Drakkar Treldzong,Monastery,1
717,Pabongkha Labrang,Monastery,1
718,Amchok Tsenyi,Monastery,1
719,Tabo,Monastery,1
720,Khampa Gar,Monastery,1
721,Yeta Lungkar,Monastery,1
722,Meru Nyingpa,Monastery,1
723,Tengyeling,Monastery,1
724,Tsemonling,Monastery,1
728,Surkhang Manor House,Manor,727
729,Horkhang Manor House,Manor,727
804,Ganden Jangchub Chopel Ling,Monastery,1
805,Arik Gonchen,Monastery,1
806,Shadzong Ritro,Monastery,1
807,Trangu,Monastery,1
808,Rigyel,Monastery,1
809,Chatreng Sampel Ling,Monastery,1
810,Batang Chode,Monastery,1
811,Khoting Lhakhang,Monastery,1
812,Semnyi,Monastery,1
813,Shopamdo,Monastery,1
814,Pelbar,Monastery,1
815,Jampa Bumling,Monastery,1
816,Muktinath,Monastery,1
818,Khacho Monastery,Monastery,1
818,Khacho Monastery,Temple,3
819,Zhigon Hermitage,Monastery,1
821,Lamayuru,Monastery,1
822,Terdrom,Monastery,1
823,Gadong,Monastery,1
824,Changra,Monastery,1
825,Mugulung,Monastery,1
825,Mugulung,Hermitage,950
826,Nyingon,Monastery,1
827,Chushur Tarpa Ling,Monastery,1
828,Layak Guru Lhakhang,Monastery,1
829,Dzingchi,Monastery,1
831,Taklung Ganden Damcho Ling,Monastery,1
834,Kharta Tarpa Ling,Monastery,1
835,Gonsar,Monastery,1
837,Gyelje,Monastery,1
838,Drongtse,Monastery,1
839,Rong Jamchen,Monastery,1
840,Wolkha Cholung,Monastery,1
841,Drakri Hermitage,Monastery,1
841,Drakri Hermitage,Hermitage,950
842,Gepel Hermitage,Monastery,1
843,Kyitopa Manor House,Manor,727
844,Pangdatsang Manor House,Manor,727
845,Sampho Manor house,Manor,727
846,Punkhang Manor House,Manor,727
847,Changlochen Manor House,Manor,727
848,Palha Manor House,Manor,727
849,Namseling Manor House,Manor,727
850,Shakabpa Manor House,Manor,727
851,Tethong Manor House,Manor,727
851,Tethong Manor House,Temple,3
852,Doring Manor House,Manor,727
853,Tsarong Manor House,Manor,727
855,Yuthok Manor House,Manor,727
857,Lhalu Podrang,Manor,727
858,Dechen Rabten Manor House,Manor,727
860,Keutsang West Hermitage,Monastery,1
860,Keutsang West Hermitage,Hermitage,950
861,Yungdrung Ling,Monastery,1
862,Drak Yerpa,Monastery,1
863,Drak Yongdzong,Hermitage,950
865,Banak Zhol Gyelkhang,Temple,3
866,Barkor Jampa Lhakhang,Temple,3
867,Barkor Mani Lhakhang,Temple,3
868,Barkor Mani Lhakhang Shar,Temple,3
869,Karchung Monastery,Monastery,1
870,Taktser,Manor,727
871,Drib Tsechokling,Monastery,1
872,Palden Lhamo Shrine,Temple,3
873,Gesar Lhakhang,Temple,3
874,Jebumgang Lhakhang,Temple,3
875,Karmashak Tsenkhang,Temple,3
877,Lhasa Tsuklakhang ,Temple,3
878,Lukhang,Temple,3
879,Lingtsang Labrang,Monastery,1
880,Meru Dratsang,Monastery,1
881,Tsokha Monastery,Monastery,1
882,Trijang Labrang,Monastery,1
883,Kunsangtse,Manor,727
884,Demo Labrang,Monastery,1
887,Armory,Government Building,885
888,Treasury,Government Building,885
889,Shol Printery,Government Building,885
890,Shol Office,Government Building,885
892,Namgyel,Monastery,1
893,Nechung,Monastery,1
893,Nechung,Temple,3
894,Northern Rigsum Gonpo Lhakhang,Temple,3
895,South-Eastern Rigsum Gonpo Shrine,Temple,3
896,South-Western Rigsum Gonpo Lhakhang,Temple,3
897,Southern Rigsum Gonpo Lhakhang,Temple,3
898,Rabsel Tsenkhang,Temple,3
899,Ramoche ,Temple,3
900,Shide Dratsang,Monastery,1
902,Shatra,Manor,727
903,Tromsikhang,Manor,727
904,Nangtseshar,Government Building,885
905,Potala,Palace,886
906,Norbulingkha,Palace,886
907,Sera Ngakpa Dratsang,Monastic College,1623
908,Drepung Deyang College,Monastic College,1623
909,Drepung Ngakpa Dratsang,Monastic College,1623
910,Nyarma,Monastery,1
911,Darpoling Tsenkhang,Monastery,1
912,Tsepak Lhakhang,Monastery,1
913,Trode Khangsar,Monastery,1
914,Riwo Choling,Monastery,1
915,Mentsikhang,Hospital,1129
917,Nyimalung Monastery,Monastery,1
920,Labrang Kālacakra College,Monastic College,1623
921,Labrang Medical College,Monastic College,1623
922,Labrang Hevajra College,Monastic College,1623
923,Mejung Tosam Ling,Monastery,1
924,Kumbum Tantric College,Monastic College,1623
925,Kumbum Medical College,Monastic College,1623
926,Kumbum Kālacakra College,Monastic College,1623
927,Kumbum Debate College,Monastic College,1623
928,Zhitro Lhakhang,Monastery,1
934,Zhitok Labrang,Monastery,1
934,Zhitok Labrang,Temple,3
935,Rinchen Gang Labrang,Monastery,1
935,Rinchen Gang Labrang,Temple,3
936,Ducho Labrang,Monastery,1
936,Ducho Labrang,Temple,3
937,Lhakhang Labrang,Monastery,1
937,Lhakhang Labrang,Temple,3
938,Drolma Podrang,Monastery,1
938,Drolma Podrang,Temple,3
939,Puntsok Podrang,Monastery,1
939,Puntsok Podrang,Temple,3
941,Rongwo Tantric College,Monastic College,1623
942,Rongwo Kālacakra College,Monastic College,1623
943,Samdrub Gonsar,Monastery,1
944,Ngangkyel Chode,Monastery,1
945,Legon Chokyi Podrang ,Monastery,1
947,Ikh Khuree,Monastic College,1623
949,Tashi Tongmon,Monastery,1
951,Samye Chimpu,Hermitage,950
952,Tanak Dorjeden,Monastery,1
954,Dzaka,Monastery,1
955,Tsashul,Monastery,1
956,Ngedongyi Chozhi Gonde,Monastery,1
957,Dartsang Kelzang Monastery,Monastery,1
958,Gyelteng Monastery,Monastery,1
958,Gyelteng Monastery,Temple,3
959,Pangsa Monastery,Monastery,1
960,Wolkha Samling Monastery,Monastery,1
961,Khakyong Drak,Monastery,1
962,Tashi Dokha,Monastery,1
964,Lekshe Ling,Monastery,1
968,Rumtek,Monastery,1
970,Rudam Yangwen Sengdruk Puk,Hermitage,950
971,Gampo Zanglung,Hermitage,950
972,Tsur Lhalung,Monastery,1
974,Tsādra Rinchen Drak,Hermitage,950
976,Dzamtang Gepel Hermitage,Hermitage,950
977,Yutok Monastery,Monastery,1
979,Bora,Monastery,1
981,Tsongkhapa Lhakhang,Monastery,1
982,Tege ,Monastery,1
983,Pari Drigung,Monastery,1
984,Tashi Chopel Dratsang,Monastery,1
984,Tashi Chopel Dratsang,Monastic College,1623
985,Jakhyung Rito Pendeling,Monastery,1
986,Nyangto Sertreng Monastery,Monastery,1
987,Kyoda Monastery,Monastery,1
988,Serwo,Monastery,1
989,Dzongsho,Hermitage,950
991,Tsongkhapa Hall,Monastery,1
992,Wenne Gurulung,Hermitage,950
994,Khacho Deden,Hermitage,950
995,Kyipuk Deden,Hermitage,950
996,Bardrok Dorje Ling,Monastery,1
997,Bamo Choding,Monastery,1
999,Mokpa Lhatse,Monastery,1
1000,Zurlung Pelchen Lhakhang,Monastery,1
1001,Nekhar Monastery,Monastery,1
1002,Raknyak,Monastery,1
1004,Rigdzin Rapel Ling,Monastery,1
1005,Jakrong,Monastery,1
1005,Jakrong,Temple,3
1009,Khyungritang,Monastery,1
1010,Tsopu,Monastery,1
1012,Nyamyo Jashong Monastery,Monastery,1
1013,Garje,Monastery,1
1014,Katok Drakdong Ritro,Monastery,1
1014,Katok Drakdong Ritro,Hermitage,950
1015,Gyelrong Ritro,Hermitage,950
1016,Litang Nyingma Dratsang,Monastic College,1623
1017,Drugu Gon,Monastery,1
1018,Langling Monastery,Monastery,1
1019,Wikcho Dzong,Monastery,1
1020,Tashi Choling Hermitage,Monastery,1
1021,Chubzang Hermitage (Sera),Monastery,1
1022,Ani Tsemkhung,Nunnery,1505
1023,Driru Drubde,Monastery,1
1024,Kumbum Printing Press,Monastery,1
1025,Nalatse Nepoche,Temple,3
1036,Menkhar Pende Ling,Monastery,1
1037,Kongpo Chabkar,Monastery,1
1038,Nakdo Monastery,Monastery,1
1041,Banshul,Monastery,1
1042,Nyegon,Monastery,1
1043,Datsen,Monastery,1
1044,Sengge Shong Mago,Monastery,1
1045,Sengge Shong Yago,Monastery,1
1046,Rongme Karmo Taktsang,Hermitage,950
1049,Atsagat Datsan,Monastery,1
1050,Benchok Ritro,Hermitage,950
1051,Nyima Changra,Monastic College,1623
1052,Kalapa,Hermitage,950
1053,Namkha Dzod,Hermitage,950
1054,Chepa Darge Gon,Monastery,1
1055,Datsan Gunzechoinei,Monastery,1
1056,Lek Gon,Monastery,1
1065,Nālandā,Monastery,1
1066,Tharpaling,Monastery,1
1068,Chubar Hermitage,Hermitage,950
1069,Ngodu Monastery,Monastery,1
1070,Sera Tekchen Chokhorling,Monastery,1
1071,Bennak,Monastery,1
1072,Seula Chokhor Dorjeden,Monastery,1
1073,Māratika,Monastery,1
1081,Tso Pema,Lake,1079
1082,Yarlha Shampo,Mountain,1080
1083,Khawa Karpo,Mountain,1080
1084,Kailash,Mountain,1080
1085,Tsāri,Mountain,1080
1086,Amnye Machen,Mountain,1080
1087,Khapung,Nunnery,1505
1088,Trewel Ude,Nunnery,1505
1089,Dungkar,Monastery,1
1091,Khyage,Monastery,1
1092,Sadutshang Manor House,Manor,727
1093,Ongsum,Monastery,1
1094,Tashi Yanggon,Monastery,1
1095,Tosam Norbu Lhunpo,Monastic College,1623
1096,Muksang,Monastery,1
1097,Yulkhyong Monastery,Monastery,1
1099,Bhutan House,Manor,727
1100,Tashi Gepel Ling,Hermitage,950
1101,Lotsawa Lhakhang,Monastery,1
1101,Lotsawa Lhakhang,Temple,3
1102,Alchi Chokhor,Monastery,1
1103,Likir,Monastery,1
1104,Yilhung Lhagyel,Monastery,1
1105,Shukgang Monastery,Monastery,1
1106,Domang Monastery,Monastery,1
1107,Tsangda Monastery,Monastery,1
1108,Dranggo,Monastery,1
1109,Janggang,Monastery,1
1110,Rahor,Monastery,1
1111,Tsangme Sengge,Monastery,1
1112,Sango,Monastery,1
1113,Kuntsar,Monastery,1
1114,Dzigar,Monastery,1
1115,Mersho Monastery,Monastery,1
1118,Tsibri,Mountain,1080
