community_id,lat,long,icon,map_priority_level_id,map_display_name,map_display_name_script
190,29.65594,91.13431,,3,Gyume,རྒྱུད་སྨད།
216,29.97411,90.9776,,3,Gyel Lhakhang,རྒྱལ་ལྷ་ཁང།
232,33.912676,77.702969,,3,Hemis,ཧེ་མི་དགོན།
237,31.14336,97.17725,,3,Chamdo,ཆབ་མདོ།
294,29.71033,91.14913,,3,Purbuchok,ཕུར་བུ་ལྕོག།
305,29.53252,90.91482,,3,Rato,རྭ་སྟོད།
340,36.85,102.05,,3,Chubzang,ཆུ་བཟང་།
415,27.491918,89.565602,,3,Pajoding ,ཕ་ཇོ་སྡིངས།
672,29.193858,91.77224,,3,Trandruk,ཁྲ་འབྲུག།
716,35.5027238,99.7997552,,3,Drakkar Treldzong,བྲག་དཀར་སྤྲེལ་རྫོང་།
718,32.73787,102.04771,,3,Amchok Tsenyi,ཨ་མཆོག་མཚན་ཉིད་དགོན།
822,30.1536146,92.1665408,,3,Terdrom,གཏེར་སྒྲོམ་དགོན།
823,29.68767,90.95043,,3,Gadong,དགའ་གདོང་།
862,29.73638,91.27963,,3,Drak Yerpa,བྲག་ཡེར་པ།
878,29.6604,91.117799,,3,Lukhang,Lཨུཁང།
906,29.65431,91.09005,,3,Norbulingka,ནོར་བུ་གླིང་ཁ།
951,29.37653,91.55079,,3,Chimpu,མཆིམས་ཕུ།
989,31.46547,99.16122,,3,Dzongsho,རྫོང་ཤོད།
1283,34.055931,77.666616,,3,Tikse,ཁྲིག་ཙེ།
1324,29.214911,92.105744,,3,Lelung,སླེ་ལུང་།
1331,25.198,85.518,,3,Otantapurī,ཨོ་ཏན་ཏ་པཱུ་རི།
1332,27.61640895,85.26406047,,3,Yanglesho,ཡང་ལེ་ཤོད།
1336,29.33975,89.3291,,3,Pungpo Riwoche,གཙང་གི་ཕུང་པོ་རི་བོ་ཆེ།
1337,32.08333,98.4,,3,Khardo Monastery,མཁར་མདོ་དགོན།
1338,32.56698,96.15549,,3,Kyodrak Monastery,སྐྱོ་བྲག་དགོན།
1339,31.85,98.45,,3,Lhadrang Monastery,སྡེ་དགེ་ལྷ་འབྲང་དགོན།
1340,31.0238715,85.1739286,,3,Mendong Monastery,སྨན་སྡོང་དགོན།
1341,32.48333,98.01667,,3,Namgyel Ling,རྣམ་རྒྱལ་གླིང་དགོན།
1342,29.2,100.11667,,3,Pangpuk,སྤང་ཕུག་དགོན།
1343,29.47016,91.50906,,3,Yamalung,གཡའ་མ་ལུང་།
1345,29.13808,91.81697,,3,Yumbu Lagang,ཡུམ་བུ་བླ་སྒང།
1346,31.70718,98.9831,,3,Sengge Yumtso,སེང་གེ་གཡུ་མཚོ།
1347,29.32245,90.82569,,3,Sinpo Ri Lhakhang,སྲིན་པོ་རི་ལྷ་ཁང།
1349,31.80591,98.58243,,3,Tashi Podrang,བཀྲ་ཤིས་ཕོ་བྲང།
1350,28.27851,90.73196,,3,Pemaling Lake,སྒྲུབ་མཚོ་པདམ་གླིང།
1351,29.16005,91.74668,,3,Gontang Bumpa,དགོན་ཐང་འབུམ་པ།
1353,27.304448,88.253807,,3,Pemayangtse,པདམ་ཡང་རྩེ།
1354,27.315729,88.60474,,3,Namgyal Institute of Tibetology,རྣམ་རྒྱལ་བོད་ཀྱི་ཤེས་རིག་ཉམས་ཞིབ་ཁང།
1355,25.3255,87.2847,,3,Vikramaśīla,བིཀྲམ་ལ་ཤཱི་ལ།
1356,29.368598,91.502651,,3,Drakmar Drinzang,བྲག་དམར་མགྲིན་བཟང།
1361,32,99.48333,,3,Shardza Hermitage,ཤར་རྫ་རི་ཁྲོད།
1362,32.78402,103.9057,,3,Rinpung Monastery,རིན་སྤུངས་དགོན།
1365,33.42878,103.36401,,3,Dachen,མདའ་ཆེན་དགོན།
1368,32.8135,103.64088,,3,Nateng,སྣ་སྟེང་དགོན།
1370,27.065915,88.472403,,3,ITBCI,ཨཱིཊBCཨཱི།
1373,29.2289,91.33956,,3,Dranang Jampa Ling,གྲ་ནང་བྱམས་པ་གླིང།
1374,27.040737,88.257913,,3,St. Joseph's School,
1380,33.1364361,98.1365361,,3,Kilung,ཀི་ལུང།
1391,29.7,88.7,,3,Ngonga Choding,མངོན་དགའ་ཆོས་སྡིང་།
1392,33.31504,95.19575,,3,Tashi Lhapuk,བཀྲ་ཤིས་ལྷ་ཕུག།
1393,30.828334,96.691721,,3,Chamdo Dolma Lhakhang,ཆབ་མདོ་སྒྲོལ་མ་ལྷ་ཁང།
1394,32.0895381,78.2125954,,3,Dangkhar,བྲག་མཁར།
1395,55.289916,-3.1876593,,3,Samye Ling,བསམ་ཡས་གླིང།
1396,27.7025,88.146667,,3,Kanchendzonga,གང་ཆེན་མཛོད་ལྔ།
1397,-7.608,110.204,,3,Borobudur,
1398,34.005278,77.820278,,3,Daktok,བྲག་ཐོག།
1399,29.763012,91.65875,,3,Gyama Rinchen Gang,རྒྱ་མ་རིན་ཆེན་སྒང།
1400,28.96667,89.18333,,3,Riwo Dangchen,རི་བོ་མདངས་ཅན།
1403,31.65,100.16666,,3,Ridak,རི་བྲག།
1404,32.029651,98.683675,,3,Galenteng,སྒ་ལེན་སྟེང།
1405,33.999298,77.630965,,3,Matho,མང་སྤྲོ་དགོན་པ།
1406,34.1255,77.5263,,3,Spituk,དཔེ་ཐུབ་དགའ་ལྡན་དར་རྒྱས་གླིང་དགོན་པ།
1407,34.07301,77.54865,,3,Stok Royal Palace,
1408,34.6316817,77.625252,,3,Samstanling,སམ་བསྟན་གླིང་དགོན་པ།
1409,29.6750704,91.0472662,,3,Petub Khamsten,དཔེ་ཐུབ་ཁམས་ཚན།
1410,25.381421,83.023027,,3,Mulagandhakuti Vihara,
