author_id,person_id,biography_id,display_order
4,13120,481,1
4,13121,482,1
4,10442,483,1
4,13122,484,1
4,13123,485,1
4,13124,486,1
4,13125,487,1
4,13126,488,1
4,13127,489,1
4,13128,490,1
6,84,11,1
6,9297,136,1
114,7473,1251,1
10,7815,549,1
10,8782,550,1
10,7601,551,1
10,10372,552,1
10,10482,553,1
10,10311,554,1
123,9983,1290,1
11,7918,519,1
11,7676,520,1
11,8355,521,1
11,7644,522,1
11,4379,523,1
11,13133,524,1
11,8028,525,1
11,4372,526,1
11,7895,527,1
11,8343,528,1
104,4086,1210,1
142,40,1442,1
12,8177,570,1
12,7719,571,1
12,10171,572,1
12,7874,618,1
12,8397,619,1
12,13147,620,1
115,13650,1252,1
115,7305,1254,1
115,6076,1337,1
115,12403,1338,1
115,7525,1339,1
115,13737,1341,1
115,13738,1342,1
115,8156,1343,1
115,13740,1344,1
115,13821,1404,1
115,13822,1405,1
115,13823,1406,1
115,13824,1407,1
115,13825,1408,1
120,8730,1262,1
118,13655,1257,1
118,5824,1272,1
85,7613,1101,1
19,8574,26,1
19,9169,118,1
19,6373,238,1
19,6770,240,1
19,8076,242,1
19,4002,246,1
19,8101,247,1
19,11565,252,1
19,8103,264,1
19,11597,265,1
19,6793,268,1
19,6690,282,1
19,6340,283,1
19,3778,284,1
19,2462,288,1
19,3782,289,1
19,2328,290,1
19,3783,291,1
19,3784,292,1
19,3785,293,1
19,3786,299,1
19,3788,301,1
19,3789,302,1
19,3791,303,1
19,3792,304,1
19,3793,305,1
19,3795,307,1
19,3794,308,1
19,11618,310,1
19,5137,311,1
19,13095,315,1
19,13097,316,1
19,13094,317,1
19,13098,318,1
19,13099,319,1
19,13100,320,1
19,13101,321,1
19,13096,322,1
19,8116,323,1
19,13102,324,1
19,13103,325,1
19,13104,326,1
19,13105,327,1
19,9750,328,1
19,13106,329,1
19,13107,330,1
19,13108,332,1
19,13109,333,1
19,13110,334,1
19,4285,335,1
19,29,336,1
19,3274,341,1
19,2592,342,1
19,2329,343,1
19,4631,344,1
19,4402,348,1
19,13111,349,1
19,4669,350,1
19,10794,351,1
19,7093,352,1
19,6953,353,1
19,2912,356,1
19,4535,357,1
19,3877,358,1
19,7240,361,1
19,13112,362,1
19,6286,363,1
19,6219,364,1
19,6910,365,1
19,6997,366,1
19,1637,367,1
19,5480,368,1
19,8099,370,1
19,7230,371,1
19,3743,372,1
19,5953,373,1
19,12817,374,1
19,2871,375,1
19,8086,376,1
19,1586,377,1
19,8342,378,1
19,13113,379,1
19,6872,380,1
19,5432,381,1
19,7083,382,1
19,5777,383,1
19,8106,384,1
19,9795,385,1
19,4730,386,1
19,5511,389,1
19,4092,390,1
19,4265,391,1
19,8105,392,1
19,7107,393,1
19,6110,395,1
19,7879,396,1
19,8128,397,1
19,2523,398,1
19,4276,399,1
19,5899,400,1
19,3225,401,1
19,2814,402,1
19,2952,403,1
19,3008,404,1
19,5902,405,1
19,2816,406,1
19,8097,407,1
19,8107,408,1
19,6466,409,1
19,2442,410,1
19,5729,411,1
19,6586,412,1
19,1728,413,1
19,6587,414,1
19,8108,415,1
19,6648,416,1
19,2327,417,1
19,8109,418,1
19,2872,419,1
19,5706,420,1
19,5796,421,1
19,4487,422,1
19,4488,423,1
19,4489,424,1
19,3173,425,1
19,4490,426,1
19,6536,427,1
19,6535,428,1
19,3171,429,1
19,4492,430,1
19,6526,431,1
19,4493,432,1
19,4494,433,1
19,4495,434,1
19,4496,435,1
19,4497,436,1
19,4498,437,1
19,5652,438,1
19,4499,439,1
19,4500,440,1
19,7937,441,1
19,5360,442,1
19,9523,444,1
19,2238,445,1
19,6818,446,1
19,2237,447,1
19,2235,448,1
19,4501,449,1
19,5901,450,1
19,5415,451,1
19,5381,452,1
19,5932,453,1
19,5371,454,1
19,5317,455,1
19,2819,456,1
19,5485,457,1
19,6646,458,1
19,6979,459,1
19,7182,460,1
19,11131,461,1
19,6498,462,1
19,9059,463,1
19,9058,464,1
19,9057,465,1
19,9055,466,1
19,4469,467,1
19,6738,468,1
19,4206,469,1
19,4277,470,1
19,4278,471,1
19,4279,472,1
19,4280,473,1
19,4282,474,1
19,6978,475,1
19,10497,479,1
19,2589,492,1
19,10573,493,1
19,2456,494,1
19,9056,495,1
19,2232,498,1
19,2781,499,1
19,2780,500,1
19,7870,501,1
19,9049,502,1
19,9050,503,1
19,9051,504,1
19,9053,505,1
19,7743,506,1
19,7152,511,1
19,10654,512,1
19,10656,513,1
19,10649,514,1
19,10659,515,1
19,10658,516,1
19,10572,517,1
19,7736,532,1
19,10571,533,1
19,13134,534,1
19,4028,535,1
19,8571,568,1
19,9923,569,1
19,8539,573,1
19,8580,574,1
19,2996,576,1
19,5500,581,1
19,8562,584,1
19,8609,585,1
19,8610,586,1
19,8563,587,1
19,8575,588,1
19,8549,592,1
19,3153,597,1
19,9190,598,1
19,8538,606,1
19,3020,607,1
19,10832,608,1
19,9383,609,1
19,10068,610,1
19,8578,611,1
19,10828,612,1
19,4259,621,1
19,4141,622,1
19,4314,623,1
19,2118,631,1
19,10673,632,1
19,10678,633,1
19,8618,634,1
19,10676,635,1
19,8631,636,1
19,8551,637,1
19,8630,638,1
19,8566,639,1
19,8629,640,1
19,8543,641,1
19,8596,642,1
19,8617,643,1
19,8603,644,1
19,8584,645,1
19,8616,646,1
19,13148,647,1
19,13149,648,1
19,11432,649,1
19,13150,650,1
19,10827,651,1
19,4986,652,1
19,4987,653,1
19,13151,654,1
19,13152,655,1
19,4659,656,1
19,9601,657,1
19,10413,659,1
19,8625,662,1
19,13157,663,1
19,8567,664,1
19,2784,668,1
19,8633,670,1
19,8585,671,1
19,8600,672,1
19,8583,673,1
19,8624,674,1
19,13163,676,1
19,13162,677,1
19,10422,678,1
19,9546,679,1
19,5791,689,1
19,10412,690,1
19,9213,691,1
19,9525,695,1
19,5164,701,1
19,9884,702,1
19,5166,703,1
19,8536,704,1
19,11487,705,1
19,11488,706,1
19,11491,707,1
19,11426,708,1
19,11489,709,1
19,9593,727,1
19,13169,728,1
19,13170,729,1
19,11490,730,1
19,9622,731,1
19,11444,736,1
19,5041,738,1
19,5044,739,1
19,11445,740,1
19,4125,742,1
19,11435,772,1
19,9588,773,1
19,11443,788,1
19,7559,789,1
19,12906,790,1
19,13178,791,1
19,5048,792,1
19,5078,793,1
19,5024,794,1
19,9589,795,1
19,9203,796,1
19,10169,804,1
19,9929,813,1
19,11427,814,1
19,13181,817,1
19,3010,833,1
19,8975,834,1
19,9052,835,1
19,5099,844,1
19,5115,845,1
19,5117,846,1
19,9513,848,1
19,13191,849,1
19,13190,850,1
19,13189,851,1
19,9935,852,1
19,5121,880,1
19,5120,881,1
19,5122,882,1
19,7232,895,1
19,7294,896,1
19,13183,897,1
19,8079,898,1
19,2896,899,1
19,5349,913,1
19,8085,983,1
19,13404,984,1
19,13423,985,1
19,10415,1099,1
19,10414,1100,1
19,3152,1193,1
96,13596,1187,1
56,11603,843,1
79,6412,976,1
26,7107,393,1
26,4642,507,1
26,3889,518,1
26,2788,530,1
26,4665,531,1
26,2436,537,1
26,3074,538,1
26,5426,539,1
26,6505,541,1
26,3977,546,1
26,3086,556,1
26,6529,557,1
26,2506,692,1
26,2758,693,1
26,2943,694,1
26,3712,712,1
26,3708,713,1
26,1575,714,1
26,9873,715,1
26,2755,716,1
26,13166,725,1
26,13167,726,1
26,13171,734,1
26,13173,735,1
26,5889,753,1
26,8069,754,1
26,7105,755,1
26,6731,756,1
26,6622,757,1
26,6760,758,1
26,4607,759,1
26,8184,760,1
26,4720,761,1
26,3769,762,1
26,6025,763,1
26,5910,764,1
26,3080,765,1
26,6045,784,1
26,7170,785,1
26,7171,786,1
26,7172,787,1
26,2392,798,1
26,2399,799,1
26,13179,800,1
26,2393,801,1
26,2441,805,1
26,10957,808,1
26,1564,809,1
26,6729,810,1
26,6635,811,1
26,6185,812,1
26,13195,839,1
26,6161,861,1
26,6502,862,1
26,6928,863,1
26,6198,864,1
26,6929,865,1
26,7876,866,1
26,7876,867,1
26,7877,868,1
26,2330,877,1
26,6935,878,1
26,6940,879,1
26,6580,903,1
26,9693,904,1
26,4380,905,1
26,4163,906,1
26,10394,907,1
26,13202,927,1
26,13203,928,1
26,13201,929,1
26,2469,930,1
26,6335,1039,1
26,6336,1040,1
26,6337,1041,1
26,6338,1042,1
26,5326,1044,1
26,2640,1045,1
26,2639,1046,1
26,4080,1047,1
26,9442,1048,1
26,6341,1049,1
26,6342,1050,1
26,6343,1051,1
26,6344,1052,1
26,6345,1053,1
26,6346,1054,1
26,3072,1055,1
26,13507,1056,1
26,6348,1059,1
26,6349,1060,1
26,13511,1064,1
26,13512,1065,1
26,2336,1066,1
26,13513,1067,1
26,6350,1070,1
26,6334,1071,1
26,13502,1072,1
26,7581,1073,1
26,13516,1074,1
26,13517,1075,1
26,13518,1076,1
26,2720,1082,1
26,6499,1083,1
26,13527,1084,1
26,13528,1085,1
26,6331,1089,1
26,13533,1090,1
26,13532,1091,1
26,11972,1092,1
26,13534,1093,1
26,13535,1094,1
26,13536,1095,1
26,13537,1096,1
26,13538,1097,1
26,13539,1098,1
26,12100,1103,1
26,13541,1104,1
26,13542,1105,1
26,13543,1106,1
26,13544,1107,1
26,6567,1108,1
26,6568,1110,1
26,6892,1111,1
26,13547,1114,1
26,6333,1115,1
26,6332,1116,1
26,9171,1117,1
26,6353,1118,1
26,11246,1122,1
26,11245,1123,1
26,11279,1124,1
26,8892,1125,1
26,11277,1126,1
26,13550,1127,1
26,11278,1128,1
26,3109,1129,1
26,5331,1130,1
26,2973,1132,1
26,13558,1133,1
26,12865,1134,1
26,8754,1135,1
26,13559,1136,1
26,13560,1137,1
26,5641,1138,1
26,13561,1139,1
26,13562,1140,1
26,13563,1141,1
26,13564,1142,1
26,7462,1143,1
26,7521,1144,1
26,4177,1149,1
26,8753,1151,1
26,6395,1152,1
26,5313,1153,1
26,2434,1154,1
26,2427,1155,1
26,5985,1156,1
26,6779,1157,1
26,6801,1158,1
26,6982,1159,1
26,8757,1164,1
