Statement Type,Statement Narrative
Relative,"The author of this essay is a relative of the biographical subject. The author has fully disclosed this fact to the Treasury of Lives editorial staff, and that information was made known to the peer reviewer."
Student,"The author of this essay is a student of the biographical subject. The author has fully disclosed this fact to the Treasury of Lives editorial staff, and that information was made known to the peer reviewer."
