biography_id,person_id,initial_approval_date,published_display_date
169,13071,2009-11-01 0:00:00,November 2009
167,13069,2009-11-01 0:00:00,November 2009
168,13070,2009-11-01 0:00:00,November 2009
178,11141,2009-11-01 0:00:00,November 2009
166,13068,2009-11-01 0:00:00,November 2009
165,13067,2009-11-01 16:50:43,November 2009
17,8750,2009-12-01 0:00:00,December 2009
187,13073,2009-12-01 0:00:00,December 2009
179,1981,2009-12-01 0:00:00,December 2009
183,4349,2009-12-01 0:00:00,December 2009
118,9169,2009-12-01 0:00:00,December 2009
171,13072,2009-12-01 0:00:00,December 2009
186,4632,2009-12-01 0:00:00,December 2009
174,3175,2009-12-01 0:00:00,December 2009
153,8752,2009-12-01 0:00:00,December 2009
182,5615,2009-12-01 0:00:00,December 2009
129,4626,2009-12-01 0:00:00,December 2009
189,10536,2009-12-01 0:00:00,December 2009
22,4272,2009-12-01 0:00:00,December 2009
180,6452,2009-12-01 0:00:00,December 2009
173,6489,2009-12-01 0:00:00,December 2009
177,5786,2009-12-01 0:00:00,December 2009
151,6285,2009-12-01 0:00:00,December 2009
185,4630,2009-12-01 0:00:00,December 2009
20,9612,2009-12-01 0:00:00,December 2009
23,8825,2009-12-01 0:00:00,December 2009
12,8181,2009-12-01 0:00:00,December 2009
188,9634,2009-12-01 0:00:00,December 2009
96,6065,2009-12-01 0:00:00,December 2009
161,6746,2009-12-01 0:00:00,December 2009
190,9126,2009-12-01 0:00:00,December 2009
154,9990,2009-12-01 0:00:00,December 2009
156,5461,2009-12-01 0:00:00,December 2009
152,2733,2009-12-01 0:00:00,December 2009
164,2683,2009-12-01 0:00:00,December 2009
150,5717,2009-12-01 0:00:00,December 2009
184,3168,2009-12-01 0:00:00,December 2009
193,11352,2010-01-01 0:00:00,January 2010
194,2491,2010-01-01 0:00:00,January 2010
191,2051,2010-01-01 0:00:00,January 2010
192,2137,2010-01-01 0:00:00,January 2010
201,13076,2010-02-01 0:00:00,February 2010
200,13075,2010-02-01 0:00:00,February 2010
206,13078,2010-02-01 0:00:00,February 2010
197,13074,2010-02-01 0:00:00,February 2010
199,2280,2010-02-01 0:00:00,February 2010
196,4425,2010-02-01 0:00:00,February 2010
205,6735,2010-02-01 0:00:00,February 2010
208,11909,2010-02-01 0:00:00,February 2010
209,11942,2010-02-01 0:00:00,February 2010
198,4291,2010-02-01 0:00:00,February 2010
202,2891,2010-02-01 0:00:00,February 2010
195,10683,2010-02-01 0:00:00,February 2010
207,4267,2010-02-01 0:00:00,February 2010
221,2980,2010-03-01 0:00:00,March 2010
212,3028,2010-03-01 0:00:00,March 2010
210,8637,2010-03-01 0:00:00,March 2010
215,4348,2010-03-01 0:00:00,March 2010
214,4350,2010-03-01 0:00:00,March 2010
218,11462,2010-03-01 0:00:00,March 2010
216,11986,2010-03-01 0:00:00,March 2010
219,3141,2010-03-01 0:00:00,March 2010
220,12096,2010-03-01 0:00:00,March 2010
213,8361,2010-03-01 13:36:31,March 2010
217,11441,2010-03-12 14:22:14,March 2010
211,4352,2010-03-31 18:09:25,March 2010
248,1726,2010-04-11 0:00:00,April 2010
238,6373,2010-04-11 0:00:00,April 2010
240,6770,2010-04-11 0:00:00,April 2010
223,5644,2010-04-11 0:00:00,April 2010
242,8076,2010-04-11 0:00:00,April 2010
247,8101,2010-04-11 0:00:00,April 2010
225,2387,2010-04-11 0:00:00,April 2010
226,1898,2010-04-11 0:00:00,April 2010
244,8675,2010-04-11 0:00:00,April 2010
251,5750,2010-04-11 0:00:00,April 2010
250,2104,2010-04-11 0:00:00,April 2010
229,13079,2010-04-11 0:00:00,April 2010
230,13080,2010-04-11 0:00:00,April 2010
231,13081,2010-04-11 0:00:00,April 2010
236,5457,2010-04-11 0:00:00,April 2010
246,4002,2010-04-11 0:00:00,April 2010
224,3178,2010-04-11 0:00:00,April 2010
984,13404,2010-04-11 0:00:00,April 2010
983,8085,2010-04-11 0:00:00,April 2010
227,2338,2010-04-19 14:38:22,April 2010
232,13082,2010-04-19 15:37:23,April 2010
245,9254,2010-04-29 14:23:15,April 2010
249,6367,2010-04-30 15:34:24,April 2010
268,6793,2010-05-01 0:00:00,May 2010
265,11597,2010-05-01 0:00:00,May 2010
258,6251,2010-05-01 0:00:00,May 2010
267,1985,2010-05-01 0:00:00,May 2010
261,9590,2010-05-01 0:00:00,May 2010
266,3883,2010-05-01 0:00:00,May 2010
269,13089,2010-05-01 0:00:00,May 2010
262,13087,2010-05-01 0:00:00,May 2010
264,8103,2010-05-01 0:00:00,May 2010
252,11565,2010-05-01 0:00:00,May 2010
270,4660,2010-05-01 0:00:00,May 2010
255,2866,2010-05-01 0:00:00,May 2010
985,13423,2010-05-01 0:00:00,May 2010
256,9789,2010-05-12 16:01:36,May 2010
259,5437,2010-05-12 17:42:38,May 2010
253,9788,2010-05-13 9:56:22,May 2010
254,5555,2010-05-13 9:58:09,May 2010
260,6723,2010-05-13 10:02:04,May 2010
278,5406,2010-06-01 0:00:00,June 2010
283,6340,2010-06-01 0:00:00,June 2010
284,3778,2010-06-01 0:00:00,June 2010
290,2328,2010-06-01 0:00:00,June 2010
288,2462,2010-06-01 0:00:00,June 2010
291,3783,2010-06-01 0:00:00,June 2010
292,3784,2010-06-01 0:00:00,June 2010
272,1820,2010-06-01 0:00:00,June 2010
271,1963,2010-06-01 0:00:00,June 2010
289,3782,2010-06-01 0:00:00,June 2010
281,13092,2010-06-01 0:00:00,June 2010
273,13090,2010-06-01 0:00:00,June 2010
277,2203,2010-06-01 0:00:00,June 2010
299,3786,2010-06-01 0:00:00,June 2010
293,3785,2010-06-01 0:00:00,June 2010
282,6690,2010-06-01 0:00:00,June 2010
276,7024,2010-06-11 16:58:31,June 2010
279,5753,2010-06-14 14:38:14,June 2010
285,7370,2010-06-23 15:45:22,June 2010
280,5401,2010-06-25 13:34:47,June 2010
315,13095,2010-07-01 0:00:00,July 2010
319,13099,2010-07-01 0:00:00,July 2010
320,13100,2010-07-01 0:00:00,July 2010
294,6100,2010-07-01 0:00:00,July 2010
306,10507,2010-07-01 0:00:00,July 2010
298,13093,2010-07-01 0:00:00,July 2010
301,3788,2010-07-01 0:00:00,July 2010
302,3789,2010-07-01 0:00:00,July 2010
303,3791,2010-07-01 0:00:00,July 2010
305,3793,2010-07-01 0:00:00,July 2010
308,3794,2010-07-01 0:00:00,July 2010
297,7053,2010-07-01 0:00:00,July 2010
304,3792,2010-07-01 0:00:00,July 2010
307,3795,2010-07-01 0:00:00,July 2010
317,13094,2010-07-01 0:00:00,July 2010
321,13101,2010-07-01 0:00:00,July 2010
322,13096,2010-07-01 0:00:00,July 2010
318,13098,2010-07-01 0:00:00,July 2010
295,1029,2010-07-01 0:00:00,July 2010
296,1035,2010-07-06 16:45:10,July 2010
310,11618,2010-07-30 10:51:43,July 2010
311,5137,2010-07-30 10:52:02,July 2010
312,8868,2010-08-02 16:49:40,August 2010
323,8116,2010-08-11 12:03:52,August 2010
325,13103,2010-08-11 12:03:55,August 2010
326,13104,2010-08-11 12:03:56,August 2010
328,9750,2010-08-13 11:50:17,August 2010
329,13106,2010-08-13 11:50:18,August 2010
330,13107,2010-08-13 11:50:19,August 2010
332,13108,2010-08-27 15:59:57,August 2010
333,13109,2010-08-27 15:59:58,August 2010
334,13110,2010-08-27 15:59:59,August 2010
335,4285,2010-08-27 16:05:11,August 2010
378,8342,2010-09-01 0:00:00,September 2010
356,2912,2010-09-01 0:00:00,September 2010
363,6286,2010-09-01 0:00:00,September 2010
376,8086,2010-09-01 0:00:00,September 2010
382,7083,2010-09-01 0:00:00,September 2010
359,7622,2010-09-01 0:00:00,September 2010
345,3414,2010-09-01 0:00:00,September 2010
357,4535,2010-09-01 0:00:00,September 2010
361,7240,2010-09-01 0:00:00,September 2010
364,6219,2010-09-01 0:00:00,September 2010
365,6910,2010-09-01 0:00:00,September 2010
366,6997,2010-09-01 0:00:00,September 2010
367,1637,2010-09-01 0:00:00,September 2010
368,5480,2010-09-01 0:00:00,September 2010
370,8099,2010-09-01 0:00:00,September 2010
371,7230,2010-09-01 0:00:00,September 2010
372,3743,2010-09-01 0:00:00,September 2010
373,5953,2010-09-01 0:00:00,September 2010
374,12817,2010-09-01 0:00:00,September 2010
375,2871,2010-09-01 0:00:00,September 2010
377,1586,2010-09-01 0:00:00,September 2010
380,6872,2010-09-01 0:00:00,September 2010
381,5432,2010-09-01 0:00:00,September 2010
383,5777,2010-09-01 0:00:00,September 2010
384,8106,2010-09-01 0:00:00,September 2010
385,9795,2010-09-01 0:00:00,September 2010
358,3877,2010-09-01 0:00:00,September 2010
346,6726,2010-09-01 0:00:00,September 2010
7,4354,2010-09-01 0:00:00,September 2010
338,2591,2010-09-03 11:25:10,September 2010
339,2638,2010-09-03 13:42:29,September 2010
337,2598,2010-09-03 15:07:38,September 2010
344,4631,2010-09-13 16:27:14,August 2010
349,13111,2010-09-17 14:56:59,August 2010
340,2593,2010-09-21 17:15:17,September 2010
355,5819,2010-09-21 17:16:27,September 2010
354,5818,2010-09-21 17:18:35,September 2010
347,5817,2010-09-21 17:23:51,September 2010
360,11572,2010-09-23 16:46:19,September 2010
397,8128,2010-10-01 0:00:00,October 2010
395,6110,2010-10-01 0:00:00,October 2010
400,5899,2010-10-01 0:00:00,October 2010
401,3225,2010-10-01 0:00:00,October 2010
389,5511,2010-10-01 0:00:00,October 2010
407,8097,2010-10-01 0:00:00,October 2010
404,3008,2010-10-01 0:00:00,October 2010
393,7107,2010-10-01 0:00:00,October 2010
388,3040,2010-10-01 0:00:00,October 2010
396,7879,2010-10-01 0:00:00,October 2010
408,8107,2010-10-01 0:00:00,October 2010
390,4092,2010-10-01 0:00:00,October 2010
391,4265,2010-10-01 0:00:00,October 2010
392,8105,2010-10-01 0:00:00,October 2010
398,2523,2010-10-01 0:00:00,October 2010
399,4276,2010-10-01 0:00:00,October 2010
402,2814,2010-10-01 0:00:00,October 2010
403,2952,2010-10-01 0:00:00,October 2010
405,5902,2010-10-01 0:00:00,October 2010
409,6466,2010-10-01 0:00:00,October 2010
406,2816,2010-10-01 0:00:00,October 2010
369,6175,2010-10-01 0:00:00,October 2010
386,4730,2010-10-01 0:00:00,October 2010
348,4402,2010-10-13 17:04:25,August 2010
362,13112,2010-10-13 17:06:33,August 2010
379,13113,2010-10-20 10:16:16,August 2010
412,6586,2010-11-01 0:00:00,November 2010
414,6587,2010-11-01 0:00:00,November 2010
413,1728,2010-11-01 0:00:00,November 2010
410,2442,2010-11-01 0:00:00,November 2010
411,5729,2010-11-01 0:00:00,November 2010
415,8108,2010-11-01 0:00:00,November 2010
394,7803,2010-11-04 14:14:43,November 2010
421,5796,2010-12-01 0:00:00,December 2010
416,6648,2010-12-01 0:00:00,December 2010
418,8109,2010-12-01 0:00:00,December 2010
419,2872,2010-12-01 0:00:00,December 2010
425,3173,2010-12-01 0:00:00,December 2010
426,4490,2010-12-01 0:00:00,December 2010
427,6536,2010-12-01 0:00:00,December 2010
453,5932,2010-12-01 0:00:00,December 2010
424,4489,2010-12-01 0:00:00,December 2010
423,4488,2010-12-01 0:00:00,December 2010
275,5626,2010-12-01 12:49:42,December 2010
331,9095,2010-12-03 11:51:33,August 2010
351,10794,2010-12-03 11:58:07,August 2010
417,2327,2010-12-08 16:54:06,December 2010
420,5706,2010-12-08 16:54:11,December 2010
313,10528,2010-12-14 12:09:37,August 2010
324,13102,2010-12-14 16:37:47,August 2010
422,4487,2010-12-16 16:37:08,December 2010
6,2584,2010-12-17 14:26:51,December 2010
300,4217,2010-12-23 14:08:39,July 2010
27,6681,2010-12-23 14:13:34,December 2010
314,4220,2010-12-23 14:14:17,August 2010
309,4219,2010-12-23 14:15:57,July 2010
342,2592,2010-12-23 14:19:40,August 2010
316,13097,2010-12-23 14:25:30,July 2010
428,6535,2010-12-23 16:12:44,December 2010
97,10531,2010-12-29 9:28:52,August 2010
235,2948,2010-12-29 9:38:31,August 2010
443,13115,2011-01-01 0:00:00,January 2011
457,5485,2011-01-01 0:00:00,January 2011
456,2819,2011-01-01 0:00:00,January 2011
432,4493,2011-01-01 0:00:00,January 2011
433,4494,2011-01-01 0:00:00,January 2011
430,4492,2011-01-01 0:00:00,January 2011
434,4495,2011-01-01 0:00:00,January 2011
435,4496,2011-01-01 0:00:00,January 2011
437,4498,2011-01-01 0:00:00,January 2011
438,5652,2011-01-01 0:00:00,January 2011
439,4499,2011-01-01 0:00:00,January 2011
440,4500,2011-01-01 0:00:00,January 2011
442,5360,2011-01-01 0:00:00,January 2011
445,2238,2011-01-01 0:00:00,January 2011
449,4501,2011-01-01 0:00:00,January 2011
450,5901,2011-01-01 0:00:00,January 2011
451,5415,2011-01-01 0:00:00,January 2011
452,5381,2011-01-01 0:00:00,January 2011
454,5371,2011-01-01 0:00:00,January 2011
429,3171,2011-01-01 0:00:00,January 2011
458,6646,2011-01-01 0:00:00,January 2011
446,6818,2011-01-01 0:00:00,January 2011
431,6526,2011-01-04 14:51:53,January 2011
436,4497,2011-01-06 14:16:47,January 2011
