author_id,biography_id,display_order
16,2,1
16,4,1
16,5,1
16,6,1
21,7,1
15,9,1
13,10,1
6,11,1
5,12,1
13,13,1
13,14,1
7,15,1
7,16,1
5,17,1
7,18,1
13,18,1
15,19,1
5,20,1
7,21,1
5,22,1
5,23,1
13,24,1
13,25,1
5,26,1
19,26,1
15,27,1
44,27,1
15,28,1
15,29,1
13,30,1
15,31,1
15,32,1
16,33,1
16,34,1
16,35,1
16,37,1
16,38,1
16,39,1
16,40,1
16,41,1
16,42,1
16,43,1
16,44,1
16,45,1
16,46,1
16,47,1
16,48,1
16,49,1
16,50,1
29,51,1
29,52,1
29,53,1
29,54,1
29,55,1
29,56,1
29,57,1
29,58,1
29,60,1
29,61,1
29,62,1
29,63,1
29,64,1
29,65,1
29,66,1
29,67,1
29,68,1
29,69,1
29,70,1
29,71,1
29,72,1
29,73,1
29,74,1
29,75,1
29,76,1
29,77,1
29,78,1
29,79,1
29,80,1
29,81,1
29,82,1
29,83,1
29,84,1
16,85,1
16,86,1
16,87,1
16,88,1
16,89,1
16,90,1
16,91,1
2,92,1
2,93,1
2,94,1
2,95,1
5,96,1
16,97,1
16,98,1
16,99,1
16,100,1
16,101,1
16,102,1
16,103,1
16,104,1
16,105,1
16,106,1
16,107,1
16,108,1
16,109,1
16,110,1
5,111,1
16,112,1
16,113,1
13,114,1
13,115,1
7,116,1
7,117,1
19,118,1
15,121,1
15,122,1
15,123,1
51,124,1
7,125,1
13,126,1
15,127,1
15,128,1
5,129,1
15,130,1
15,131,1
15,132,1
15,133,1
15,134,1
9,135,1
6,136,1
7,137,1
15,138,1
7,139,1
35,140,1
13,141,1
30,142,1
30,143,1
2,144,1
2,145,1
30,146,1
54,147,1
9,148,1
136,149,1
5,150,1
5,151,1
5,152,1
20,153,1
5,154,1
27,155,1
5,156,1
13,157,1
13,158,1
5,159,1
2,160,1
5,161,1
2,162,1
5,163,1
5,164,1
5,165,1
5,166,1
5,167,1
5,168,1
7,170,1
5,171,1
2,172,1
5,173,1
5,174,1
16,175,1
7,176,1
5,177,1
5,178,1
5,179,1
5,180,1
5,181,1
34,182,1
5,183,1
5,184,1
5,185,1
5,186,1
5,187,1
5,188,1
5,189,1
5,190,1
30,191,1
30,192,1
17,193,1
30,194,1
30,195,1
24,196,1
33,197,1
5,198,1
23,199,1
38,200,1
38,201,1
25,202,1
7,203,1
15,204,1
30,205,1
5,206,1
5,207,1
5,208,1
5,209,1
5,210,1
5,211,1
5,212,1
5,213,1
5,214,1
5,215,1
5,216,1
5,217,1
5,218,1
30,219,1
1,220,1
1,221,1
28,223,1
21,224,1
8,225,1
30,225,1
30,226,1
5,227,1
32,228,1
1,229,1
1,230,1
1,231,1
1,232,1
1,233,1
1,234,1
37,235,1
5,236,1
13,237,1
19,238,1
19,240,1
8,241,1
19,242,1
39,244,1
39,245,1
19,246,1
19,247,1
5,248,1
5,249,1
5,250,1
5,251,1
19,252,1
5,253,1
5,254,1
30,255,1
5,256,1
1,257,1
5,258,1
5,259,1
5,260,1
39,261,1
1,262,1
1,263,1
19,264,1
19,265,1
39,266,1
30,267,1
19,268,1
1,269,1
36,270,1
30,271,1
30,272,1
1,273,1
1,274,1
8,275,1
5,276,1
5,277,1
5,278,1
5,279,1
5,280,1
1,281,1
19,282,1
19,283,1
19,284,1
5,285,1
8,286,1
8,287,1
19,288,1
19,289,1
19,290,1
19,291,1
19,292,1
19,293,1
5,294,1
5,295,1
5,296,1
5,297,1
1,298,1
19,299,1
30,300,1
19,301,1
19,302,1
19,303,1
19,304,1
19,305,1
30,306,1
19,307,1
19,308,1
30,309,1
19,310,1
19,311,1
5,312,1
30,313,1
30,314,1
19,315,1
19,316,1
19,317,1
19,318,1
19,319,1
19,320,1
19,321,1
19,322,1
19,323,1
19,324,1
19,325,1
19,326,1
19,327,1
19,328,1
19,329,1
19,330,1
5,331,1
19,332,1
19,333,1
19,334,1
19,335,1
19,336,1
5,337,1
5,338,1
5,339,1
5,340,1
19,341,1
19,342,1
19,343,1
19,344,1
3,345,1
3,346,1
5,347,1
19,348,1
19,349,1
19,350,1
19,351,1
19,352,1
19,353,1
5,354,1
5,355,1
19,356,1
19,357,1
19,358,1
14,359,1
5,360,1
101,360,2
19,361,1
19,362,1
19,363,1
19,364,1
19,365,1
19,366,1
19,367,1
19,368,1
5,369,1
19,370,1
19,371,1
19,372,1
19,373,1
19,374,1
19,375,1
19,376,1
19,377,1
19,378,1
19,379,1
19,380,1
19,381,1
19,382,1
19,383,1
19,384,1
19,385,1
19,386,1
22,387,1
5,388,1
19,389,1
19,390,1
19,391,1
19,392,1
19,393,1
26,393,1
14,394,1
19,395,1
19,396,1
19,397,1
19,398,1
19,399,1
19,400,1
19,401,1
19,402,1
19,403,1
19,404,1
19,405,1
19,406,1
19,407,1
19,408,1
19,409,1
19,410,1
19,411,1
19,412,1
19,413,1
19,414,1
19,415,1
19,416,1
19,417,1
19,418,1
19,419,1
19,420,1
19,421,1
19,422,1
19,423,1
19,424,1
19,425,1
19,426,1
19,427,1
19,428,1
19,429,1
19,430,1
19,431,1
19,432,1
19,433,1
19,434,1
19,435,1
19,436,1
19,437,1
19,438,1
19,439,1
19,440,1
19,441,1
19,442,1
1,443,1
19,444,1
19,445,1
19,446,1
19,447,1
19,448,1
19,449,1
19,450,1
19,451,1
19,452,1
19,453,1
19,454,1
19,455,1
19,456,1
19,457,1
19,458,1
19,459,1
19,460,1
19,461,1
19,462,1
19,463,1
19,464,1
19,465,1
19,466,1
19,467,1
19,468,1
19,469,1
19,470,1
19,471,1
19,472,1
19,473,1
19,474,1
19,475,1
1,476,1
1,477,1
1,478,1
19,479,1
1,480,1
4,481,1
4,482,1
4,483,1
4,484,1
4,485,1
4,486,1
4,487,1
4,488,1
4,489,1
4,490,1
1,491,1
19,492,1
19,493,1
19,494,1
19,495,1
28,496,1
1,497,1
19,498,1
19,499,1
19,500,1
19,501,1
19,502,1
19,503,1
19,504,1
19,505,1
19,506,1
26,507,1
32,508,1
1,509,1
31,510,1
19,511,1
19,512,1
19,513,1
19,514,1
19,515,1
19,516,1
19,517,1
26,518,1
37,518,1
11,519,1
11,520,1
11,521,1
11,522,1
11,523,1
11,524,1
11,525,1
11,526,1
11,527,1
11,528,1
32,529,1
26,530,1
26,531,1
19,532,1
19,533,1
19,534,1
19,535,1
28,536,1
26,537,1
26,538,1
26,539,1
14,540,1
26,541,1
32,542,1
32,543,1
32,544,1
1,545,1
26,546,1
37,546,1
32,547,1
32,548,1
10,549,1
10,550,1
10,551,1
10,552,1
10,553,1
10,554,1
32,555,1
26,556,1
26,557,1
18,558,1
18,559,1
32,560,1
32,561,1
32,562,1
32,563,1
32,564,1
32,565,1
32,566,1
1,567,1
19,568,1
19,569,1
12,570,1
12,571,1
12,572,1
19,573,1
19,574,1
5,575,1
19,576,1
18,577,1
5,578,1
5,579,1
5,580,1
19,581,1
5,582,1
5,583,1
19,584,1
19,585,1
19,586,1
19,587,1
19,588,1
5,589,1
5,590,1
5,591,1
19,592,1
18,593,1
5,594,1
5,596,1
19,597,1
19,598,1
18,599,1
14,600,1
14,601,1
14,602,1
14,603,1
14,604,1
14,605,1
19,606,1
19,607,1
19,608,1
19,609,1
19,610,1
19,611,1
19,612,1
32,613,1
48,614,1
32,615,1
32,616,1
32,617,1
12,618,1
12,619,1
12,620,1
19,621,1
19,622,1
19,623,1
5,624,1
5,625,1
5,626,1
5,627,1
5,628,1
40,629,1
41,630,1
19,631,1
19,632,1
19,633,1
19,634,1
19,635,1
19,636,1
19,637,1
19,638,1
19,639,1
19,640,1
