biography_id,person_id,published_display_date,updated_display_date,initial_approval_date
123,11117,August 2007,,2010-04-01 10:34:31
124,5999,April 2013,,2010-12-23 14:10:53
125,9121,August 2007,,2011-06-23 16:20:52
126,6205,August 2007,,2010-04-07 17:29:53
127,1108,August 2007,,2010-04-07 16:34:51
128,490,August 2007,,2010-04-08 9:31:49
129,4626,December 2009,,2010-11-23 10:57:36
130,5281,August 2007,,2010-11-23 10:56:03
131,86,August 2007,,2010-04-07 15:12:32
132,9618,August 2007,,2010-11-11 10:56:12
133,5234,August 2007,,2010-12-23 15:27:00
134,96,August 2007,,2010-04-07 15:10:36
135,9,August 2007,,2010-04-07 16:22:54
136,9297,August 2007,,2010-12-14 16:29:42
137,9372,August 2007,,2011-07-27 21:38:01
138,6653,August 2007,,2010-09-21 17:14:23
139,10301,August 2007,,2011-04-26 14:11:51
140,10815,August 2007,,2010-12-29 9:35:26
141,7429,August 2007,,2010-11-23 11:00:26
142,2916,June 2011,,2011-06-03 12:19:52
143,2919,June 2011,,2011-06-03 12:22:12
144,13026,September 2008,,2010-04-08 15:26:28
145,12521,September 2008,,2010-10-26 17:57:46
146,2915,June 2011,,2011-06-23 16:22:40
147,3006,May 2013,,2010-12-23 14:17:00
148,10083,August 2007,,2010-12-08 12:11:59
149,9688,August 2007,,2010-04-01 11:37:59
150,5717,December 2009,,2011-07-05 17:57:47
151,6285,December 2009,,2010-12-23 15:30:07
152,2733,December 2009,,2011-06-29 17:01:07
153,8752,December 2009,,2010-08-11 13:46:50
154,9990,December 2009,,2011-06-08 16:17:24
155,3866,October 2009,,2011-02-18 16:17:36
156,5461,December 2009,,2011-06-22 13:34:35
157,3121,August 2007,,2010-12-23 15:22:20
158,8472,August 2007,,2010-12-23 15:22:53
159,3125,October 2009,,2010-09-17 14:19:19
160,12883,August 2007,July 2015,2010-03-31 15:20:48
161,6746,December 2009,,2011-02-16 17:15:21
162,3744,September 2008,,2010-04-05 16:55:47
163,9839,October 2009,,2011-05-04 10:34:28
164,2683,December 2009,,2011-07-05 15:38:27
165,13067,November 2009,,2010-04-05 16:50:43
166,13068,November 2009,,2011-06-23 16:33:37
167,13069,November 2009,,2010-04-08 10:16:27
168,13070,November 2009,,2010-04-08 10:30:55
169,13071,November 2009,,2010-04-08 10:14:05
170,10315,August 2007,,2011-07-27 22:41:49
171,13072,December 2009,,2010-04-08 13:50:06
172,8027,August 2007,,2011-06-16 11:55:14
173,6489,December 2009,,2010-12-23 14:48:03
174,3175,December 2009,,2010-04-08 16:11:01
175,2799,August 2008,,2010-09-17 14:10:09
176,1722,August 2007,,2010-04-07 15:14:15
177,5786,December 2009,,2010-12-23 14:53:27
178,11141,November 2009,,2010-04-08 14:16:53
179,1981,December 2009,,2010-04-07 14:59:34
180,6452,December 2009,,2010-12-23 14:45:24
181,2774,May 2014,,2010-12-23 14:47:18
182,5615,December 2009,,2010-09-21 17:24:54
183,4349,December 2009,,2010-04-07 16:39:19
184,3168,December 2009,,2011-07-20 20:43:33
185,4630,December 2009,,2010-12-23 15:32:53
186,4632,December 2009,,2010-04-08 15:57:37
187,13073,December 2009,July 2015,2010-04-05 17:57:58
188,9634,December 2009,,2011-02-03 16:41:22
189,10536,December 2009,,2010-12-01 13:10:40
190,9126,December 2009,,2011-04-15 11:55:02
191,2051,January 2010,,2011-06-22 15:51:40
192,2137,January 2010,,2011-07-19 18:04:44
193,11352,January 2010,,2010-10-29 13:51:19
194,2491,January 2010,,2010-12-23 15:10:53
195,10683,February 2010,,2011-06-23 16:52:53
196,4425,February 2010,,2010-12-23 10:41:45
197,13074,February 2010,,2010-04-08 15:14:20
198,4291,February 2010,,2011-02-17 11:13:30
199,2280,February 2010,,2010-11-12 10:29:38
200,13075,February 2010,,2010-04-07 17:47:36
201,13076,February 2010,,2010-04-07 11:59:45
202,2891,February 2010,,2011-06-23 16:13:01
203,9646,August 2008,,2010-04-05 14:30:02
204,13077,August 2007,,2010-04-07 13:42:13
205,6735,February 2010,,2010-12-23 14:05:40
206,13078,February 2010,,2010-04-08 12:49:48
207,4267,February 2010,,2011-07-06 10:10:45
208,11909,February 2010,,2010-12-23 14:28:18
209,11942,February 2010,,2010-12-23 14:54:04
210,8637,March 2010,,2010-04-08 11:41:05
211,4352,March 2010,,2010-03-31 18:09:25
212,3028,March 2010,,2010-04-07 16:02:09
213,8361,March 2010,,2010-04-07 13:36:31
214,4350,March 2010,,2010-04-08 15:41:54
215,4348,March 2010,,2010-04-08 12:46:48
216,11986,March 2010,,2010-12-23 15:13:12
217,11441,March 2010,,2010-03-12 14:22:14
218,11462,March 2010,,2010-04-08 15:50:35
219,3141,March 2010,,2011-01-19 12:15:01
220,12096,March 2010,,2011-02-14 10:43:45
221,2980,March 2010,,2010-04-07 10:04:00
223,5644,April 2010,,2010-09-17 14:01:05
224,3178,April 2010,,2011-07-20 19:17:30
225,2387,April 2010,,2010-12-14 16:43:04
226,1898,April 2010,,2010-12-23 14:03:09
227,2338,April 2010,,2010-04-19 14:38:22
228,2340,July 2014,,2010-05-06 16:17:32
229,13079,April 2010,,2010-12-23 15:27:43
230,13080,April 2010,,2011-02-14 10:38:15
231,13081,April 2010,,2011-02-14 10:38:34
232,13082,April 2010,,2010-04-19 15:37:23
233,13083,September 2017,,2010-04-19 15:37:23
234,13084,February 2011,,2011-02-14 10:44:28
235,2948,August 2010,,2010-12-29 9:38:31
236,5457,April 2010,,2011-05-02 11:31:08
237,7164,August 2007,,2011-05-06 12:19:16
238,6373,April 2010,,2010-05-13 16:40:24
240,6770,April 2010,,2010-05-13 16:41:26
241,6257,January 2015,,2010-09-17 14:01:50
242,8076,April 2010,,2010-12-01 12:38:45
244,8675,April 2010,,2010-12-23 14:34:57
245,9254,April 2010,,2010-04-29 14:23:15
246,4002,April 2010,,2011-07-05 14:50:53
247,8101,April 2010,,2010-12-01 12:45:42
248,1726,April 2010,,2010-05-13 10:01:24
249,6367,April 2010,,2010-04-30 15:34:24
250,2104,April 2010,,2010-12-23 14:54:58
251,5750,April 2010,,2010-12-23 14:51:39
252,11565,May 2010,,2011-06-23 15:59:35
253,9788,May 2010,,2010-05-13 9:56:22
254,5555,May 2010,,2010-05-13 9:58:09
255,2866,May 2010,,2011-06-23 17:07:45
256,9789,May 2010,,2010-05-12 16:01:36
257,13086,July 2020,,2011-06-23 16:01:06
258,6251,May 2010,,2010-12-14 12:00:17
259,5437,May 2010,,2010-05-12 17:42:38
260,6723,May 2010,,2010-05-13 10:02:04
261,9590,May 2010,,2010-12-23 14:12:48
262,13087,May 2010,,2011-03-02 15:16:51
263,13088,September 2017,,2011-02-14 10:43:13
264,8103,May 2010,,2011-03-16 14:15:57
265,11597,May 2010,,2010-12-13 12:07:28
266,3883,May 2010,,2010-12-23 14:31:43
267,1985,May 2010,,2010-12-14 16:24:14
268,6793,May 2010,,2010-07-19 14:45:02
269,13089,May 2010,,2011-02-14 10:39:08
270,4660,"May, 2010",,2011-06-23 16:31:36
271,1963,June 2010,,2010-12-23 14:15:21
272,1820,June 2010,,2010-12-14 12:10:32
273,13090,June 2010,,2011-02-14 10:44:09
274,13091,December 2017,,2011-02-14 10:39:37
275,5626,December 2010,,2010-12-01 12:49:42
276,7024,June 2010,,2010-06-11 16:58:31
277,2203,June 2010,,2011-03-02 15:06:37
278,5406,June 2010,,2010-07-06 15:21:59
279,5753,June 2010,,2010-06-14 14:38:14
280,5401,June 2010,,2010-06-25 13:34:47
281,13092,June 2010,,2011-01-07 12:08:59
282,6690,June 2010,,2011-06-22 16:01:34
283,6340,June 2010,,2010-11-12 10:38:07
284,3778,June 2010,,2010-11-12 10:38:20
285,7370,June 2010,,2010-06-23 15:45:22
286,5408,July 2014,,2010-07-06 16:48:52
287,7512,July 2014,,2010-09-09 15:39:25
288,2462,June 2010,,2010-11-12 10:38:46
289,3782,June 2010,,2010-12-29 9:31:09
290,2328,June 2010,,2010-11-12 10:38:32
291,3783,June 2010,,2010-11-12 10:39:35
292,3784,June 2010,,2010-12-01 12:44:03
293,3785,June 2010,,2011-06-16 12:04:31
294,6100,July 2010,,2010-12-14 16:46:55
295,1029,July 2010,,2011-07-19 18:17:26
296,1035,July 2010,,2010-07-06 16:45:10
297,7053,July 2010,,2011-06-30 15:48:40
298,13093,July 2010,,2011-02-14 10:42:32
299,3786,June 2010,,2011-03-23 15:59:32
300,4217,July 2010,,2010-12-23 14:08:39
301,3788,July 2010,,2011-03-11 10:22:52
302,3789,July 2010,,2011-03-11 10:23:10
303,3791,July 2010,,2011-03-11 10:23:36
304,3792,July 2010,,2011-07-05 14:21:14
305,3793,July 2010,,2011-03-11 10:24:11
306,10507,July 2010,,2010-12-23 10:44:35
