Person ID,Historical Period ID,Historical Period Name,Person Name
5485,14,19th Century,Jampel Tsultrim
5490,14,19th Century,Lobzang Tenpai Gyeltsen
5490,15,20th Century,Lobzang Tenpai Gyeltsen
5500,9,14th Century,Go Lotsāwa Zhonnu Pel
5500,10,15th Century,Go Lotsāwa Zhonnu Pel
5511,11,16th Century,Tsuklak Trengwa
5527,7,12th Century,Niṣkalaṅka
5555,8,13th Century,Nartangpa Tsultrim Gyeltsen
5588,8,13th Century,Guru Chowang
5615,6,11th Century,Drokmi Śākya Yeshe
5626,9,14th Century,Buddhaśrī
5626,10,15th Century,Buddhaśrī
5641,12,17th Century,Deumar Geshe Tendzin Puntsok
5641,13,18th Century,Deumar Geshe Tendzin Puntsok
5644,5,10th Century,Machik Labdron
5644,6,11th Century,Machik Labdron
5652,13,18th Century,Ngawang Tsultrim
5693,9,14th Century,Umapa Tsondru Sengge
5693,10,15th Century,Umapa Tsondru Sengge
5717,6,11th Century,Atiśa Dīpaṃkara
5729,13,18th Century,Sumpa Khenpo Yeshe Peljor
5750,8,13th Century,Bakton Zhonnu Tsultrim
5753,6,11th Century,Draktengpa Yonten Tsultrim
5777,11,16th Century,Gendun Gyeltsen
5786,6,11th Century,Potowa Rinchen Sel
5790,7,12th Century,Tumton Lodro Drakpa
5791,7,12th Century,Chekhawa Yeshe Dorje
5795,9,14th Century,Shākya Yeshe
5795,10,15th Century,Shākya Yeshe
5796,12,17th Century,Jinpa Gyatso
5801,6,11th Century,Naktso Lotsāwa Tsultrim Gyelwa
5803,6,11th Century,Go Khukpa Lhetse
5805,12,17th Century,Polhane Sonam Tobgye
5805,13,18th Century,Polhane Sonam Tobgye
5817,8,13th Century,Lhodrak Namkha Gyelpo
5817,9,14th Century,Lhodrak Namkha Gyelpo
5818,9,14th Century,Lhodrak Sengge Zangpo
5819,9,14th Century,Lhodrak Gyelse Zangpo
5820,6,11th Century,Chennga Tsultrim Bar
5822,6,11th Century,Jayulwa Zhonnu Wo
5822,7,12th Century,Jayulwa Zhonnu Wo
5824,9,14th Century,Tsakho Ngawang Drakpa
5849,9,14th Century,Jamyang Choje Tashi Pelden
5849,10,15th Century,Jamyang Choje Tashi Pelden
5858,10,15th Century,Gorumpa Kunga Lekpa
5858,11,16th Century,Gorumpa Kunga Lekpa
5871,12,17th Century,Tsangyang Gyatso
5871,13,18th Century,Tsangyang Gyatso
5889,12,17th Century,Ngawang Tendzin
5889,13,18th Century,Ngawang Tendzin
5894,15,20th Century,Tubten Lhundrub
5897,14,19th Century,Amdo Geshe Jampel Rolpai Lodro
5897,15,20th Century,Amdo Geshe Jampel Rolpai Lodro
5899,12,17th Century,Lobzang Rabten
5901,13,18th Century,Gendun Tsultrim
5901,14,19th Century,Gendun Tsultrim
5902,14,19th Century,Shedrub Gyatso
5910,13,18th Century,Konchok Gyepai Lodro
5910,14,19th Century,Konchok Gyepai Lodro
5924,9,14th Century,Chokyi Gyeltsen
5924,10,15th Century,Chokyi Gyeltsen
5926,11,16th Century,Tashi Peljor
5927,11,16th Century,Chokyi Gyeltsen
5927,12,17th Century,Chokyi Gyeltsen
5928,11,16th Century,Mutruk Chokyi Gocha
5932,13,18th Century,Lobzang Gelek
5932,14,19th Century,Lobzang Gelek
5953,11,16th Century,Chodrak Zangpo
5985,12,17th Century,Chakpa Chopel
5985,13,18th Century,Chakpa Chopel
5997,7,12th Century,Pelchen Chokyi Yeshe
5997,8,13th Century,Pelchen Chokyi Yeshe
5999,7,12th Century,Nyangrel Nyima Wozer
6009,11,16th Century,Depa Trinle Gyatso
6009,12,17th Century,Depa Trinle Gyatso
6010,8,13th Century,Namkha Pel
6025,13,18th Century,Jigme Gyeltsen
6025,14,19th Century,Jigme Gyeltsen
6037,7,12th Century,Ga Lotsāwa Zhonnu Pel
6045,13,18th Century,Ngawang Jamyang Tashi
6045,14,19th Century,Ngawang Jamyang Tashi
6065,12,17th Century,Ngawang Lobzang Gyatso
6076,6,11th Century,Pakpa Sherab
6099,14,19th Century,Ngawang Tendzin Gyatso
6100,6,11th Century,Khon Konchok Gyelpo
6110,14,19th Century,Konchok Tenpai Gyatso
6122,10,15th Century,Trulzhik Tsultrim Gyeltsen
6134,7,12th Century,Tsondru Sengge
6134,8,13th Century,Tsondru Sengge
6138,8,13th Century,Sonam Pel
6147,7,12th Century,Khenpo Zopa
6147,8,13th Century,Khenpo Zopa
6159,7,12th Century,Parpuwa Lodro Sengge
6161,12,17th Century,Lobzang Nyima
6161,13,18th Century,Lobzang Nyima
6175,12,17th Century,Khardo Zopa Gyatso
6175,13,18th Century,Khardo Zopa Gyatso
6185,13,18th Century,Tenzin Trinle
6194,6,11th Century,Rongzom Chokyi Zangpo
6194,7,12th Century,Rongzom Chokyi Zangpo
6198,13,18th Century,Jamyang Tubten Nyima
6198,14,19th Century,Jamyang Tubten Nyima
6205,3,8th Century,Nyang Tingdzin Zangpo
6214,6,11th Century,Vajrāsana the latter
6219,10,15th Century,Sherab Dar Lekpai Lodro
6219,11,16th Century,Sherab Dar Lekpai Lodro
6251,9,14th Century,Konchok Tsultrim
6257,9,14th Century,Sabzang Pakpa Zhonnu Lodro
6264,12,17th Century,Lobsang Jamyang
6275,6,11th Century,Gorub Lotsāwa Chokyi Sherab
6278,10,15th Century,Namgyel Drakpa Zangpo
6285,6,11th Century,Khyungpo Neljor
6285,7,12th Century,Khyungpo Neljor
6286,10,15th Century,Lobzang Drakpa
6286,11,16th Century,Lobzang Drakpa
6331,15,20th Century,Pema Wangchuk
6333,14,19th Century,Tsewang Sonam Tobgyel
6333,15,20th Century,Tsewang Sonam Tobgyel
6334,14,19th Century,Rinchen Tendzin Trinle Dorje
6335,9,14th Century,Changtul
6335,10,15th Century,Changtul
6336,10,15th Century,Tsenpo Pellek
6337,10,15th Century,Tashi Bum
6338,10,15th Century,Gakye
6339,10,15th Century,Wangchuk
6339,11,16th Century,Wangchuk
6340,11,16th Century,Sanggye Pel
6341,11,16th Century,Gonpo Dargye
6342,11,16th Century,Kelzang Wangchuk
6342,12,17th Century,Kelzang Wangchuk
6343,12,17th Century,Tashi Rabten
6344,12,17th Century,Tsewang Dondrub
6345,12,17th Century,Lobzang Dondrub
6346,12,17th Century,Makzor Gonpo
6346,13,18th Century,Makzor Gonpo
6348,13,18th Century,Tensung Tsering
6349,13,18th Century,Tenzin Rinchen
6349,14,19th Century,Tenzin Rinchen
6350,13,18th Century,Jigme Topgye
6350,14,19th Century,Jigme Topgye
6351,10,15th Century,Shākya Chokden
6353,14,19th Century,Konchok Damcho Gyatso
6367,7,12th Century,Kyobpa Pel Zangpo
6373,10,15th Century,Sherab Peltsek
6374,8,13th Century,Drakpa Gyeltsen
6393,6,11th Century,Chokyi Lama
6393,7,12th Century,Chokyi Lama
6395,15,20th Century,Tsunma Yulha
6405,7,12th Century,Tropu Lotsāwa Jampa Pel
6405,8,13th Century,Tropu Lotsāwa Jampa Pel
6412,11,16th Century,Buddhagupta-nātha
6419,14,19th Century,Tubten Jigme Gyatso
6441,6,11th Century,Tolungpa Rinchen Nyingpo
6441,7,12th Century,Tolungpa Rinchen Nyingpo
6452,6,11th Century,Puchungwa Zhonnu Gyeltsen
6466,11,16th Century,Konchok Chozang
6466,12,17th Century,Konchok Chozang
6470,14,19th Century,Minyak Kunzang Sonam
6489,9,14th Century,Drungchen Khachopa Namkha Gyeltsen
6489,10,15th Century,Drungchen Khachopa Namkha Gyeltsen
6491,7,12th Century,Doton Sherab Drakpa
6493,12,17th Century,Ngawang Trinle Gyatso
6493,13,18th Century,Ngawang Trinle Gyatso
6498,14,19th Century,Lobzang Khyenrab Wangchuk
6499,12,17th Century,Tenpa Tsering
6499,13,18th Century,Tenpa Tsering
6502,13,18th Century,Jigme Lungrik Gyatso
6505,12,17th Century,Ngawang Tashi
6505,13,18th Century,Ngawang Tashi
6526,12,17th Century,Ngawang Chokden
6526,13,18th Century,Ngawang Chokden
6529,13,18th Century,Lobzang Nyendrak
6535,14,19th Century,Jigme Tenpai Nyima
6536,13,18th Century,Jigme Rigpai Sengge
6536,14,19th Century,Jigme Rigpai Sengge
6547,7,12th Century,Lhachuk Kharwa Nyida O
6548,12,17th Century,Taktsang Lobzang Rabten
6548,13,18th Century,Taktsang Lobzang Rabten
6567,11,16th Century,Dutsi Gyurme
6568,10,15th Century,Lekdrub Pel
6578,7,12th Century,Sanggye Dorje
6578,8,13th Century,Sanggye Dorje
6580,12,17th Century,Ngawang Konchok Nyima
6580,13,18th Century,Ngawang Konchok Nyima
6586,12,17th Century,Puntsok Namgyel
6587,6,11th Century,Sumpa Yeshe Lodro
6620,8,13th Century,Zang Samlingpa
6622,13,18th Century,Sonam Drakpa
6634,14,19th Century,Lobzang Trinle Gyatso
6635,12,17th Century,Sherab Tashi
6635,13,18th Century,Sherab Tashi
6646,12,17th Century,Jamyang Zhepai Dorje
6646,13,18th Century,Jamyang Zhepai Dorje
6648,12,17th Century,Lobzang Gyeltsen
6653,3,8th Century,Pelgyi Sengge
6667,12,17th Century,Lodro Gyatso
6668,12,17th Century,Nyima Drakpa
6668,13,18th Century,Nyima Drakpa
6670,11,16th Century,Tsoknyi Gyatso
6671,8,13th Century,Lorepa Wangchuk Tsondru
6672,8,13th Century,Jamyang Gonpo
6678,3,8th Century,Pelgyi Lhunpo
6681,3,8th Century,Drenpa Namkha
6690,10,15th Century,Pakpa Dechen Dorje
6721,7,12th Century,Rinchen Sherab
6721,8,13th Century,Rinchen Sherab
6723,5,10th Century,Mahāvajrāsana
6726,7,12th Century,Rokben Sherab O
6726,8,13th Century,Rokben Sherab O
6729,12,17th Century,Lobzang Tenpa Dargye
6729,13,18th Century,Lobzang Tenpa Dargye
6731,13,18th Century,Ra Sonam Wanggyel
6733,6,11th Century,Tsur Lotsāwa Yeshe Jungne
6735,9,14th Century,Rongton Sheja Kunrik
6735,10,15th Century,Rongton Sheja Kunrik
6746,10,15th Century,Baso Chokyi Gyeltsen
6749,7,12th Century,Yabzang Choje Chokyi Monlam
6749,8,13th Century,Yabzang Choje Chokyi Monlam
6756,7,12th Century,Zarawa Kelden Yeshe Sengge
6760,13,18th Century,Rabten Gyatso
6770,10,15th Century,Chowang Drakpa
6779,10,15th Century,Konchok Delek
6779,11,16th Century,Konchok Delek
6788,10,15th Century,Jampa Tashi
6788,11,16th Century,Jampa Tashi
6793,11,16th Century,Lhawang Chokyi Gyeltsen
6801,11,16th Century,Konchok Pendar
6818,14,19th Century,Jigme Samdrub Gyatso
6872,11,16th Century,Jampa Gyatso
6874,12,17th Century,Sonam Chopel
6892,6,11th Century,Ziji Bar
6895,7,12th Century,Zhangtsun Dorje Wozer
6910,10,15th Century,Chokyi Shenyen
6910,11,16th Century,Chokyi Shenyen
6928,14,19th Century,Lobzang Lungrik Nyima
6929,14,19th Century,Jigme Tubten Nyima
6935,10,15th Century,Wonpo Lhakyab
6935,11,16th Century,Wonpo Lhakyab
6953,10,15th Century,Monlam Pelwa
6962,6,11th Century,Dzeng Dharmabodhi
6962,7,12th Century,Dzeng Dharmabodhi
6978,14,19th Century,Ngawang Lobzang Tenpai Gyeltsen
6978,15,20th Century,Ngawang Lobzang Tenpai Gyeltsen
6979,13,18th Century,Ngawang Jampel Tsultrim Gyatso
6979,14,19th Century,Ngawang Jampel Tsultrim Gyatso
6982,12,17th Century,Ngawang Sanggye Pelzang
6982,13,18th Century,Ngawang Sanggye Pelzang
6997,10,15th Century,Rinchen Wozer
6997,11,16th Century,Rinchen Wozer
7007,15,20th Century,Thupten Lungtok Namgyal Trinley
7024,6,11th Century,Zhangton Chobar
7024,7,12th Century,Zhangton Chobar
7038,8,13th Century,Won Sonam Drakpa
7040,9,14th Century,Rinchen Wanggyel
7040,10,15th Century,Rinchen Wanggyel
7053,11,16th Century,Ngawang Kunga Rinchen
7064,10,15th Century,Sakya Lotsāwa Jampai Dorje
7064,11,16th Century,Sakya Lotsāwa Jampai Dorje
7069,13,18th Century,Lobzang Tenpai Dronme
7083,11,16th Century,Damcho Pelbar
7093,10,15th Century,Lodro Tenpa
7105,13,18th Century,Ngawang Trinle
7107,13,18th Century,Ngawang Tenpai Gyeltsen
7113,6,11th Century,Tsen Khawoche
7114,6,11th Century,Drapa Ngonshe
7130,10,15th Century,Jampel Zangpo
7152,8,13th Century,Yeshe Bumpa
7152,9,14th Century,Yeshe Bumpa
7162,13,18th Century,Ngawang Khedrub
7162,14,19th Century,Ngawang Khedrub
7164,10,15th Century,Ratna Lingpa
7169,15,20th Century,Lobzang Shedrub Gyatso
7170,14,19th Century,Lobzang Tashi Rabgye
7171,14,19th Century,Lobzang Tashi Tenpai Gyeltsen
7172,13,18th Century,Lobzang Tashi Trinle Gyatso
7172,14,19th Century,Lobzang Tashi Trinle Gyatso
7182,14,19th Century,Lobzang Lhundrub
7230,11,16th Century,Gyeltsen Zangpo
7232,9,14th Century,Lodro Rinchen Sengge
7232,10,15th Century,Lodro Rinchen Sengge
7240,10,15th Century,Chokyi Gyeltsen
7240,11,16th Century,Chokyi Gyeltsen
7272,14,19th Century,Bamda Gelek
7272,15,20th Century,Bamda Gelek
7294,10,15th Century,Peljor Lhundrub
7294,11,16th Century,Peljor Lhundrub
7297,14,19th Century,Damcho Tsomo
7297,15,20th Century,Damcho Tsomo
7305,10,15th Century,Sherab Zangpo
7326,6,11th Century,Smṛtijñānakīrti
7348,10,15th Century,Lodro Gyeltsen
7370,10,15th Century,Paṇchen Bumdrak Sumpa
7373,7,12th Century,Chegompa Sherab Dorje
7429,9,14th Century,Orgyen Lingpa
7442,3,8th Century,Padmasambhava
7462,7,12th Century,Tashi Gon
7473,13,18th Century,Gonbujab
7512,9,14th Century,Pelden Tsultrim
7521,7,12th Century,Trulzhik Menpa
7523,9,14th Century,Dondrub Gyelpo
7523,10,15th Century,Dondrub Gyelpo
7525,13,18th Century,Lobzang Tsondru
7525,14,19th Century,Lobzang Tsondru
7545,9,14th Century,Lodro Gyeltsen
7551,14,19th Century,Orgyen Tendzin Norbu
7559,14,19th Century,Tubten Kelzang Gyatso
7565,11,16th Century,Ara Drubtob Tarpai Gyeltsen
7581,12,17th Century,Sanggye Tenpa
7582,12,17th Century,Pema Norbu
7582,13,18th Century,Pema Norbu
7601,12,17th Century,Sonam Wozer
7613,15,20th Century,Dondrub Gyel
7622,12,17th Century,Tenzin Rabgye
7636,7,12th Century,Yelpa Yeshe Tsek
7637,7,12th Century,Tishri Repa Sherab Sengge
7637,8,13th Century,Tishri Repa Sherab Sengge
7641,8,13th Century,Repa Karpo
7644,12,17th Century,Tendzin Lekpai Dondrub
7644,13,18th Century,Tendzin Lekpai Dondrub
7673,7,12th Century,Wolkhawa Drolgom Choyung
7676,12,17th Century,Damcho Pekar
7681,12,17th Century,Lhundrub Gyatso
7681,13,18th Century,Lhundrub Gyatso
7718,12,17th Century,Sheja Zangpo
7719,12,17th Century,Gyelse Kunga Gyeltsen
7719,13,18th Century,Gyelse Kunga Gyeltsen
7732,14,19th Century,Dola Jigme Kelzang
7736,10,15th Century,Jangchub Lodro
7767,9,14th Century,Rigdzin Godemchen Ngodrub Gyeltsen
7767,10,15th Century,Rigdzin Godemchen Ngodrub Gyeltsen
7775,8,13th Century,Yanggonpa Gyeltsen Pel
7803,12,17th Century,Jamgon Ngawang Gyeltsen
7803,13,18th Century,Jamgon Ngawang Gyeltsen
7815,13,18th Century,Shakya Rinchen
7870,14,19th Century,Jampa Chodrak
7870,15,20th Century,Jampa Chodrak
7874,13,18th Century,Shakya Tendzin
7876,15,20th Century,Kelzang Khyenrab Gyatso
7877,15,20th Century,Jamyang Tenpai Gyeltsen
7879,14,19th Century,Jamyang Tenpai Nyima
7879,15,20th Century,Jamyang Tenpai Nyima
7881,14,19th Century,Jamyang Tenzin Gyatso
7881,15,20th Century,Jamyang Tenzin Gyatso
7882,15,20th Century,Jigme Tsultrim Namgyel
7895,13,18th Century,Kunga Gyatso
7918,13,18th Century,Sherab Sengge
7929,15,20th Century,Tsarong Dasang Damdul
7937,15,20th Century,Lobzang Pelden Gyatso
7945,15,20th Century,Dongak Chokyi Gyatso
8027,10,15th Century,Khedrubje Gelek Pelzang
8028,13,18th Century,Yonten Taye
8069,13,18th Century,Dondrub Gyatso
8076,10,15th Century,Kunga Pelwa
8076,11,16th Century,Kunga Pelwa
8079,10,15th Century,Pelden Lodro
8079,11,16th Century,Pelden Lodro
8085,10,15th Century,Kunga Pelden
8085,11,16th Century,Kunga Pelden
8086,11,16th Century,Tseten Gyatso
8097,11,16th Century,Sanggye Rinchen
8097,12,17th Century,Sanggye Rinchen
8099,11,16th Century,Dorje Zangpo
8101,11,16th Century,Kunga Lodro
8103,11,16th Century,Jedrung Sherab Wangpo
8105,11,16th Century,Drakpa Gyatso
8105,12,17th Century,Drakpa Gyatso
8106,11,16th Century,Shenyen Drakpa
8106,12,17th Century,Shenyen Drakpa
8107,12,17th Century,Tenpa Gyeltsen
8108,12,17th Century,Pelden Gyeltsen
8109,12,17th Century,Jampa Tashi
8116,11,16th Century,Khedrub Shakya Lhawang
8116,12,17th Century,Khedrub Shakya Lhawang
8126,13,18th Century,Pema Nyinje Wangpo
8126,14,19th Century,Pema Nyinje Wangpo
8128,15,20th Century,Jigme Tenpai Wangchuk
8156,15,20th Century,Kachen Lobzang Zotpa
8177,15,20th Century,Nyoshul Khenpo Jamyang Dorje
8181,14,19th Century,Chokgyur Lingpa
8184,13,18th Century,Lobzang Chodar
8184,14,19th Century,Lobzang Chodar
8342,2,7th Century,Tonmi Sambhota
8343,13,18th Century,Sherab Gyeltsen
8343,14,19th Century,Sherab Gyeltsen
8354,10,15th Century,Lodro Gyeltsen
8355,14,19th Century,Jigme Norbu
8361,9,14th Century,Khyentse Tokden
8397,14,19th Century,Yeshe Ngodrub
8397,15,20th Century,Yeshe Ngodrub
8454,8,13th Century,Kunpang Delek Rinchen
8455,8,13th Century,Kunden Rema
8455,9,14th Century,Kunden Rema
8456,7,12th Century,Jangsem Choje Sonam Gyeltsen
8456,8,13th Century,Jangsem Choje Sonam Gyeltsen
8459,7,12th Century,Machik Ongjo
8459,8,13th Century,Machik Ongjo
8460,7,12th Century,Khyungtsangpa Yeshe Lama
8472,10,15th Century,"Dungtso Repa The Later"""""
8474,8,13th Century,Machik Kunga Bum
8474,9,14th Century,Machik Kunga Bum
8507,15,20th Century,Chokyi Wozer
8536,15,20th Century,Jamyang Gyeltsen
8538,14,19th Century,Lerab Lingpa
8538,15,20th Century,Lerab Lingpa
8539,12,17th Century,Gyelse Sonam Deutsen
8539,13,18th Century,Gyelse Sonam Deutsen
8543,12,17th Century,Tsondru Gyatso
8543,13,18th Century,Tsondru Gyatso
8549,13,18th Century,Namkha Chowang
8551,13,18th Century,Orgyen Jamyang
8562,13,18th Century,Jigme Rigdzin Gonpo
8562,14,19th Century,Jigme Rigdzin Gonpo
8563,14,19th Century,Jigme Yonten Gonpo
8566,14,19th Century,Jampel Dorje
8566,15,20th Century,Jampel Dorje
8567,14,19th Century,Drodul Tobden Lingpa
8567,15,20th Century,Drodul Tobden Lingpa
8571,9,14th Century,Rendawa Zhonnu Lodro
8571,10,15th Century,Rendawa Zhonnu Lodro
8574,14,19th Century,Drodul Pawo Dorje
8575,15,20th Century,Jigme Dechen Dorje
8578,13,18th Century,Pema Kundrol Namgyel
8580,13,18th Century,Choying Dorje
8580,14,19th Century,Choying Dorje
8583,13,18th Century,Choying Rangdrol
8584,13,18th Century,Wosel Dorje Nyingpo
8584,14,19th Century,Wosel Dorje Nyingpo
8585,14,19th Century,Jangchub Chokyi Nyima
8596,15,20th Century,Gyurme Kelzang Tobgyel Dorje
8600,14,19th Century,Jigme Dorje
8603,14,19th Century,Zhenpen Dorje
8609,13,18th Century,Jikdrel Tutob Dorje
8609,14,19th Century,Jikdrel Tutob Dorje
8610,14,19th Century,Jikdrel Chokyi Langpo
8612,15,20th Century,Zong Lobzang Tsondru Tubten Gyeltsen
8616,12,17th Century,Jangchub Dorje
8616,13,18th Century,Jangchub Dorje
8617,14,19th Century,Sonam Dorje
8618,14,19th Century,Kunzang Pema Trinle
8618,15,20th Century,Kunzang Pema Trinle
8624,14,19th Century,Tubten Gyeltsen Wozer
8625,14,19th Century,Drime Wosel Lingpa
8625,15,20th Century,Drime Wosel Lingpa
8629,15,20th Century,Pema Trinle
8630,13,18th Century,Pelden Dorje
8630,14,19th Century,Pelden Dorje
8631,12,17th Century,Chopa Lugu
8631,13,18th Century,Chopa Lugu
8633,14,19th Century,Hor Donyon Rinpoche
8637,8,13th Century,Sengge Gyelpo
8637,9,14th Century,Sengge Gyelpo
8650,15,20th Century,Namtrul Jigme Puntsok
8651,15,20th Century,Khandro Tāre Lhamo
8675,14,19th Century,Nangdze Dorje
8730,8,13th Century,Dromton Zhonnu Lodro
8730,9,14th Century,Dromton Zhonnu Lodro
8750,9,14th Century,Dorje Lingpa
8752,15,20th Century,Ngawang Lodro Drakpa
8753,14,19th Century,Jamyang Sherab Chokyi Nangwa
8753,15,20th Century,Jamyang Sherab Chokyi Nangwa
8754,14,19th Century,Dongak Tendzin
8757,14,19th Century,Dongak Chokyi Nyima
8757,15,20th Century,Dongak Chokyi Nyima
8782,13,18th Century,Shākya Shrī
8782,14,19th Century,Shākya Shrī
8825,15,20th Century,Dilgo Khyentse Tashi Peljor
8857,8,13th Century,Melong Dorje
8860,14,19th Century,Khetsun Gyatso
8861,14,19th Century,Gendun Tendzin Norbu
8861,15,20th Century,Gendun Tendzin Norbu
8868,8,13th Century,Jomo Menmo
8891,8,13th Century,Guru Jober
8892,13,18th Century,Karma Gyurme Ngedon Tendzin
8892,14,19th Century,Karma Gyurme Ngedon Tendzin
8906,15,20th Century,Karma Chopel
8912,7,12th Century,Nyima Bum
8923,7,12th Century,Zhangton Tashi Dorje
8964,11,16th Century,Sherab Wozer
8972,15,20th Century,Lekshe Chokyi Drayang
8972,16,21st Century,Lekshe Chokyi Drayang
8975,11,16th Century,Ngakgi Wangpo
8975,12,17th Century,Ngakgi Wangpo
8986,9,14th Century,Tsongkhapa Lobzang Drakpa
8986,10,15th Century,Tsongkhapa Lobzang Drakpa
9030,12,17th Century,Gyurme Dechen
9049,14,19th Century,Lobzang Gyeltsen
9049,15,20th Century,Lobzang Gyeltsen
9050,14,19th Century,Tubten Nyinje
9050,15,20th Century,Tubten Nyinje
9051,14,19th Century,Yeshe Wangden
9051,15,20th Century,Yeshe Wangden
9052,11,16th Century,Tashi Tobgyel
9052,12,17th Century,Tashi Tobgyel
9053,14,19th Century,Lhundrub Tsondru
9053,15,20th Century,Lhundrub Tsondru
9055,14,19th Century,Drakpa Dondrub
9056,14,19th Century,Lobzang Nyendrak Gyatso
9056,15,20th Century,Lobzang Nyendrak Gyatso
9057,14,19th Century,Lobzang Jinpa
9058,14,19th Century,Jamyang Damcho
9059,14,19th Century,Tsultrim Dargye
9062,11,16th Century,Peljor Lhundrub
9062,12,17th Century,Peljor Lhundrub
9095,9,14th Century,Gyeltsabje Darma Rinchen
9095,10,15th Century,Gyeltsabje Darma Rinchen
9121,3,8th Century,Nyak Jñānakumara
9126,12,17th Century,Pema Rigdzin
9158,12,17th Century,Garwang Dorje
9169,12,17th Century,Pema Trinle
9171,14,19th Century,Choden Zangmo
9171,15,20th Century,Choden Zangmo
9172,14,19th Century,Chonyi Wangmo
9172,15,20th Century,Chonyi Wangmo
9190,12,17th Century,Namcho Mingyur Dorje
9201,8,13th Century,Rangjung Dorje
9201,9,14th Century,Rangjung Dorje
9203,15,20th Century,Yonten Gonpo
9213,12,17th Century,Tenpai Gyeltsen
9254,13,18th Century,Pelden Tashi
9287,14,19th Century,Langdun Kunga Rinchen
9287,15,20th Century,Langdun Kunga Rinchen
9297,12,17th Century,Pema Dechen Lingpa
9297,13,18th Century,Pema Dechen Lingpa
9301,14,19th Century,Shatra Peljor Dorje
9301,15,20th Century,Shatra Peljor Dorje
9305,14,19th Century,Tsarong Wangchuk Gyalpo
9305,15,20th Century,Tsarong Wangchuk Gyalpo
9333,15,20th Century,Yuthok Tashi Dhondup
9343,14,19th Century,Dokhar Tsewang Norbu
9343,15,20th Century,Dokhar Tsewang Norbu
9355,14,19th Century,Pema Vajra
9355,15,20th Century,Pema Vajra
9361,13,18th Century,Lobzang Trinle
9372,13,18th Century,Rigdzin Tsewang Norbu
9383,13,18th Century,Gyurme Tekchok Tendzin
9394,13,18th Century,Mingyur Peldron
9442,14,19th Century,Orgyen Tendzin Gyatso
9442,15,20th Century,Orgyen Tendzin Gyatso
9482,9,14th Century,Kunpang Chodrak Pelzang
9513,13,18th Century,Kelzang Pema Wangchuk
9523,13,18th Century,Lobzang Jigme Namkha
9523,14,19th Century,Lobzang Jigme Namkha
9525,13,18th Century,Gyurme Kunzang Namgyel
9546,13,18th Century,Pema Tekchok Tenpai Gyeltsen
9572,9,14th Century,Zangpo Drakpa
9574,9,14th Century,Drime Kunga
9579,12,17th Century,Jigme Gyelwai Nyugu
9579,13,18th Century,Jigme Gyelwai Nyugu
9585,15,20th Century,Pema Tekchok Loden
9588,14,19th Century,Tubten Nyendrak
9588,15,20th Century,Tubten Nyendrak
9589,14,19th Century,Chime Yeshe
9589,15,20th Century,Chime Yeshe
9590,13,18th Century,Changlung Pelchen Namkha Jigme
9593,14,19th Century,Kunzang Pelden
9593,15,20th Century,Kunzang Pelden
9594,14,19th Century,Kunga Pelden
9594,15,20th Century,Kunga Pelden
9601,14,19th Century,Gyelse Zhenpen Taye Wozer
9612,14,19th Century,Do Khyentse Yeshe Dorje
9618,3,8th Century,Lhalung Pelgyi Dorje
9618,4,9th Century,Lhalung Pelgyi Dorje
9622,14,19th Century,Khenpo Zhenga Zhenpen Chokyi Nangwa
9622,15,20th Century,Khenpo Zhenga Zhenpen Chokyi Nangwa
9624,3,8th Century,Denma Tsemang
9634,8,13th Century,Drakpa Sengge
9646,14,19th Century,Tubten Chokyi Dorje
9646,15,20th Century,Tubten Chokyi Dorje
9688,14,19th Century,Dudjom Lingpa
9690,13,18th Century,Lobzang Tendzin Gyatso
9693,13,18th Century,Lobzang Pelden Gyeltsen
9703,15,20th Century,Tenpa Tsering
9712,15,20th Century,Gendun Tendzin Gyeltsen
9750,11,16th Century,Sherab Puntsok
9750,12,17th Century,Sherab Puntsok
9753,12,17th Century,Shar Kelden Gyatso
9761,12,17th Century,Konchok Gyeltsen
9788,8,13th Century,Lama Ngawang Drakpa
9789,8,13th Century,Lama Jangchub Sengge
9795,11,16th Century,Lodro Gyatso
9795,12,17th Century,Lodro Gyatso
9839,11,16th Century,Lobzang Chokyi Gyeltsen
9839,12,17th Century,Lobzang Chokyi Gyeltsen
9873,12,17th Century,Dogyu Gyatso
9884,14,19th Century,Pema Tekchok Tenpai Gyeltsen
9884,15,20th Century,Pema Tekchok Tenpai Gyeltsen
9923,11,16th Century,Namdrol Zangpo
9929,15,20th Century,Khenpo Munsel
9935,14,19th Century,Tubten Chowang Nyamnyi Dorje
9935,15,20th Century,Tubten Chowang Nyamnyi Dorje
9945,15,20th Century,Choying Khyabdel
9983,15,20th Century,Tsongkha Lhamo Tsering
9985,3,8th Century,Vimalamitra
9990,15,20th Century,Jamyang Khyentse Chokyi Lodro
10018,14,19th Century,Rigdzin Pelchen Dupa
10018,15,20th Century,Rigdzin Pelchen Dupa
10068,13,18th Century,Ngedon Tendzin Zangpo
10083,15,20th Century,Sera Khandro Kunzang Dekyong Wangmo
10093,15,20th Century,Botrul Dongak Tenpai Nyima
10146,15,20th Century,Tubten Tsondru
10168,10,15th Century,Khedrub Norzang Gyatso
10168,11,16th Century,Khedrub Norzang Gyatso
10169,15,20th Century,Jikdrel Jangchub Dorje
10171,11,16th Century,Ngawang Drakpa
10199,5,10th Century,Rinchen Zangpo
