tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,mi nyag kun dga' bsod nams,bo-x-ewts
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,Tubten Chokyi Drakpa,en
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,Goshul Kunzang Sonam,en
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,go shul kun bzang bsod nams,bo-x-ewts
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,Dharmakīrti,sa-x-iast
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,Rashel Paṇchen,en
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,rwa shel paN chen,bo-x-ewts
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,Rangshar Khenpo Kunzang Sonam,en
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,Minyak Kunga Sonam,en
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,Minyak Kunso,en
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,rang shar mkhan po kun bzang bsod nams,bo-x-ewts
6478,P4076,grags pa rgyal mtshan,grags pa rgyal mtshan,grags pa rgyal mtshan,bo-x-ewts
6482,P408,kun dga' blo gros,kun dga' blo gros,kun dga' blo gros,bo-x-ewts
6485,P4082,ngag dbang bstan 'dzin,ngag dbang bstan 'dzin,ngag dbang bstan 'dzin,bo-x-ewts
6487,P4084,tshul khrims rgya mtsho,tshul khrims rgya mtsho,tshul khrims rgya mtsho,bo-x-ewts
6489,P4086,Drungchen Khachopa Namkha Gyeltsen,drung chen mkha' spyod pa nam mkha' rgyal mtshan,nam mkha' rgyal mtshan,bo-x-ewts
6489,P4086,Drungchen Khachopa Namkha Gyeltsen,drung chen mkha' spyod pa nam mkha' rgyal mtshan,drung che mkha' spyod pa,bo-x-ewts
6489,P4086,Drungchen Khachopa Namkha Gyeltsen,drung chen mkha' spyod pa nam mkha' rgyal mtshan,Drungchen Khachopa,en
