tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
6738,P4312,Yakde Paṇchen Tsondru Dargye,g.yag sde paN chen brtson grus dar gyas,g.yag sde paN chen,bo-x-ewts
6738,P4312,Yakde Paṇchen Tsondru Dargye,g.yag sde paN chen brtson grus dar gyas,brtson grus dar rgyas,bo-x-ewts
6738,P4312,Yakde Paṇchen Tsondru Dargye,g.yag sde paN chen brtson grus dar gyas,Yakde Paṇchen,en
6738,P4312,Yakde Paṇchen Tsondru Dargye,g.yag sde paN chen brtson grus dar gyas,Tsondru Dargye,en
6739,P4313,dkon mchog dpal,dkon mchog dpal,dkon mchog dpal,bo-x-ewts
6745,P4319,rin chen 'byung gnas,rin chen 'byung gnas,rin chen 'byung gnas,bo-x-ewts
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,chos kyi rgyal mtshan,bo-x-ewts
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,Chokyi Gyeltsen,en
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,dga' ldan khri chen 06 chos kyi rgyal mtshan,bo-x-ewts
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,lhan ba so ba chos kyi rgyal mtshan,bo-x-ewts
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,rta tshag 01 chos kyi rgyal mtshan,bo-x-ewts
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,Ganden Tripa 06 Chokyi Gyeltsen,en
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,Lhanwa Sowa Chokyi Gyeltsen,en
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,Tatsang 01 Chokyi Gyeltsen,en
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,Ganden Trichen 06 Chokyi Gyeltsen,en
6746,P432,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,dga' ldan khri pa 06 chos kyi rgyal mtshan,bo-x-ewts
6749,P4322,Yabzang Choje Chokyi Monlam,g.ya' bzang chos rje chos kyi smon lam,chos smon lam,bo-x-ewts
6749,P4322,Yabzang Choje Chokyi Monlam,g.ya' bzang chos rje chos kyi smon lam,chos kyi smon lam,bo-x-ewts
6749,P4322,Yabzang Choje Chokyi Monlam,g.ya' bzang chos rje chos kyi smon lam,Chokyi Monlam,en
6756,P4329,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,ye shes seng+ge,bo-x-ewts
6756,P4329,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,Kelden Yeshe Sengge,en
6756,P4329,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,skal ldan ye shes seng+ge,bo-x-ewts
6756,P4329,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,zangs ra skal ldan ye shes seng+ge,bo-x-ewts
6756,P4329,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,za ra ba skal ldan ye shes seng+ge,bo-x-ewts
6756,P4329,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,Yeshe Sengge,en
6756,P4329,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,Zangra Kelden Yeshe Sengge,en
6757,P433,dkon mchog 'byung gnas,dkon mchog 'byung gnas,dkon mchog 'byung gnas,bo-x-ewts
6760,P4332,Rabten Gyatso,rab brtan rgya mtsho,Yi Rabten Gyatso,en
6760,P4332,Rabten Gyatso,rab brtan rgya mtsho,g.yi rab brtan rgya mtsho,bo-x-ewts
6761,P4333,yon tan mgon po,yon tan mgon po,yon tan mgon po,bo-x-ewts
6766,P4338,jam dbyangs blo gros,jam dbyangs blo gros,jam dbyangs blo gros,bo-x-ewts
6769,P4340,rgyal mtshan bzang po,rgyal mtshan bzang po,gung ru rgyal mtshan bzang po,bo-x-ewts
6770,P4341,Chowang Drakpa,chos dbang grags pa,Zhangzhung Chowang Drakpa,en
6770,P4341,Chowang Drakpa,chos dbang grags pa,zhang zhung chos dbang grags   pa,bo-x-ewts
6770,P4341,Chowang Drakpa,chos dbang grags pa,Chamdo Trirab 02 Chowang Drakpa,en
6770,P4341,Chowang Drakpa,chos dbang grags pa,chab mdo khri rabs 02 chos dbang grags pa,bo-x-ewts
6773,P4344,kun dga' blo gros,kun dga' blo gros,kun dga' blo gros,bo-x-ewts
6777,P4348,grags pa bzang po,grags pa bzang po,grags pa bzang po,bo-x-ewts
