person_id,name_variant_text,language_encoding_tag_id,language_encoding_tag_id
1869,Khedrub Lodro Namgyel,en,2
1871,sangs rgyas bkra shis,bo-x-ewts,1
1871,glang dkar ba sangs rgyas bkra shis,bo-x-ewts,1
1871,Langkarwa Sanggye Tashi,en,2
1871,Sanggye Tashi,en,2
1871,Samlo Lama ,en,2
1871,bsam blo bla ma,bo-x-ewts,1
1871,Drubchen Langkarwa ,en,2
1871,grub chen glang skar ba,bo-x-ewts,1
1871,Tsonyingwa Lama ,en,2
1871,mtsho snying ba bla ma,bo-x-ewts,1
1898,dkon mchog rgyal mtshan,bo-x-ewts,1
1898,ngor mkhan chen 02 dkon mchog rgyal mtshan,bo-x-ewts,1
1898,Konchok Dar,en,2
1898,mus chen dkon mchog rgyal mtshan,bo-x-ewts,1
1898,sems dpa' chen po dkon mchog rgyal mtshan,bo-x-ewts,1
1898,dkon mchog dar,bo-x-ewts,1
1898,Konchok Gyeltsen,en,2
1898,Muchen Konchok Gyeltsen,en,2
1898,Ngor Khenchen 02 Kongchok Gyeltsen,en,2
1898,Sempa Chenpo Konchok Gyeltsen,en,2
1901,kir+ti 07 kun dga' chos 'phags thub bstan nyi ma,bo-x-ewts,1
1902,bskal bzang blo gros kun dga'   lung rtogs rgya mtsho,bo-x-ewts,1
1902,kir+ti 09 bskal bzang blo gros   kun dga' lung rtogs rgya mtsho,bo-x-ewts,1
1903,kir+ti 06 dge 'dun chos kyi dbang phyug,bo-x-ewts,1
1908,Minyak Paṇḍita Drakpa Dorje,en,2
1908,mi nyag paN+Di ta grags pa rdo rje,bo-x-ewts,1
1930,Khedrub Pelden Dorje,en,2
1930,rdor rje sa brtan,bo-x-ewts,1
1930,mkhas grub dpal ldan rdo rje,bo-x-ewts,1
1930,Dorje Saten,en,2
1963,Ngor Khenchen 04 Kunga Wangchuk,en,2
1963,rgyal tshab dam pa kun dga' dbang phyug,bo-x-ewts,1
1963,ngor mkhan chen 04 kun dga' dbang phyug,bo-x-ewts,1
1963,Gyeltsab Dampa Kunga Wangchuk,en,2
1974,Sakya Lobpon Chenpo Kunga Wangchuk,en,2
1974,sa skya pa slob dpon chen po kun dga' dbang phyug,bo-x-ewts,1
1974,sa skya bzhi thog 04 kun dga' dbang phyug,bo-x-ewts,1
1981,grub mchog dbang po,bo-x-ewts,1
1981,Drubchok Wangpo,en,2
1985,bsod nams seng ge,bo-x-ewts,1
1985,go bo rab 'byams pa bsod nams seng ge,bo-x-ewts,1
1985,ngor mkhan chen 06 bsod nams seng ge,bo-x-ewts,1
1985,Sonam Sengge,en,2
1985,Gowo Rabjampa Sonam Sengge,bo-x-ewts,1
1985,Ngor Khenchen 06 Sonam Sengge,en,2
2029,rdo rje rgyal mtshan,bo-x-ewts,1
2029,shong lo tsA ba rdo rje rgyal mtshan,bo-x-ewts,1
2029,Dorje Gyeltsen,en,2
2029,Shong Lotsāwa Dorje Gyeltsen,en,2
2029,Shongton Lotsāwa Dorje Gyeltsen,en,2
2051,blo gros rgyal mtshan,bo-x-ewts,1
2051,chos rgyal 'phags pa blo gros rgyal mtshan,bo-x-ewts,1
2051,gro mgon 'phags pa blo gros rgyal mtshan,bo-x-ewts,1
2051,phags pa lug skyes,bo-x-ewts,1
2051,Lodro Gyeltsen,en,2
2051,Drogon Pakpa Lodro Gyeltsen,en,2
2051,Chogyel Pakpa Lodro Gyeltsen,en,2
2051,Pakpa Lukye,en,2
2069,khang dmar rin chen rdo rje,bo-x-ewts,1
2069,Khangmar Rinchen Dorje,en,2
2104,legs pa'i blo gros,bo-x-ewts,1
