"TOL ID","TBRC RID","Primary title","Primary name","Wylie title","Wylie name","Birth year","Birth year approximate","Birth year alternate","Death year","Death year approximate","Death year alternate",Gender,"HAR URL","Death century","Historical period","Name displayed as","Name Variants","Birth century",Ordinal,"Wikidata ID"
1370,P8218,,"Khon Lui Wangpo",,"'khon klu'i dbang po",,0,,,0,,M,,,,"Phonetic: Khon Lui Wangpo Wylie: 'khon klu'i dbang po","'khon klu'i dbang po bsrung ba,bo-x-ewts;Khon Lui Wangpo Sungwa,en;Khon Nāgabhodi,en;klu'i dbang po bsrung ba,bo-x-ewts;lo tsA ba bande klu'i dbang po,bo-x-ewts;Lui Wangpo Sungwa,en;Nāgandra Rakṣita,sa-x-iast;nAgendra rakSita,bo-x-ewts","8th century (early)",,
1564,P1003,,"Samten Gyatso",,"bsam gtan rgya mtsho",1616,0,,1678,0,,M,,,,"Phonetic: Samten Gyatso Wylie: bsam gtan rgya mtsho","First Yingok Samten Gyatso,en;g.yu rngog ma Ni pa bsam gtan rgya mtsho,bo-x-ewts;rong po mkhan rabs 03 bsam gtan rgya mtsho,bo-x-ewts;yi ngogs 01 bsam gtan rgya mtsho,bo-x-ewts;Yungok Maṇipa Samten Gyatso,en",,,
1575,P1004,Tongkhor,"Gyelwa Gyatso","stong 'khor","rgyal ba rgya mtsho",1588,0,,1639,0,,M,,,,"Phonetic: The Third Tongkhor, Gyelwa Gyatso Wylie: stong 'khor 03 rgyal ba rgya mtsho","stong 'khor 03 rgyal ba rgya mtsho,bo-x-ewts",,03,
1586,P1005,,"Drubkhang Gelek Gyatso",,"sgrub khang dge legs rgya mtsho",1641,0,,1713,0,,M,,,,"Phonetic: Drubkhang Gelek Gyatso Wylie: sgrub khang dge legs rgya mtsho","dge legs rgya mtsho,bo-x-ewts;dmig sa,bo-x-ewts;Gelek Gyatso,en;Migza,en",,,
1628,P10090,,"Machik Jobum",,"jo 'bum",,0,,,0,,F,,,,"Phonetic: Machik Jobum Wylie: jo 'bum","sprul sku jo 'bum,bo-x-ewts;Tulku Jobum,en","11th century (late)",,
1637,P101,,"Paṇchen Sonam Drakpa",,"paN chen bsod nams grags pa",1478,0,,1554,0,,M,,,,"Phonetic: Paṇchen Sonam Drakpa Wylie: paN chen bsod nams grags pa","bsod nams grags pa,bo-x-ewts;dga' ldan khri chen 15 bsod nams grags pa,bo-x-ewts;dga' ldan khri pa 15 bsod nams grags pa,bo-x-ewts;gzims khang gong ma 01 bsod nams grags pa,bo-x-ewts;khri chen 15 bsod nams grags pa,bo-x-ewts;rtses thang paN chen bsod nams grags pa,bo-x-ewts;Sonam Drakpa ,en;Trichen 15 Sonam Drakpa,en;Tsetang Paṇchen Sonam Drakpa ,en;Zimkhang Gongma Sonam Drakpa ,en",,,
1639,P10100,,"Namgyel Gonpo",,"rnam rgyal mgon po",1399,0,,1424,0,,M,,,,"Phonetic: Namgyel Gonpo Wylie: rnam rgyal mgon po","Sechok Namgyel Gonpo,en;sras mchog rnam rgyal mgon po,bo-x-ewts",,,
1659,P1012,"Sanggye Nyenpa","Tashi Peljor","sangs rgyas mnyan pa","bkra shis dpal 'byor",1457,0,,1519,0,,M,,,,"Phonetic: The First Sanggye Nyenpa, Tashi Peljor Wylie: sangs rgyas mnyan pa 01 bkra shis dpal 'byor","'dan ma grub thob,bo-x-ewts;Denma Drubtob,en;Drubtob Sanggye Nyenpa,en;grub thob sangs rgyas mnyan pa,bo-x-ewts;sangs rgyas mnyan pa 01 bkra shis dpal 'byor,bo-x-ewts",,01,
1722,P1018,,"Langlab Jangchub Dorje",,"lang lab byang chub rdo rje",,0,,,0,,M,,,,"Phonetic: Langlab Jangchub Dorje Wylie: lang lab byang chub rdo rje","byang chub rdo rje,bo-x-ewts;Jangchub Dorje,en;lang lab,bo-x-ewts;Langlab,en","11th century (early)",,
1726,P10183,,"Sumpa Lotsāwa Darma Yonten",,"sum pa lo tsA ba dar ma yon tan",,0,,,0,,M,,,,"Phonetic: Sumpa Lotsāwa Darma Yonten Wylie: sum pa lo tsA ba dar ma yon tan","dar ma yon tan,bo-x-ewts;Darma Yonten,en;lo tsA ba dar ma yon tan,bo-x-ewts;Lotsāwa Darma Yonten,en","12th century (early)",,
