TOL ID,TBRC RID,Primary name,Primary name encoding,Wylie name,Tibetan,Title,Wylie title,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Ordinal,Wikidata ID
2441,P1181,Drakpa Wozer,en,grags pa 'od zer,གྲགས་པ་འོད་ཟེར།,Changkya,lcang skya,1575,0,,64,1641,0,,,M,1,
2442,P1182,Sumpa Damcho Gyatso,en,sum pa dam chos rgya mtsho,སུམ་པ་དམ་ཆོས་རྒྱ་མཚོ།,,,,0,,,1651,0,,,M,,
2456,P1195,Khyenrab Yonten Gyatso,en,mkhyen rab yon tan rgya mtsho,མཁྱེན་རབ་ཡོན་ཏན་རྒྱ་མཚོ།,Ganden Tripa,dga' ldan khri pa,1837,1,,,,0,,,M,88,
2462,P120,Gyelwa Gyatso,en,rgyal ba rgya mtsho,རྒྱལ་བ་རྒྱ་མཚོ།,Pakpa Lha,phags pa lha,1644,0,,,1713,0,,,M,5,
2469,P1206,Lobzang Chopel Gyatso,en,blo bzang chos 'phel rgya mtsho,བློ་བཟང་ཆོས་འཕེལ་རྒྱ་མཚོ།,Maṇipa,ma Ni pa,1898,0,,,1929,0,,,M,5,
2483,P1219,Kyoton Monlam Tsultrim,en,skyo ston smon lam tshul khrims,སྐྱོ་སྟོན་སྨོན་ལམ་ཚུལ་ཁྲིམས།,,,1219,0,,,1299,0,,,M,,
2491,P1226,Lama Dampa Sonam Gyeltsen,en,bla ma dam pa bsod nams rgyal mtshan,བླ་མ་དམ་པ་བསོད་ནམས་རྒྱལ་མཚན།,,,1312,0,,,1375,0,,,M,,
2495,P123,Sherab Gyatso,en,shes rab rgya mtsho,ཤེས་རབ་རྒྱ་མཚོ།,,,1803,0,,,1875,0,,,M,,
2504,P1238,Machik Zhama,en,ma gcig zha ma,མ་གཅིག་ཞ་མ།,,,1062,0,,,1149,0,,,F,,
2506,P124,Tubten Jigme Gyatso,en,thub bstan 'jigs med rgya mtsho,ཐུབ་བསྟན་འཇིགས་མེད་རྒྱ་མཚོ།,Jamyang Zhepa,jam dbyangs bzhad pa,1792,0,,,1855,0,,,M,3,
2510,P1243,Padampa Sanggye,en,pha dam pa sangs rgyas,ཕ་དམ་པ་སངས་རྒྱས།,,,,0,,41,1117,0,,,M,,
2521,P1253,Lobzang Trinle Lungtok Gyatso,en,blo bzang 'phrin las lung rtogs rgya mtsho,བློ་བཟང་འཕྲིན་ལས་ལུང་རྟོགས་རྒྱ་མཚོ།,Rongpo Drubchen,rong po grub chen,1916,0,,,1978,0,,,M,7,
2523,P1255,Ngawang Chokyi Gyeltsen,en,ngag dbang chos kyi rgyal mtshan,ངག་དབང་ཆོས་ཀྱི་རྒྱལ་མཚན།,Ganden Tripa,dga' ldan khri pa,1575,0,,,1629,0,,,M,34,
2527,P1259,Ngawang Chokdrub Tenpai Gyeltsen,en,ngag dbang mchog grub bstan pa'i rgyal mtshan,ངག་དབང་མཆོག་གྲུབ་བསྟན་པའི་རྒྱལ་མཚན།,Zhabdrung Karpo,zhabs drung dkar po,1832,0,,,1872,0,,,M,6,
2539,P127,Pakmodrupa Dorje Gyelpo,en,phag mo gru pa rdo rje rgyal po,ཕག་མོ་གྲུ་པ་རྡོ་རྗེ་རྒྱལ་པོ།,,,1110,0,,,1170,0,,,M,,
2541,P1271,Takla Norbu,en,stag bla nor bu,སྟག་བླ་ནོར་བུ།,,,1889,0,,,1958,0,,,M,,
2561,P129,Lobpon Tsilungpa,en,slob dpon rtsi lung pa,སློབ་དཔོན་རྩི་ལུང་པ།,,,,0,,46,,0,,48,M,,
2577,P1303,Drakpa Sherab,en,grags pa shes rab,གྲགས་པ་ཤེས་རབ།,,,1259,0,,,1325,0,,,M,,
2578,P1304,Zeu Drakpa Tsondru,en,ze'u grags pa brtson 'grus,ཟེའུ་གྲགས་པ་བརྩོན་འགྲུས།,,,1253,0,,,1316,0,,,M,,
2584,P131,Won Sherab Jungne,en,dbon shes rab 'byung gnas,དབོན་ཤེས་རབ་འབྱུང་གནས།,,,1187,0,,,1241,0,,,M,,
2589,P1314,Katokpa Dampa Deshek,en,kaH thog pa dam pa bde gshegs,ཀཿ་ཐོག་པ་དམ་པ་བདེ་གཤེགས།,,,1122,0,,,1192,0,,,M,,
2591,P1316,Neuzurpa Yeshe Bar,en,sne'u zur pa ye shes 'bar,སྣེའུ་ཟུར་པ་ཡེ་ཤེས་འབར།,,,1042,0,,,1118,0,,,M,,
2592,P1317,Drubchen Namkha Gyeltsen,en,grub chen nam mkha' rgyal mtshan,གྲུབ་ཆེན་ནམ་མཁའ་རྒྱལ་མཚན།,Lelung Jedrung,sle lung rje drung,1326,0,,,1401,0,,,M,1,
2593,P1318,Shupu Namkha Sengge,en,shud phu nam mkha' seng+ge,ཤུད་ཕུ་ནམ་མཁའ་སེངྒེ།,,,,0,,45,,0,,48,M,,
2595,P132,Chennga Drakpa Jungne,en,spyan snga grags pa 'byung gnas,སྤྱན་སྔ་གྲགས་པ་འབྱུང་གནས།,,,1175,0,,,1255,0,,,M,,
2598,P1322,Gonpawa Wangchuk Gyeltsen,en,dgon pa ba dbang phyug rgyal mtshan,དགོན་པ་བ་དབང་ཕྱུག་རྒྱལ་མཚན།,,,1016,0,,,1083,0,,,M,,
2606,P133,Ngoje Repa,en,ngo rje ras pa,ངོ་རྗེ་རས་པ།,,,,0,,46,,0,,48,M,,
2638,P136,Duldzinpa Takmapa Kawa Darseng,en,dul 'dzin pa thag ma baka ba dar seng,འདུལ་འཛིན་པ་ཐག་མ་བཀ་བ་དར་སེང།,,,,0,,46,,0,,,M,,
2639,P1360,Karma Ngedon Tendzin Trinle Rabgye,en,karma nges don bstan 'dzin 'phrin las rab rgyas,ཀརྨ་ངེས་དོན་བསྟན་འཛིན་འཕྲིན་ལས་རབ་རྒྱས།,,,1770,0,,,,0,,,M,,
2640,P1361,Karma Ngelek Tendzin Trinle Rabgye,en,ka+rma nges legs bstan 'dzin phrin las rab rgyas,ཀྲམ་ངེས་ལེགས་བསྟན་འཛིན་ཕྲིན་ལས་རབ་རྒྱས།,,,1700,0,,,1768,1,,,M,,
2661,P1380,Peljor Dondrub,en,dpal 'byor don grub,དཔལ་འབྱོར་དོན་གྲུབ།,Gyeltsab,rgyal tshab,1427,0,,,1489,0,,,M,1,
2662,P1382,Choying Dorje,en,chos dbyings rdo rje,ཆོས་དབྱིངས་རྡོ་རྗེ།,Karmapa,karma pa,1604,0,,,1674,0,,,M,10,
2665,P1385,Tsuklak Gyatso,en,gtsug lag rgya mtsho,གཙུག་ལག་རྒྱ་མཚོ།,Pawo,dpa' bo,1567,0,,,1630,0,1633,,M,3,
2670,P139,Dolpopa Sherab Gyeltsen,en,dol po pa shes rab rgyal mtshan,དོལ་པོ་པ་ཤེས་རབ་རྒྱལ་མཚན།,,,1292,0,,,1361,0,,,M,,
2683,P1400,Dusum Khyenpa,en,dus gsum mkhyen pa,དུས་གསུམ་མཁྱེན་པ།,Karmapa,karma pa,1110,0,,,1193,0,,,M,1,
2712,P1428,Tāranātha,sa-x-iast,tA ra nA tha,ཏཱ་ར་ནཱ་ཐ།,,,1575,0,,,1634,0,,,M,,
2720,P1435,Sonam Puntsok,en,bsod nams phun tshogs,བསོད་ནམས་ཕུན་ཚོགས།,Derge King,sde dge rgyal po,,0,,,1714,0,,,M,9,
2730,P1445,Karma Shedrub Chokyi Sengge,en,karma bshad sgrub chos kyi seng ge,ཀརྨ་བཤད་སྒྲུབ་ཆོས་ཀྱི་སེང་གེ།,Gangkar Lama,gangs dkar bla ma,1892,0,,,1957,0,,,M,9,
2733,P1448,Orgyenpa Rinchen Pel,en,o rgyan pa rin chen dpal,ཨོ་རྒྱན་པ་རིན་ཆེན་དཔལ།,,,1229,0,,,1309,0,,,M,,
2740,P1454,Yungton Dorje Pel,en,g.yung ston rdo rje dpal,གཡུང་སྟོན་རྡོ་རྗེ་དཔལ།,,,1284,0,,,1365,0,,,M,,
2755,P1468,Ngawang Sonam Gyatso,en,ngag dbang bsod nams rgya mtsho,ངག་དབང་བསོད་ནམས་རྒྱ་མཚོ།,Tongkhor,stong 'khor,1684,0,,,1752,0,,,M,5,
2758,P1470,Kelzang Tubten Wangchuk,en,skal bzang thub bstan dbang   phyug,སྐལ་བཟང་ཐུབ་བསྟན་དབང་ཕྱུག།,Jamyang Zhepa,jam dbyangs bzhad pa,1856,0,,,1916,0,,,M,4,
2774,P1485,Chokyi Gyelpo,en,chos kyi rgyal po,ཆོས་ཀྱི་རྒྱལ་པོ།,,,1335,0,,,1407,0,,,M,,
2776,P1487,Karma Pakshi,en,karma pak+Shi,ཀརྨ་པཀྵི།,Karmapa,karma pa,1204,0,,,1283,0,,,M,2,
2780,P1490,Sonam Bumpa,en,bsod nams 'bum pa,བསོད་ནམས་འབུམ་པ།,,,1222,0,,,1282,0,,,M,,
2781,P1492,Jampa Bum,en,byams pa 'bum,བྱམས་པ་འབུམ།,,,1179,0,,,1252,0,,,M,,
2784,P1495,Lobzang Jamyang Yeshe Tenpai Gyeltsen,en,blo bzang 'jam dbyangs ye shes   bstan pa'i rgyal mtshan,བློ་བཟང་འཇམ་དབྱངས་ཡེ་ཤེས་བསྟན་པའི་རྒྱལ་མཚན།,Jamyang Zhepa,jam dbyangs bzhad pa,1916,0,,,1947,0,,,M,5,
2787,P1498,Jamyang Khyenrab Gyatso,en,jam dbyangs mkhyen rab rgya mtsho,འཇམ་དབྱངས་མཁྱེན་རབ་རྒྱ་མཚོ།,Amchok,a mchog,1849,0,,,1944,0,,,M,3,
2788,P1499,Jigme Trinle Gyatso,en,jigs med 'phrin las rgya mtsho,འཇིགས་མེད་འཕྲིན་ལས་རྒྱ་མཚོ།,,,1866,0,,,1948,0,,,M,,
2789,P15,Nyo Gyelwa Lhanangpa Sanggye Rinchen,en,gnyos rgyal ba lha nang pa sangs rgyas rin chen,གཉོས་རྒྱལ་བ་ལྷ་ནང་པ་སངས་རྒྱས་རིན་ཆེན།,,,1164,0,,,1224,0,,,M,,
2790,P150,Yonten Gyatso,en,yon tan rgya mtsho,ཡོན་ཏན་རྒྱ་མཚོ།,,,1260,0,,,1327,0,,,M,,
2791,P1500,Tsonawa Sherab Zangpo,en,mtsho sna ba shes rab bzang po,མཚོ་སྣ་བ་ཤེས་རབ་བཟང་པོ།,,,,0,,50,,0,,52,M,,
2798,P1507,Kunden Repa,en,kun ldan ras pa,ཀུན་ལྡན་རས་པ།,,,1148,0,,,1217,0,,,M,,
2799,P1508,Tropu Gyeltsa Rinchen Gon,en,khro phu rgyal tsha rin chen mgon,ཁྲོ་ཕུ་རྒྱལ་ཚ་རིན་ཆེན་མགོན།,,,1118,0,,,1195,0,,,M,,
2801,P151,Sabzang Mati Paṇchen Lodro Gyeltsen,en,sa bzang ma ti paN chen blo gros rgyal mtshan,ས་བཟང་མ་ཏི་པཎ་ཆེན་བློ་གྲོས་རྒྱལ་མཚན།,,,1294,0,,,1376,0,,,M,,
2803,P1511,Jangsem Gyelwa Yeshe ,en,byang sems rgyal ba ye shes,བྱང་སེམས་རྒྱལ་བ་ཡེ་ཤེས།,,,1247,0,,,1320,0,,,M,,
