person_id,tbrc_rid,default_name,tradition_id,tradition_name
6257,P3874,Sabzang Pakpa Zhonnu Lodro,1,Nyingma
6275,P3890,Gorub Lotsāwa Chokyi Sherab,1,Nyingma
6285,P39,Khyungpo Neljor,1,Nyingma
6395,P4,Tsunma Yulha,1,Nyingma
6470,P4069,Minyak Kunzang Sonam,1,Nyingma
6499,P4095,Tenpa Tsering,1,Nyingma
6567,P4158,Dutsi Gyurme,1,Nyingma
6568,P4159,Lekdrub Pel,1,Nyingma
6653,P4236,Pelgyi Sengge,1,Nyingma
6668,P425,Nyima Drakpa,1,Nyingma
6681,P4261,Drenpa Namkha,1,Nyingma
6726,P4301,Rokben Sherab O,1,Nyingma
6738,P4312,Yakde Paṇchen Tsondru Dargye,1,Nyingma
6962,P4518,Dzeng Dharmabodhi,1,Nyingma
6982,P4536,Ngawang Sanggye Pelzang,1,Nyingma
7024,P4574,Zhangton Chobar,1,Nyingma
7114,P4655,Drapa Ngonshe,1,Nyingma
7152,P469,Yeshe Bumpa,1,Nyingma
7164,P470,Ratna Lingpa,1,Nyingma
7182,P4716,Lobzang Lhundrub,1,Nyingma
7232,P4762,Lodro Rinchen Sengge,1,Nyingma
7254,P4782,Gyurme Tenpa Namgyel,1,Nyingma
7272,P4799,Bamda Gelek,1,Nyingma
7429,P4943,Orgyen Lingpa,1,Nyingma
7442,P4956,Padmasambhava,1,Nyingma
7551,P5055,Orgyen Tendzin Norbu,1,Nyingma
7559,P8LS13218,Tubten Kelzang Gyatso,1,Nyingma
7581,P5082,Sanggye Tenpa,1,Nyingma
7582,P5083,Pema Norbu,1,Nyingma
7641,P5137,Repa Karpo,1,Nyingma
7644,P514,Tendzin Lekpai Dondrub,1,Nyingma
7681,P5174,Lhundrub Gyatso,1,Nyingma
7732,P5221,Dola Jigme Kelzang,1,Nyingma
7736,P5225,Jangchub Lodro,1,Nyingma
7767,P5254,Rigdzin Godemchen Ngodrub Gyeltsen,1,Nyingma
7895,P538,Kunga Gyatso,1,Nyingma
7945,P5425,Dongak Chokyi Gyatso,1,Nyingma
8028,P550,Yonten Taye,1,Nyingma
8126,P559,Pema Nyinje Wangpo,1,Nyingma
8177,P5636,Nyoshul Khenpo Jamyang Dorje,1,Nyingma
8181,P564,Chokgyur Lingpa,1,Nyingma
8342,P5788,Tonmi Sambhota,1,Nyingma
8355,P580,Jigme Norbu,1,Nyingma
8472,P5909,"Dungtso Repa The Later""""",1,Nyingma
8474,P5910,Machik Kunga Bum,1,Nyingma
8507,P5941,Chokyi Wozer,1,Nyingma
8536,P5969,Jamyang Gyeltsen,1,Nyingma
8538,P5970,Lerab Lingpa,1,Nyingma
8539,P5971,Gyelse Sonam Deutsen,1,Nyingma
8543,P5975,Tsondru Gyatso,1,Nyingma
8549,P5980,Namkha Chowang,1,Nyingma
8551,P5982,Orgyen Jamyang,1,Nyingma
8562,P5992,Jigme Rigdzin Gonpo,1,Nyingma
8563,P5993,Jigme Yonten Gonpo,1,Nyingma
8566,P5996,Jampel Dorje,1,Nyingma
8567,P5997,Drodul Tobden Lingpa,1,Nyingma
8574,P6002,Drodul Pawo Dorje,1,Nyingma
8575,P6003,Jigme Dechen Dorje,1,Nyingma
8578,P6006,Pema Kundrol Namgyel,1,Nyingma
8580,P6008,Choying Dorje,1,Nyingma
8583,P6010,Choying Rangdrol,1,Nyingma
8584,P6011,Wosel Dorje Nyingpo,1,Nyingma
8585,P6012,Jangchub Chokyi Nyima,1,Nyingma
8592,P6019,Tsewang Rigdzin Gyatso,1,Nyingma
