Name,TOL ID,Family Type ID,Family Type Name,Wylie Name,Chinese,BDRC ID,Members
Shingkhamga,TOL653,,,shing khams sga,,C11MS222,4291
Shupu,TOL65,,,shud phu,,,2593; 5817; 5818; 5819; 6653
Sumpa,TOL655,,,sum pa,,,
Tati Zhamar,TOL642,,,pra ti zhwa dmar rigs,,,5902
Tong,TOL577,,,stong,,C11MS139,7775; 13196
Tonmi,TOL646,,,thon mi,,C11MS226,8342
Trokho Numai Pelshul,TOL643,,,khro kho nu ma'i dpal shul,,C11MS194,7937
Trotsik,TOL458,,,spro tshig,,,
Tsangsar,TOL1540,,,gtshang sar ,,,13686
Tsedong,TOL284,,,rtse gdong,,C11MS216,4220
Tseu Jamshul,TOL681,,,rtse dbus byams shul,,,3173
Tsongpon,TOL969,,,tshong dpon,,,4659
Tsur,TOL1382,,,mtshur,,,5386; 6733
Tukwan,TOL644,,,thu'u bkwan,,C2CN10968,3008; 5899
Tum,TOL513,,,gtum,,C11MS191,5790
Wangda,TOL588,,,dbang mda',,C11MS180,12785
Wangyak,TOL620,,,dbang yag,,,
Welshul,TOL438,,,dbal shul,,C11MS179,2943
Wodren,TOL58,,,o bran,,C11MS203,13058
Yi,TOL463,,,g.yi,,C11MS187,6760
Yu,TOL252,,,g.yu,,,13081
Yudra,TOL578,,,g.yu sgra,,C11MS132,10199
Yungok,TOL580,,,g.yu rngog,,C11MS188,1564
Zamtsa Ngorang,TOL676,,,zam tsha ngo rang,,,
Zeu,TOL550,,,ze'u,,,2578
Zhak,TOL645,,,bzhag,,C11MS177,13087
Zhang,TOL164,,,zhang,,,
Zhangpa,TOL1375,,,,,,10699
Zhiwatsang,TOL670,,,zhi ba tshang,,C11MS227,8538
Zi,TOL74,,,zi,,C11MS192,6547
Zira,TOL203,,,bzi ra,,C11MS178,8752
Zur,TOL230,,,zur,,,4630; 4632; 11352
Dekhar,TOL1583,689,Lhasa Aristocracy,bde mkhar,,C24,13724
Delek Rabten,TOL1571,689,Lhasa Aristocracy,bde legs rab brtan,,C2CN11019,2418; 3950
Dokhar,TOL1590,689,Lhasa Aristocracy,mdo mkhar,,C10,9343; 13788
Doring,TOL671,689,Lhasa Aristocracy,rdo ring,,C8,3738; 5306
